,NAMES,SITE_ID,LAT_DD,LON_DD
1,"Wurdeman, Lake$Lake Wurdeman$",NLA06608-0001,48.98348,-114.0184
2,Crane Pond$Crane Pond$,NLA06608-0002,33.03571,-79.98366
3,Crane Pond$Crane Pond$,NLA06608-0002,33.035681,-79.981575
4,$Wilderness Lake$,NLA06608-0003,28.0475,-97.860278
5,$Wilderness Lake$,NLA06608-0003,28.0475,-97.859167
6,$Puett Reservoir$,NLA06608-0004,37.41783,-108.40881
7,$Puett Reservoir$,NLA06608-0004,37.41791,-108.4089
8,$Perkins Lake$,NLA06608-0005,43.92898,-114.84167
9,$Perkins Lake$,NLA06608-0005,43.92903,-114.84177
10,Morris Reservoir$Morris Reservoir$,NLA06608-0006,41.67626,-73.14483
11,Morris Reservoir$Morris Reservoir$,NLA06608-0006,41.67644,-73.14487
12,Spring Lake$Spring Lake$,NLA06608-0007,45.581111,-92.040556
13,Spring Lake$Spring Lake$,NLA06608-0007,45.580556,-92.040556
14,Lake Aquabi$Lake Ahquabi$,NLA06608-0008,41.2928,-93.59579
15,Lake Aquabi$Lake Ahquabi$,NLA06608-0008,41.29268,-93.59509
16,Bogie Lake$Bogie Lake$,NLA06608-0010,42.62049,-83.50436
17,Bogie Lake$Bogie Lake$,NLA06608-0010,42.62058,-83.50444
18,$Cushing Lake$,NLA06608-0012,35.99915,-96.87734
19,$Cushing Lake$,NLA06608-0012,35.99935,-96.87644
20,Mirror Lake$Mirror Lake$,NLA06608-0013,39.972894,-74.563729
21,Mirror Lake$Mirror Lake$,NLA06608-0013,39.972744,-74.564509
22,$Unnamed Lake$,NLA06608-0014,47.83361,-100.575
23,$Unnamed Lake$,NLA06608-0014,47.83524,-100.5766
24,$Caballo Reservoir$,NLA06608-0015,32.90688,-107.30074
25,$Caballo Reservoir$,NLA06608-0015,32.90683,-107.29958
26,Lake Maloney$Lake Maloney$,NLA06608-0016,41.0383,-100.77021
27,Lake Maloney$Lake Maloney$,NLA06608-0016,41.03878,-100.771
28,Doyles Lake$Doyles Lake$,NLA06608-0019,46.366667,-99.5
29,Doyles Lake$Doyles Lake$,NLA06608-0019,46.36623,-99.50207
30,$Mill Creek Lake$,NLA06608-0020,39.410833,-87.805
31,$Mill Creek Lake$,NLA06608-0020,39.411111,-87.805278
32,Canandaigua Lake$Canandaigua Lake$,NLA06608-0021,42.82747,-77.2673
33,Canandaigua Lake$Canandaigua Lake$,NLA06608-0021,42.83111,-77.26869
34,$Birdbath Lake$,NLA06608-0023,31.1489,-97.744444
35,$Birdbath Lake$,NLA06608-0023,31.14894,-97.74422
36,Lake Palestine$Lake Palestine$,NLA06608-0024,32.07322,-95.43114
37,Lake Palestine$Lake Palestine$,NLA06608-0024,32.071433,-95.438783
38,Kings Mountain Number One Lake$Kings Mountian #1 Lake$,NLA06608-0025,35.201583,-81.348715
39,Kings Mountain Number One Lake$Kings Mountian #1 Lake$,NLA06608-0025,35.20118,-81.34692
40,Red Mill Pond$Red Mill Pond$,NLA06608-0029,38.75662,-75.21301
41,Red Mill Pond$Red Mill Pond$,NLA06608-0029,38.75643,-75.2147
42,Caldwell Lake$Caldwell Lake$,NLA06608-0031,39.776322,-81.518455
43,Caldwell Lake$Caldwell Lake$,NLA06608-0031,39.77637,-81.51892
44,Swamp Lake$Swamp$,NLA06608-0033,47.310642,-121.300952
45,Swamp Lake$Swamp$,NLA06608-0033,47.310646,-121.300954
46,Whoople Cat Lake$Whoople Cat Lake$,NLA06608-0036,37.477222,-88.328333
47,"Waramaug, Lake$Lake Waramaug$",NLA06608-0037,41.69141,-73.34949
48,Island Pond$Island Pond$,NLA06608-0038,44.8075,-71.872778
49,Island Pond$Island Pond$,NLA06608-0038,44.807554,-71.872839
50,Summersville Lake$Summersville Lake$,NLA06608-0041,38.21106,-80.87173
51,Summersville Lake$Summersville Lake$,NLA06608-0041,38.21076,-80.87212
52,Willow Park Reservoir$Willow Park Reservoir$,NLA06608-0042,44.46416,-107.03543
53,Willow Park Reservoir$Willow Park Reservoir$,NLA06608-0042,44.46445,-107.03571
54,Messick Lake$Messick Lake$,NLA06608-0043,41.551667,-85.446389
55,Messick Lake$Messick Lake$,NLA06608-0043,41.552222,-85.446667
56,$Steverson Lake$,NLA06608-0044,42.40577,-101.69344
57,$Steverson Lake$,NLA06608-0044,42.40538,-101.69385
58,Beaver Pond$Beaver Pond$,NLA06608-0045,37.29456,-77.88768
