"","NAMES","SITE_ID","LAT_DD","LON_DD","lagoslakeid"
"1","Wurdeman, Lake; Lake Wurdeman; ","NLA06608-0001",48.97902855,-114.0218399,317084
"2","Crane Pond; Crane Pond; ","NLA06608-0002",33.03606404,-79.98379054,160874
"3","; Wilderness Lake; ","NLA06608-0003",28.04774206,-97.85986605,445489
"4","; Puett Reservoir; ","NLA06608-0004",37.41662013,-108.4045832,453155
"5","; Perkins Lake; ","NLA06608-0005",43.92920926,-114.8403862,466620
"6","Morris Reservoir; Morris Reservoir; ","NLA06608-0006",41.68314624,-73.1465177,76789
"7","Spring Lake; Spring Lake; ","NLA06608-0007",45.58064546,-92.04001797,5347
"8","Lake Aquabi; Lake Ahquabi; ","NLA06608-0008",41.29211104,-93.59040488,4351
"9","Bogie Lake; Bogie Lake; ","NLA06608-0010",42.61823014,-83.50588771,93810
"10","; Cushing Lake; ","NLA06608-0012",35.99078823,-96.87178731,379117
"11","Mirror Lake; Mirror Lake; ","NLA06608-0013",39.97428032,-74.56255123,30086
"12","; Unnamed Lake; ","NLA06608-0014",47.83492738,-100.5756807,313267
"13","; Caballo Reservoir; ","NLA06608-0015",33.0071076,-107.2747938,447806
"14","Lake Maloney; Lake Maloney; ","NLA06608-0016",41.03025217,-100.7797567,360013
"15","Doyles Lake; Doyles Lake; ","NLA06608-0019",46.36688788,-99.51185877,339915
"16","; Mill Creek Lake; ","NLA06608-0020",39.40817838,-87.81380832,7005
"17","Canandaigua Lake; Canandaigua Lake; ","NLA06608-0021",42.77191973,-77.3095481,44035
"18","; Birdbath Lake; ","NLA06608-0023",31.14849172,-97.745332,431899
"19","Lake Palestine; Lake Palestine; ","NLA06608-0024",32.1220497,-95.48843409,415677
"20","Kings Mountain Number One Lake; Kings Mountian #1 Lake; ","NLA06608-0025",35.20132137,-81.34573084,162542
"21","Red Mill Pond; Red Mill Pond; ","NLA06608-0029",38.75601051,-75.21503793,142079
"22","Caldwell Lake; Caldwell Lake; ","NLA06608-0031",39.77645357,-81.51745185,47115
"23","Swamp Lake; Swamp; ","NLA06608-0033",47.31108363,-121.2990598,NA
"24","Whoople Cat Lake; Whoople Cat Lake; ","NLA06608-0036",37.47735404,-88.32737922,6618
"25","Waramaug, Lake; Lake Waramaug; ","NLA06608-0037",41.69699293,-73.36398551,6733
"26","Island Pond; Island Pond; ","NLA06608-0038",44.79759122,-71.86971736,5579
"27","Summersville Lake; Summersville Lake; ","NLA06608-0041",38.22694093,-80.85405519,259305
"28","Willow Park Reservoir; Willow Park Reservoir; ","NLA06608-0042",44.45823517,-107.0403753,327630
"29","Messick Lake; Messick Lake; ","NLA06608-0043",41.553395,-85.44424168,3911
"30","; Steverson Lake; ","NLA06608-0044",42.4048448,-101.7024805,348702
"31","Beaver Pond; Beaver Pond; ","NLA06608-0045",37.29320486,-77.88986113,146300
"32","Nolen Blue Hole; Nolen Blue Hole; ","NLA06608-0048",36.7872968,-89.17572548,79728
"33","; Clear Creek Reservoir; ","NLA06608-0049",45.06232667,-117.1533553,464128
"34","Adder Pond; Adder Pond; ","NLA06608-0050",43.44601793,-71.80868659,5748
"35","Lake Champlain; South Bay Lake Champlain; ","NLA06608-0053",43.55819295,-73.43960723,81
"36","Lake Lee; Lake Lee; ","NLA06608-0057",34.96189211,-80.51686138,159754
"37","; Alamo; ","NLA06608-0061",34.24558153,-113.5793644,454185
"38","; (Unnamed Lake); ","NLA06608-0062",47.32067994,-99.74629427,NA
"39","Fitzpatrick Lake; Fitzpatrick Lake; ","NLA06608-0064",48.8940613,-112.1680165,322453
