parameter_id,parameter_name_short,parameter_longname,parameter_theme,parameter_wqp_characteristic_names,parameter_lowerlimit,parameter_upperlimit,parameter_units_name,parameter_units_abbrev,parameter_units_type,,,parameter_units_id,[OLD-DELETE],,,,,
1,alk_caco3_mgl,Alkalinity,chemical_physical,,-10,10000,milligrams per liter,mgL,concentration,,Combined ANC here,10,alk_caco3_mgl,,,,,
43,al_diss_ugl,"Aluminum, dissolved",contaminants,,-1000,2000,micrograms per liter,ugL,concentration,,,11,d_al_ugl,,,,,
42,al_tot_ugl,"Aluminum, total",contaminants,,-1000,10000,micrograms per liter,ugL,concentration,,,11,t_al_ugl,,,,,
41,as_diss_ugl,"Arsenic, dissolved",contaminants,,-1000,3000,micrograms per liter,ugL,concentration,,,11,d_as_ugl,,,,,
40,as_tot_ugl,"Arsenic, total",contaminants,,-1000,3000,micrograms per liter,ugL,concentration,,,11,t_as_ugl,,,,,
39,atz_diss_ugl,"Atrazine, dissolved",contaminants,,-1000,1000000,micrograms per liter,ugL,concentration,,,11,d_atz_ugl,,,,,
38,atz_tot_ugl,"Atrazine, total",contaminants,,-1000,1000000,micrograms per liter,ugL,concentration,,,11,t_atz_ugl,,,,,
3,ca_mgl,"Calcium, dissolved",chemical_physical,,-10,1000,milligrams per liter,mgL,concentration,,,10,ca_mgl,,,,,
4,dic_mgl,"Carbon, dissolved inorganic",clarity_carbon,,-10,1000,milligrams per liter,mgL,concentration,,,10,dic_mgl,,,,,
6,doc_mgl,"Carbon, dissolved organic",clarity_carbon,,-10,300,milligrams per liter,mgL,concentration,,,10,doc_mgl,,,,,
5,tic_mgl,"Carbon, total inorganic",clarity_carbon,,-10,1000,milligrams per liter,mgL,concentration,,,10,tic_mgl,,,,,
7,toc_mgl,"Carbon, total organic",clarity_carbon,,-10,500,milligrams per liter,mgL,concentration,,,10,toc_mgl,,,,,
8,cl_mgl,"Chloride, dissolved",chemical_physical,,-10,10000,milligrams per liter,mgL,concentration,,,10,cl_mgl,,,,,
9,chla_ugl,Chlorophyll a,nutrients_algae,,-1000,200000,micrograms per liter,ugL,concentration,,,11,chla_ugl,,,,,
11,colora_pcu,"Color, apparent",clarity_carbon,,0,2000,platinum cobalt units,pcu,operational,,,9,colora_pcu,,,,,
12,colort_pcu,"Color, true",clarity_carbon,,0,2000,platinum cobalt units,pcu,operational,,,9,colort_pcu,,,,,
13,spcond_uscm,Conductivity,chemical_physical,,0,1000000,microsiemens per cm,uscm,electrical_conductivity,,,17,spcond_uscm,,,,,
54,depth_m,Depth,chemical_physical,,0,1000,meters,m,length,,,20?,,,,,,
49,ecoli_n100ml,E. coli,contaminants,,0,30000,number per 100 ml,n100ml,concentration,,,31,ecoli_n100ml,,,,,
52,ecoli_cfu100ml,E. coli-CFU,contaminants,,0,30000,number of colony forming units per 100 ml,cfu100ml,concentration,,,31,ecoli_cfu100ml,,,,,Added in values here to be checked
51,ecoli_mpn100ml,E. coli-MPN,contaminants,,0,30000,most probable number per 100 ml,mpn100ml,concentration,,,32,ecoli_mpn100ml,,,,,
14,mg_mgl,"Magnesium, dissolved",chemical_physical,,-10,1000,milligrams per liter,mgL,concentration,,,10,mg_mgl,,,,,
46,hg_tot_ngl,"Mercury, total",contaminants,,-1000,40000,nanograms per liter,ngL,concentration,,,29,t_hg_ngl,,,,,
47,hg_diss_ngl,"Mercury, total dissolved",contaminants,,-1000,5000,nanograms per liter,ngL,concentration,,,29,d_hg_ngl,,,,,
50,mehg_tot_ngl,Methylmercury,contaminants,,-1000,1000000,nanograms per liter,ngL,concentration,,,29,t_mehg_ngl,,,,,
53,mehg_diss_ngl,"Methylmercury, dissolved",contaminants,,-1000,1000000,nanograms per liter,ngL,concentration,,,29,d_mehg_ngl,,,,,
37,microcystin_ugl,Microcystin,contaminants,,-1000,5000,micrograms per liter,ugL,concentration,,,11,microcystin_ugl,,,,,
15,dkn_ugl,"Nitrogen, dissolved Kjeldahl",nutrients_algae,,-1000,50000,micrograms per liter,ugL,concentration,,,11,dkn_ugl,,,,,
19,nh4n_ugl,"Nitrogen, NH4 as N",nutrients_algae,,-1000,10000,micrograms per liter,ugL,concentration,,,11,nh4_n_ugl,,,,,
17,no2n_ugl,"Nitrogen, nitrite (NO2) as N",nutrients_algae,,-1000,2000,micrograms per liter,ugL,concentration,,,11,no2_n_ugl,,,,,
18,no2no3n_ugl,"Nitrogen, nitrite (NO2) + nitrate (NO3) as N",nutrients_algae,,-1000,10000,micrograms per liter,ugL,concentration,,,11,no2no3_n_ugl,,,,,
21,tn_ugl,"Nitrogen, total",nutrients_algae,,-1000,50000,micrograms per liter,ugL,concentration,,,11,tn_ugl,,,,,
22,tdn_ugl,"Nitrogen, total dissolved",nutrients_algae,,-1000,50000,micrograms per liter,ugL,concentration,,,11,tdn_ugl,,,,,
16,tkn_ugl,"Nitrogen, total Kjeldahl",nutrients_algae,,-1000,50000,micrograms per liter,ugL,concentration,,,11,tkn_ugl,,,,,
23,do_mgl,"Oxygen, dissolved",chemical_physical,,-10,25,milligrams per liter,mgL,concentration,,,10,do_mgl,,,,,
25,ph,"pH, field or lab",chemical_physical,,0,15,pH standard unit,NA,dimensionless,,,15,ph,,,,,
26,dip_ugl,"Phosphorus, soluble reactive orthophosphate as P",nutrients_algae,,-1000,5000,micrograms per liter,ugL,concentration,,,11,srp_p_ugl,,,,,
27,tp_ugl,"Phosphorus, total",nutrients_algae,,-1000,50000,micrograms per liter,ugL,concentration,,,11,tp_ugl,,,,,
28,tdp_ugl,"Phosphorus, total dissolved",nutrients_algae,,-1000,10000,micrograms per liter,ugL,concentration,,,11,tdp_ugl,,,,,
