uid,laboratoryName,startDate,endDate,analyte,instrument,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"ff9bd11a-bf83-4101-9d9d-edeacf42e408","EcoCore_CSU","2020-02-07","2020-02-07","TDN","Shimadzu toc-L","combustion/chemoluminesence",,0.035,"milligramsPerLiter",0.097,"Standard deviation of nominal value",,0.222,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28",
"1d68a8e3-656c-4b3f-9def-3d15d93c4458","EcoCore_CSU","2020-02-07","2020-02-07","NH4 - N","OI flow solution IV with 000857 and 000858 cartridge","Salicylate/nitroferricyanide (DIN 38406)",,0.050,"milligramsPerLiter",0.015,"Standard deviation of nominal value",,0.050,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-05-02","2018-06-07"
"17d13499-88e5-4360-a5c4-2f9d8f64af66","EcoCore_CSU","2020-02-07","2020-02-07","CO3","Mettler Toledo Compact Titrator G20","EPA 310.1",,0.010,"milligramsPerLiter",9.500,"+/- % of nominal value at full scale",,10.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"81944079-8288-4368-bea6-0fb623974ea0","EcoCore_CSU","2020-02-07","2020-02-07","TN","Shimadzu toc-L","combustion/chemoluminesence",,0.035,"milligramsPerLiter",0.097,"Standard deviation of nominal value",,0.222,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28",
"88634671-4e97-4b4d-96b8-9c74295d2c04","EcoCore_CSU","2020-02-07","2020-02-07","TPN","Leco Tru-Spec","Combustion/Dumas",,0.010,"milligram",0.002,"Standard deviation of nominal value",,0.007,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15",
"6c4ebf6a-ed2a-453a-bbc7-47fbf5664303","EcoCore_CSU","2020-02-07","2020-02-07","Fe","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"8f3a2a35-f61e-46a7-bec1-437fae8018ea","EcoCore_CSU","2020-02-07","2020-02-07","Mg","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"32cf51b3-8634-4a06-85d1-98a6262aad2d","EcoCore_CSU","2020-02-07","2020-02-07","NO3+NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer","Cd reduction/sulfanilamide (EPA 353.2)",,0.027,"milligramsPerLiter",0.037,"Standard deviation of nominal value",,0.214,"95% CI of combined uncertainty","EcoCore, Colorado State University","2017-11-27","2019-07-03"
"70d4e692-8086-4fc1-b1b4-3e457db35cee","EcoCore_CSU","2020-02-07","2020-02-07","pH","Orion comb. Electrode","EPA 150.1",,0.010,"pH",4.400,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"953c45db-6423-4d85-8596-cb33a6284aa1","EcoCore_CSU","2020-02-07","2020-02-07","NO3+NO2 - N","OI flow solution IV with A0002670 cartridge","Cd reduction/sulfanilamide (EPA 353.2)",,0.050,"milligramsPerLiter",0.008,"Standard deviation of nominal value",,0.069,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-05-02","2018-06-07"
"ff15d9aa-6df8-48bd-a0c1-4eb8d5deeb2a","EcoCore_CSU","2020-02-07","2020-02-07","DOC","Shimadzu toc-L","Combustion/NDIR",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"98505e39-0e5e-4be6-a02a-77c38d9f7ce0","EcoCore_CSU","2020-02-07","2020-02-07","TP","Digestion block, ICP","EPA 365.4",,0.001,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State Univeristy","2014-10-06",
"599f05f0-3de5-47b4-b2fe-6e80d276a4b4","EcoCore_CSU","2020-02-07","2020-02-07","F","Thermo Scientific Dionex ICS-1100 IC","EPA 300.0",,0.010,"milligramsPerLiter",4.700,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"fb45a9b8-9204-495b-8438-169aa9a5eb45","EcoCore_CSU","2020-02-07","2020-02-07","NO2 - N","OI flow solution IV with A0002670 cartridge","Sulfanilamide (EPA 353.2)",,0.050,"milligramsPerLiter",5.000,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-05-02"
"f0aed693-232d-4180-b7a5-076600b1325b","EcoCore_CSU","2020-02-07","2020-02-07","TDN","Shimadzu toc-L","combustion/chemoluminesence",,0.100,"milligramsPerLiter",0.031,"Standard deviation of nominal value",,0.126,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2019-05-28"
"de2931ad-54b3-4495-b502-503c2369240a","EcoCore_CSU","2020-02-07","2020-02-07","TPN","Leco Tru-Spec","Combustion/Dumas",,0.010,"milligram",5.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"85d968c5-2da7-4c3d-9deb-8ba44df0518f","EcoCore_CSU","2020-02-07","2020-02-07","Ortho - P","OI flow solution IV","ascorbic acid","50g Disodium EDTA to 1L buffer",0.020,"milligramsPerLiter",5.000,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-05-02"
"e37a8ac1-079c-4ff7-ac74-48b58bd7332a","EcoCore_CSU","2020-02-07","2020-02-07","TDN","Shimadzu toc-L","combustion/chemoluminesence",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
