uid,domainID,siteID,namedLocation,collectDate,sampleID,sampleCode,sampleCondition,laboratoryName,analysisDate,analyzedBy,sampleType,replicate,sampleVolumeFiltered,filterSize,percentFilterAnalyzed,dilutionFactor,solventVolume,responseFactor,acidificationResponseFactor,fluorometerSensitivitySetting,preAcidificationFluorescence,postAcidificationFluorescence,analyte,analyteConcentration,plantAlgaeLabUnits,testMethod,method,acidTreatment,externalRemarks,externalLabDataQF,publicationDate,release
d8f69c77-2abd-4de5-931e-487bc1c8a491,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2015-03-11,OKgcKejxXbI=,13C15N,2,,25,100,,,,,,,,d15N,-0.34,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
5cfbf789-3875-4640-a25a-b9ce0e203c11,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,carbon,145412.86,microgramsPerLiter,ANSP P-16-54 Rev2,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
f8eedeb5-31a6-4fcb-8952-5a4c78596aec,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,chlorophyll a,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
f4a55095-a002-448b-a3f6-bb8a7d87f912,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d15N,1.36,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
5f1abc67-f839-451d-a3fc-8a59adb326df,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02,BARC.20140702.EPIPHYTON.5,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d13C,-23.73,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
1b1f7deb-7a40-4d5f-a9c4-7b548bfd8517,D03,BARC,BARC.AOS.buoy.c0,2014-07-02,BARC.20140702.PHYTOPLANKTON.1,,,Academy of Natural Sciences of Drexel University,2014-12-10,Txt9C5i/u7k=,chlorophyll/pheophytin,1,,25,100,,,,,,,,pheophytin,,microgramsPerLiter,ANSP P-16-92 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
46b055a0-d974-45fb-a158-4e7d4840977c,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d13C,-23.35,perMill,ANSP P-16-202 Rev0,,N,"",legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed,20220107T002502Z,RELEASE-2022
6f2f11d9-b877-46c8-991d-624b4619a438,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02,BARC.20140702.EPIPHYTON.1,,,Academy of Natural Sciences of Drexel University,2015-03-11,OKgcKejxXbI=,13C15N,1,,25,100,,,,,,,,d15N,-0.03,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
2134b051-fae6-451e-a4e8-55d96b7dd8f5,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02,BARC.20140702.EPIPHYTON.3,,,Academy of Natural Sciences of Drexel University,2015-03-13,OKgcKejxXbI=,13C15N,1,,25,75,,,,,,,,d15N,-0.28,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
ee31117b-4331-4525-8d2a-738af32fd8fa,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02,BARC.20140702.EPIPHYTON.9,,,Academy of Natural Sciences of Drexel University,2015-03-12,OKgcKejxXbI=,13C15N,2,,25,75,,,,,,,,d15N,1.41,perMill,ANSP P-16-202 Rev0,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
8f91413b-6030-4d50-bc56-9af2ea29fc1b,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02,BARC.20140702.EPIPHYTON.7,,,Academy of Natural Sciences of Drexel University,2014-09-16,OKgcKejxXbI=,CN,1,,25,100,,,,,,,,nitrogen,10378.33,microgramsPerLiter,ANSP P-16-54 Rev2,,"","",legacyData|Did not meet quality audit requirements for analysis audit,20220107T002502Z,RELEASE-2022
