uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,sampleCode,filterNumber,analysisType,fieldSampleVolume,domainFilterVolume,storageDays,remarks,measuredBy,recordedBy,sampleCondition,dataQF,publicationDate,release
a88cc9d8-e391-4331-b3ef-9819cb4a2b3a,D03,BARC,BARC.AOS.littoral1,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.2,BARC.20140702.PHYTOPLANKTON.2,,1,P,4000,355,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
04e1f822-7e86-4111-b26c-990918fa1da7,D03,BARC,BARC.AOS.littoral2,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.3,BARC.20140702.PHYTOPLANKTON.3,,1,CN,4000,300,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
e851e010-3595-471c-aca9-f86d97267816,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.9,BARC.20140702.EPIPHYTON.9,,1,P,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
21a4dbfe-02a8-4469-8396-59128cd1a473,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.7,BARC.20140702.EPIPHYTON.7,,2,CN,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
c2e6fca0-a29c-4f53-96fe-83eab03a8bf9,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.1,BARC.20140702.PHYTOPLANKTON.1,,1,CN,4000,352,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
dc5f52a8-f05a-4133-b9b7-e6a869176b7b,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.5,BARC.20140702.EPIPHYTON.5,,1,P,125,2.5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
9d9cef72-ea4a-4b20-a295-53f65b5e9066,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.5,BARC.20140702.EPIPHYTON.5,,2,13C15N,125,2.5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
d07b1a0e-1e27-4282-8e4f-138c461b2e13,D03,BARC,BARC.AOS.littoral1,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.2,BARC.20140702.PHYTOPLANKTON.2,,2,CN,4000,400,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
8c10e15c-57a0-4d67-b6f3-9f97320ed5fb,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.7,BARC.20140702.EPIPHYTON.7,,2,chlorophyll/pheophytin,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
5baadb40-facf-412a-9bd4-6803df016343,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.9,BARC.20140702.EPIPHYTON.9,,2,CN,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
ced9a24e-8e25-42f3-a720-cf0542bc6edb,D03,BARC,BARC.AOS.riparian.point.02,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.7,BARC.20140702.EPIPHYTON.7,,1,chlorophyll/pheophytin,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
6ddde5b9-6648-43e6-98b7-e3485fbea81d,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.9,BARC.20140702.EPIPHYTON.9,,2,chlorophyll/pheophytin,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
a9c275ef-80b0-4539-be09-0b9097f5b0e8,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.5,BARC.20140702.EPIPHYTON.5,,1,CN,125,2.5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
df15bfde-0400-413d-a1ba-5efe629b0b68,D03,BARC,BARC.AOS.riparian.point.04,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.5,BARC.20140702.EPIPHYTON.5,,1,13C15N,125,2.5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
a824b7f8-dcbc-4a77-8ac0-999c986dc8f9,D03,BARC,BARC.AOS.riparian.point.10,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.9,BARC.20140702.EPIPHYTON.9,,1,13C15N,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
0b48184c-e43d-46f2-8782-b9885ad205d2,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.3,BARC.20140702.EPIPHYTON.3,,1,34S,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
8afcc52e-c7c3-420f-a2b0-ecc4f47bd06f,D03,BARC,BARC.AOS.riparian.point.08,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.1,BARC.20140702.EPIPHYTON.1,,2,13C15N,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
bff92fe9-d198-41a2-a5d2-fafa8a915ff0,D03,BARC,BARC.AOS.riparian.point.06,2014-07-02T14:00Z,BARC.20140702.EPIPHYTON.3,BARC.20140702.EPIPHYTON.3,,2,CN,125,5,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
97eb69c7-2139-4eeb-afca-8261c86396bf,D03,BARC,BARC.AOS.littoral1,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.2,BARC.20140702.PHYTOPLANKTON.2,,1,chlorophyll/pheophytin,4000,360,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
9c82b1d4-d067-406f-8f46-090e7393c0a9,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T14:00Z,BARC.20140702.PHYTOPLANKTON.1,BARC.20140702.PHYTOPLANKTON.1,,1,P,4000,400,1.1,"",,ksandusky@neoninc.org,OK,legacyData,20220107T002502Z,RELEASE-2022
