uid,domainID,siteID,namedLocation,aquaticSiteType,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,geodeticDatum,collectDate,eventID,parentSampleID,parentSampleCode,samplingImpractical,biophysicalCriteria,affectedByWind,habitatType,algalSampleType,benthicArea,samplingProtocolVersion,phytoDepth1,phytoDepth2,phytoDepth3,substratumSizeClass,remarks,recordedBy,collectedBy,dataQF,publicationDate,release
31c6085c-31b7-47a3-a855-80a3e83be341,D03,BARC,BARC.AOS.riparian.point.08,lake,29.675584,-82.010729,5,25.1,5,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.EPIPHYTON.1,,,,,littoral,epiphyton,0.01,NEON.DOC.001203vA,,,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
e97e3e01-32c2-494c-ba9e-f5e1144db723,D03,BARC,BARC.AOS.littoral1,lake,29.677479,-82.00771,1.1,26,1,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.PHYTOPLANKTON.2,,,,,pelagic,phytoplankton,,NEON.DOC.001203vA,1,3.3,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
8976ed79-1015-431b-a165-ea5933792b4f,D03,BARC,BARC.AOS.littoral2,lake,29.674748,-82.008401,1.1,27.1,1,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.PHYTOPLANKTON.3,,,,,pelagic,phytoplankton,,NEON.DOC.001203vA,1,1,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
2a0c56bc-413e-4ee9-9519-5e960a0de2ad,D03,BARC,BARC.AOS.buoy.c0,lake,29.675982,-82.008414,10,27,10,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.PHYTOPLANKTON.1,,,,,pelagic,phytoplankton,,NEON.DOC.001203vA,1,4,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
85423f29-f17f-4f56-adec-0a4e531a4e1c,D03,BARC,BARC.AOS.riparian.point.10,lake,29.677686,-82.008911,5,24.2,5,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.EPIPHYTON.9,,,,,littoral,epiphyton,0.01,NEON.DOC.001203vA,,,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
6c461969-0c7f-4cd1-af86-e0ef4a05d5e0,D03,BARC,BARC.AOS.riparian.point.02,lake,29.677034,-82.006975,5,26.1,5,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.EPIPHYTON.7,,,,,littoral,epiphyton,0.01,NEON.DOC.001203vA,,,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
ea87c128-39bd-46d8-9a9f-a8645a6a4b1e,D03,BARC,BARC.AOS.riparian.point.04,lake,29.675164,-82.006743,5,22.5,5,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.EPIPHYTON.5,,,,,littoral,epiphyton,0.01,NEON.DOC.001203vA,,,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
f04a9375-6f9b-493c-b643-a68a97b1c901,D03,BARC,BARC.AOS.riparian.point.06,lake,29.674507,-82.008596,5,26.6,5,WGS84,2014-07-02T14:00Z,BARC.20140702,BARC.20140702.EPIPHYTON.3,,,,,littoral,epiphyton,0.01,NEON.DOC.001203vA,,,,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20220107T002502Z,RELEASE-2022
b1cc0d48-610e-45cc-b7ba-a569d205aedd,D03,BARC,BARC.AOS.littoral2,lake,29.674748,-82.008401,1.1,27.1,1,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.PHYTOPLANKTON.3,,,,,pelagic,phytoplankton,,NEON.DOC.001203vD,0.5,0.5,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
76c82407-9fa8-4fea-98ef-0e92581bc276,D03,BARC,BARC.AOS.riparian.point.06,lake,29.674507,-82.008596,5,26.6,5,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.EPIPHYTON.2,,,,,pelagic,epiphyton,0.01,NEON.DOC.001203vD,,,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
5ca42f3d-e842-495f-9308-f58673e012d1,D03,BARC,BARC.AOS.riparian.point.08,lake,29.675584,-82.010729,5,25.1,5,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.EPIPHYTON.1,,,,,pelagic,epiphyton,0.01,NEON.DOC.001203vD,,,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
b9513fbf-3794-4d86-8704-a3bbaf8adebe,D03,BARC,BARC.AOS.littoral1,lake,29.677479,-82.00771,1.1,26,1,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.PHYTOPLANKTON.2,,,,,pelagic,phytoplankton,,NEON.DOC.001203vD,0.5,0.5,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
55cc4f0f-9edf-4801-bd65-f8d72b5f6423,D03,BARC,BARC.AOS.riparian.point.02,lake,29.677034,-82.006975,5,26.1,5,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.EPIPHYTON.4,,,,,pelagic,epiphyton,0.01,NEON.DOC.001203vD,,,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
941ac6b0-977b-4e41-b3e2-eae5049919bc,D03,BARC,BARC.AOS.buoy.c0,lake,29.675982,-82.008414,10,27,10,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.PHYTOPLANKTON.1,,,,,pelagic,phytoplankton,,NEON.DOC.001203vD,0.5,0.5,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
e4d91861-7ef1-402f-907c-d3427f8284db,D03,BARC,BARC.AOS.riparian.point.04,lake,29.675164,-82.006743,5,22.5,5,WGS84,2015-07-15T13:40Z,BARC.20150715,BARC.20150715.EPIPHYTON.3,,,,,pelagic,epiphyton,0.01,NEON.DOC.001203vD,,,,,,tburlingame@neoninc.org,cfoster@neoninc.org,legacyData,20211222T032603Z,RELEASE-2022
