name,pubCode,description,startDate,endDate
"alg.algalSampleType","epilithon","Periphyton colonizing rock surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","epixylon","Periphyton colonizing submerged wood surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","epipsammon","Periphyton colonizing sand surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","epipelon","Periphyton colonizing silt surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","epiphyton","Periphyton colonizing submerged plant surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","seston","Algae suspended in stream water column",2012-01-01T00:00:00Z,
"alg.algalSampleType","phytoplankton","Algae suspended in lake or river water column",2012-01-01T00:00:00Z,
"alg.algalSampleType","epilithon_largeSubstrate","Periphyton colonizing boulder or bedrock surfaces",2012-01-01T00:00:00Z,
"alg.algalSampleType","epixylon_largeSubstrate","Periphyton colonizing large submerged wood surfaces",2012-01-01T00:00:00Z,
"alg.analysisMethod","diatom slide","Periphyton or phytoplankton specimen identified using diatom slide workflow",2012-01-01T00:00:00Z,
"alg.analysisMethod","soft algae","Periphyton or phytoplankton specimen identified using soft algae workflow",2012-01-01T00:00:00Z,
"alg.analysisType","chlorophyll/pheophytin","Sample designated for chlorophyll a and pheophytin analysis",2012-01-01T00:00:00Z,
"alg.analysisType","CN","Sample designated for carbon and nitrogen analysis",2012-01-01T00:00:00Z,
"alg.analysisType","P","Sample designated for phosphorus analysis",2012-01-01T00:00:00Z,
"alg.analysisType","CNS","Sample designated for carbon, nitrogen, and sulfur stable isotope analysis",2012-01-01T00:00:00Z,
"alg.analysisType","AFDM","Sample designated for ash free dry mass analysis",2012-01-01T00:00:00Z,
"alg.analysisType","taxonomy","Sample designated for taxonomic analysis",2012-01-01T00:00:00Z,
"alg.analysisType","13C15N","Sample designated for carbon and nitrogen stable isotope analysis",2012-01-01T00:00:00Z,
"alg.analysisType","34S","Sample designated for sulfur stable isotope analysis",2012-01-01T00:00:00Z,
"alg.analysisType","CNSa","Sample a designated for carbon and nitrogen or carbon, nitrogen, and sulfur isotope analysis",2012-01-01T00:00:00Z,
"alg.analysisType","CNSb","Sample b designated for carbon and nitrogen or carbon, nitrogen, and sulfur isotope analysis",2012-01-01T00:00:00Z,
"alg.analysisType","POM","Surface water sample designated for carbon and nitrogen isotope analysis",2012-01-01T00:00:00Z,
"alg.ashMassDataQF","belowDetection","Ash mass value is within 0.0005 g of dry mass",2012-01-01T00:00:00Z,
"alg.ashMassDataQF","ashMassError","Ash mass value is >0.0005 g greater than dry mass",2012-01-01T00:00:00Z,
"alg.ashMassDataQF","dryMassError","Weighing error occurred during dry mass measurement",2012-01-01T00:00:00Z,
"alg.preservativeType","Lugol's iodine","Lugol's iodine",2012-01-01T00:00:00Z,
"alg.preservativeType","glutaraldehyde","glutaraldehyde",2012-01-01T00:00:00Z,
"alg.sampleCondition","OK","OK",2012-01-01T00:00:00Z,
"alg.sampleCondition","filter missing","filter missing",2012-01-01T00:00:00Z,
"alg.sampleCondition","undetermined","ash mass greater than dry mass",2012-01-01T00:00:00Z,
"alg.sampleCondition","other (specify in remarks)","other (specify in remarks)",2012-01-01T00:00:00Z,
"alg.samplerType","Kemmerer","Vertical Kemmerer sampler",2012-01-01T00:00:00Z,
"alg.samplerType","Van Dorn","Horizontal Van Dorn sampler",2012-01-01T00:00:00Z,
"alg.samplerType","grab","Water, sediment, or plant grab",2012-01-01T00:00:00Z,
"alg.samplerType","scrub","Cobble or wood scrub",2012-01-01T00:00:00Z,
