"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"alg_algaeExternalLabDataPerSample","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","siteID","NEON site code","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"alg_algaeExternalLabDataPerSample","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"alg_algaeExternalLabDataPerSample","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"alg_algaeExternalLabDataPerSample","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","aquChem.sampleCondition"
"alg_algaeExternalLabDataPerSample","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"alg_algaeExternalLabDataPerSample","analyzedBy","Name of lab personnel analyzing sample","string",NA,"basic","obfuscate","N",""
"alg_algaeExternalLabDataPerSample","sampleType","Type of sample","string",NA,"basic","LOV","N","alg.analysisType"
"alg_algaeExternalLabDataPerSample","replicate","Sample replicate","string",NA,"basic","asIs","Y",""
"alg_algaeExternalLabDataPerSample","sampleVolumeFiltered","Volume of water filtered onto the filter for external analysis","real","milliliter","basic","integer","N",""
"alg_algaeExternalLabDataPerSample","filterSize","Filter diameter","real","millimeter","basic","integer","N",""
"alg_algaeExternalLabDataPerSample","percentFilterAnalyzed","Fraction of the filter sampled (%)","real","percent","basic","integer","N",""
"alg_algaeExternalLabDataPerSample","dilutionFactor","The factor by which the sample was diluted prior to analysis","real",NA,"expanded","integer","N",""
"alg_algaeExternalLabDataPerSample","solventVolume","Volume of solvent used in the extraction","real","milliliter","expanded","integer","N",""
"alg_algaeExternalLabDataPerSample","responseFactor","Response factor for sensitivity setting","real",NA,"expanded","*.####(round)","N",""
"alg_algaeExternalLabDataPerSample","acidificationResponseFactor","Response factor of standard before acidification divided by standard after acidification","real",NA,"expanded","*.####(round)","N",""
"alg_algaeExternalLabDataPerSample","fluorometerSensitivitySetting","Sensitivity setting on the fluorometer","real",NA,"expanded","*.#(round)","N",""
"alg_algaeExternalLabDataPerSample","preAcidificationFluorescence","Fluorescence read before acidification","real",NA,"expanded","*.####(round)","N",""
"alg_algaeExternalLabDataPerSample","postAcidificationFluorescence","Fluorescence read after acidification","real",NA,"expanded","*.####(round)","N",""
"alg_algaeExternalLabDataPerSample","analyte","Analyte or parameter measured","string",NA,"basic","LOV","Y","aquChem.analyte"
"alg_algaeExternalLabDataPerSample","analyteConcentration","Concentration of analyte","real",NA,"basic","*.##(round)","N",""
"alg_algaeExternalLabDataPerSample","plantAlgaeLabUnits","Standard units of measure used by the plant and algae external laboratory","string",NA,"basic","LOV","N","aquChem.plantAlgaeLabUnits"
"alg_algaeExternalLabDataPerSample","testMethod","Method used to conduct test","string",NA,"basic","LOV","N","aquChem.method"
"alg_algaeExternalLabDataPerSample","method","Published method used for analysis","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","acidTreatment","Indicator for whether a sample has been acidified to remove carbonate prior to analysis","string",NA,"basic","LOV","N","Yes or No choice"
"alg_algaeExternalLabDataPerSample","externalRemarks","External lab notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","externalLabDataQF","Data quality flag for external lab data","string",NA,"basic","asIs","N",""
"alg_algaeExternalLabDataPerSample","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"alg_algaeExternalLabDataPerSample","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"alg_algaeExternalLabQA","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"alg_algaeExternalLabQA","analysisDate","Date that the sample was analyzed","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"alg_algaeExternalLabQA","batchID","Identifier for batch or analytical run","string",NA,"expanded","asIs","Y",""
"alg_algaeExternalLabQA","internalLabID","Internal identifier used by the external facility","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","sampleID","Identifier for sample","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","sampleCode","Barcode of a sample","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","qaType","Type of quality assurance used in analysis","string",NA,"expanded","LOV","Y","aquChem.qaType"
"alg_algaeExternalLabQA","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","aquChem.analyte"
"alg_algaeExternalLabQA","analyteConcentration","Concentration of analyte","real",NA,"expanded","*.###(round)","N",""
"alg_algaeExternalLabQA","plantAlgaeLabUnits","Standard units of measure used by the plant and algae external laboratory","string",NA,"expanded","LOV","N","aquChem.plantAlgaeLabUnits"
"alg_algaeExternalLabQA","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.###(round)","N",""
"alg_algaeExternalLabQA","analyteKnownValueUnits","Associated units of measure for analyte known value","string",NA,"expanded","LOV","N","aquChem.plantAlgaeLabUnits"
"alg_algaeExternalLabQA","externalRemarks","External lab notes; free text comments accompanying the record","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","analyzedBy","Name of lab personnel analyzing sample","string",NA,"expanded","asIs","N",""
"alg_algaeExternalLabQA","externalLabDataQF","Data quality flag for external lab data","string",NA,"expanded","asIs","N",""
"alg_domainLabChemistry","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","siteID","NEON site code","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"alg_domainLabChemistry","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"alg_domainLabChemistry","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"alg_domainLabChemistry","filterNumber","Number of filter","unsigned integer",NA,"basic","integer","Y",""
"alg_domainLabChemistry","analysisType","Type of analysis at external lab","string",NA,"basic","LOV","Y","alg.analysisType"
"alg_domainLabChemistry","fieldSampleVolume","Sample volume collected in the field","real","milliliter","basic","*.#(round)","N",""
"alg_domainLabChemistry","domainFilterVolume","Volume of material passed through filter at domain lab","real","milliliter","basic","*.#(round)","N",""
"alg_domainLabChemistry","storageDays","Total number of days clipped biomass was stored between collection and processing","real","nominalDay","basic","*.#(round)","N",""
"alg_domainLabChemistry","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","alg.sampleCondition"
"alg_domainLabChemistry","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"alg_domainLabChemistry","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"alg_domainLabChemistry","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"alg_fieldData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"alg_fieldData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"alg_fieldData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"alg_fieldData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","Y",""
"alg_fieldData","aquaticSiteType","Type of aquatic site, includes lake, river or stream","string",NA,"basic","asIs","N",""
"alg_fieldData","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"alg_fieldData","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"alg_fieldData","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"alg_fieldData","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"alg_fieldData","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",""
"alg_fieldData","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"alg_fieldData","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"alg_fieldData","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",""
"alg_fieldData","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","Y",""
"alg_fieldData","parentSampleCode","Barcode of a parent sample","string",NA,"basic","asIs","Y",""
"alg_fieldData","samplingImpractical","Samples and/or measurements were not collected due to the indicated circumstance","string",NA,"basic","LOV","N","samplingImpractical"
"alg_fieldData","biophysicalCriteria","An indicator of whether sampling coincided with the intended biophysical conditions","string",NA,"basic","LOV","N","biophysicalCriteria"
"alg_fieldData","affectedByWind","Indication of whether the wind speed was higher than the wind speed recommended in the sampling protocol during sample collection","string",NA,"basic","LOV","N","Yes or No choice"
"alg_fieldData","habitatType","Habitat type sampled","string",NA,"basic","LOV","N","inv.habitatType"
"alg_fieldData","algalSampleType","Type of algal sample collected","string",NA,"basic","asIs","N",""
"alg_fieldData","benthicArea","Area of the benthos sampled","real","squareMeter","basic","*.######(round)","N",""
"alg_fieldData","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","alg.samplingProtocolVersion"
"alg_fieldData","phytoDepth1","First phytoplankton sample depth at sampling location","real","meter","basic","*.#(round)","N",""
"alg_fieldData","phytoDepth2","Second phytoplankton sample depth at sampling location","real","meter","basic","*.#(round)","N",""
"alg_fieldData","phytoDepth3","Third phytoplankton sample depth at sampling location","real","meter","basic","*.#(round)","N",""
"alg_fieldData","substratumSizeClass","Size class of the substratum sampled","string",NA,"basic","LOV","N","inv.substratumSizeClass"
"alg_fieldData","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"alg_fieldData","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",""
"alg_fieldData","collectedBy","An identifier for the technician who collected the sample or specimen","string",NA,"basic","asIs","N",""
"alg_fieldData","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"alg_fieldData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"alg_fieldData","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"asi_externalLabPOMSummaryData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"asi_externalLabPOMSummaryData","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"asi_externalLabPOMSummaryData","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"asi_externalLabPOMSummaryData","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","aquChem.analyte"
"asi_externalLabPOMSummaryData","sampleType","Type of sample","string",NA,"expanded","LOV","Y","aquChem.qaType"
"asi_externalLabPOMSummaryData","instrument","Type of instrument used for the analysis","string",NA,"expanded","asIs","Y",""
"asi_externalLabPOMSummaryData","testMethod","Method used to conduct test","string",NA,"expanded","asIs","N",""
"asi_externalLabPOMSummaryData","method","Published method used for analysis","string",NA,"expanded","asIs","N",""
"asi_externalLabPOMSummaryData","qaReferenceID","Identifier for quality assurance reference material or standard","string",NA,"expanded","asIs","N",""
"asi_externalLabPOMSummaryData","standardReferenceKnownValue","The known value for QA reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"asi_externalLabPOMSummaryData","standardReferenceMeasuredMean","Long-term average of the measured value for QA reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"asi_externalLabPOMSummaryData","analyteAccuracy","Long-term average accuracy, e.g. the absolute difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.##(round)","N",""
"asi_externalLabPOMSummaryData","analyteStandardDeviation","Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.##(round)","N",""
"asi_externalLabPOMSummaryData","analyteMetricsCount","Count of how many measurements were used to determine analyte metrics","unsigned integer","number","expanded","integer","N",""
"asi_externalLabPOMSummaryData","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"asi_externalLabPOMSummaryData","labSpecificStartDate","Date a specific analyte, instrument, and associated method detection limit combination started","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"asi_externalLabPOMSummaryData","labSpecificEndDate","Date a specific analyte, instrument, and associated method detection limit combination ended","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
