name,pubCode,description,startDate,endDate
"altGeodeticDatum","WGS84","World Geodetic System 84",2012-01-01T00:00:00Z,
"aquaticSiteType","lake","lake",2012-01-01T00:00:00Z,
"aquaticSiteType","stream","stream",2012-01-01T00:00:00Z,
"aquaticSiteType","river","river",2012-01-01T00:00:00Z,
"sampleCondition","Sample condition ok","OK",2012-01-01T00:00:00Z,
"sampleCondition","Cold chain broken","cold chain broken",2012-01-01T00:00:00Z,
"sampleCondition","Other (specified in remarks)","other",2012-01-01T00:00:00Z,
"sampleCondition","Backwards Filter Membrane","Membrane attached backwards during sample filtering",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"swc.methodType","IPT","IPT method",2014-01-01T00:00:00Z,
"swc.methodType","Gran","Gran method",2014-01-01T00:00:00Z,
"swc.normality","0.16","normality 0.16",2014-01-01T00:00:00Z,
"swc.normality","1.6","normality 1.6",2014-01-01T00:00:00Z,
"swc.sampleCollected","Y","Yes",2012-01-01T00:00:00Z,
"swc.sampleCollected","N","No",2012-01-01T00:00:00Z,
"swc.sampleCollected","NOT_SCHEDULED","Not scheduled",2012-01-01T00:00:00Z,
"swc.sampleType","ALK","alkalinity",2014-01-01T00:00:00Z,
"swc.sampleType","ANC","acid-neutralizing capacity",2014-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vC","NEON.DOC.002905vC",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vB","NEON.DOC.002905vB",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vA","NEON.DOC.002905vA",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vD","NEON.DOC.002905vD",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vG","NEON.DOC.000694vG",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vF","NEON.DOC.000694vF",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vE","NEON.DOC.000694vE",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vD","NEON.DOC.000694vD",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vC","NEON.DOC.000694vC",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vB","NEON.DOC.000694vB",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.000694vA","NEON.DOC.000694vA",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001190vD","NEON.DOC.001190vD",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001190vC","NEON.DOC.001190vC",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001190vB","NEON.DOC.001190vB",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001190vA","NEON.DOC.001190vA",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001219vD","NEON.DOC.001219vD",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001219vC","NEON.DOC.001219vC",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001219vB","NEON.DOC.001219vB",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.001219vA","NEON.DOC.001219vA",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vE","NEON.DOC.002905vE",2012-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vF","NEON.DOC.002905vF",2019-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vG","NEON.DOC.002905vG",2019-01-01T00:00:00Z,
"swc.samplingProtocolVersion","NEON.DOC.002905vH","NEON.DOC.002905vH",2021-12-01T00:00:00Z,
"swc.shipmentRange","within 24 hours of collection","within 24 hours of collection",2012-01-01T00:00:00Z,
"swc.shipmentRange","within 24 to 72 hours of collection","within 24 to 72 hours of collection",2012-01-01T00:00:00Z,
"swc.shipmentRange","more than 72 hours after collection","more than 72 hours after collection",2012-01-01T00:00:00Z,
"swc.titrationLocation","support facility","Support Facility",2014-01-01T00:00:00Z,
"swc.titrationLocation","other","Other",2014-01-01T00:00:00Z,
