uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF,publicationDate,release
225f20e9-3574-4d1f-bb5c-928ee0a8c8e5,D03,BARC,BARC.AOS.littoral2,2015-06-24T13:15Z,BARC.OT.20150624,,,BARC.OT.20150624.POM.2,,,BARC.OT.20150624.POM.1,,2015-06-24T15:35Z,390,390,,20211222T004622Z,RELEASE-2022
d7cb0d0b-d09e-481a-8f26-f601d93cc24b,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T13:15Z,BARC.C0.20150624,,,BARC.C0.20150624.POM.2,,,BARC.C0.20150624.POM.1,,2015-06-24T16:35Z,430,430,,20211222T004622Z,RELEASE-2022
cfa2f1ad-9945-41c6-a5d4-d2c3eb22521c,D03,BARC,BARC.AOS.littoral1,2015-06-24T13:15Z,BARC.IN.20150624,,,BARC.IN.20150624.POM.2,,,BARC.IN.20150624.POM.1,,2015-06-24T16:10Z,420,420,,20211222T004622Z,RELEASE-2022
d7e39548-d262-4978-8cc7-fb13a41fef3b,D03,BARC,BARC.AOS.littoral2,2015-07-23T15:10Z,BARC.OT.20150723,,,BARC.OT.20150723.POM.2,,,BARC.OT.20150723.POM.1,,2015-07-23T20:20Z,400,400,,20211221T211509Z,RELEASE-2022
9cdc9935-0c49-409f-b001-548ae014da83,D03,BARC,BARC.AOS.littoral1,2015-07-23T15:10Z,BARC.IN.20150723,,,BARC.IN.20150723.POM.2,,,BARC.IN.20150723.POM.1,,2015-07-23T19:40Z,450,450,,20211221T211509Z,RELEASE-2022
273aa4a9-99de-41b6-a6be-365d4b7ee11b,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T15:10Z,BARC.C0.20150723,,,BARC.C0.20150723.POM.2,,,BARC.C0.20150723.POM.1,,2015-07-23T19:00Z,500,500,,20211221T211509Z,RELEASE-2022
faa9a6c1-10bc-4b7f-8e79-36c87dfa5db0,D03,BARC,BARC.AOS.littoral2,2015-08-27T14:35Z,BARC.OT.20150827,,,BARC.OT.20150827.POM.2,,,BARC.OT.20150827.POM.1,,2015-08-27T18:00Z,500,500,,20211222T000202Z,RELEASE-2022
ec693365-2d5b-408b-9817-760f8a05abee,D03,BARC,BARC.AOS.littoral1,2015-08-27T14:35Z,BARC.IN.20150827,,,BARC.IN.20150827.POM.2,,,BARC.IN.20150827.POM.1,,2015-08-27T18:00Z,500,500,,20211222T000202Z,RELEASE-2022
e1c848e1-19bd-42b6-bbf0-572157e80e0d,D03,BARC,BARC.AOS.buoy.c0,2015-08-27T14:35Z,BARC.C0.20150827,,,BARC.C0.20150827.POM.2,,,BARC.C0.20150827.POM.1,,2015-08-27T18:00Z,500,500,,20211222T000202Z,RELEASE-2022
3f12afaa-0aa8-4117-8c64-4672dc768c64,D03,BARC,BARC.AOS.littoral2,2015-10-14T04:00Z,BARC.OT.20151014,,,BARC.OT.20151014.POM.2,,,BARC.OT.20151014.POM.1,,2015-10-14T16:45Z,300,300,,20211222T041513Z,RELEASE-2022
b1bf8cf1-399c-4adb-a3f5-0a0acd550f42,D03,BARC,BARC.AOS.buoy.c0,2015-10-14T04:00Z,BARC.C0.20151014,,,BARC.C0.20151014.POM.2,,,BARC.C0.20151014.POM.1,,2015-10-14T16:45Z,400,400,,20211222T041513Z,RELEASE-2022
122d8016-c458-4988-86d9-2b13bc6fe779,D03,BARC,BARC.AOS.littoral1,2015-10-14T04:00Z,BARC.IN.20151014,,,BARC.IN.20151014.POM.2,,,BARC.IN.20151014.POM.1,,2015-10-14T16:45Z,350,350,,20211222T041513Z,RELEASE-2022
b955bad1-b34a-4714-9caa-d0f1b4092206,D03,BARC,BARC.AOS.littoral2,2015-11-20T15:15Z,BARC.OT.20151120,,,BARC.OT.20151120.POM.2,,,BARC.OT.20151120.POM.1,,2015-11-20T19:30Z,350,350,,20211221T214025Z,RELEASE-2022
908abbc7-f45e-4617-a6c2-94661103672b,D03,BARC,BARC.AOS.littoral1,2015-11-20T15:15Z,BARC.IN.20151120,,,BARC.IN.20151120.POM.2,,,BARC.IN.20151120.POM.1,,2015-11-20T19:30Z,350,350,,20211221T214025Z,RELEASE-2022
