uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF,publicationDate,release
fd875766-7b10-421c-9b03-8f6266365a3b,D03,BARC,BARC.AOS.buoy.c0,2014-01-15T14:50Z,2014-01-15T19:55Z,BARC.C0.20140115,BARC.C0.20140115.ANC,,support facility,ANC,4.43,18.2,0.16,50,IPT,,cfoster@neoninc.org,,,0.02,0.91,,20220107T003044Z,RELEASE-2022
9fa6ce7a-224f-4950-9e6e-b2b1d83c4d3b,D03,BARC,BARC.AOS.buoy.c0,2014-01-15T14:50Z,2014-01-15T19:20Z,BARC.C0.20140115,BARC.C0.20140115.ALK,,support facility,ALK,4.55,17.2,0.16,50,IPT,,cfoster@neoninc.org,0.02,0.91,,,,20220107T003044Z,RELEASE-2022
2a4a5fec-75a6-4a8f-952f-afd91d48d0b4,D03,BARC,BARC.AOS.buoy.c0,2014-02-11T15:00Z,2014-02-12T14:35Z,BARC.C0.20140211,BARC.C0.20140211.ALK,,support facility,ALK,4.23,19,0.16,50,Gran,,cfoster@neoninc.org,-0.07,-3.51,,,,20220107T002401Z,RELEASE-2022
b9581c74-e9ba-459f-9386-5b3f6dfe2ffb,D03,BARC,BARC.AOS.buoy.c0,2014-02-11T15:00Z,2014-02-12T14:00Z,BARC.C0.20140211,BARC.C0.20140211.ANC,,support facility,ANC,4.18,19,0.16,50,Gran,,cfoster@neoninc.org,,,-0.19,-9.36,,20220107T002401Z,RELEASE-2022
0c571bf6-5bbc-45d5-b3c9-5a8beeb05724,D03,BARC,BARC.AOS.buoy.c0,2014-03-11T13:50Z,2014-03-12T13:00Z,BARC.C0.20140311,BARC.C0.20140311.ANC,,support facility,ANC,4.41,21.4,0.16,50,Gran,,cfoster@neoninc.org,,,-0.04,-2.01,,20220107T003240Z,RELEASE-2022
7fda9bb0-0158-4fe1-9588-d2cab94e4991,D03,BARC,BARC.AOS.buoy.c0,2014-03-11T13:50Z,2014-03-12T13:30Z,BARC.C0.20140311,BARC.C0.20140311.ALK,,support facility,ALK,4.39,21.3,0.16,50,Gran,,cfoster@neoninc.org,-0.05,-2.66,,,,20220107T003240Z,RELEASE-2022
4a4985cb-e1d0-4084-99c6-076ad3d00201,D03,BARC,BARC.AOS.buoy.c0,2014-04-15T13:30Z,2014-04-16T12:45Z,BARC.C0.20140415,BARC.C0.20140415.ANC,,support facility,ANC,6,20.2,0.16,50,Gran,,cfoster@neoninc.org,,,-0.17,-8.53,,20220107T002518Z,RELEASE-2022
f59b88b0-1bc2-4a07-b1d6-ba8b46e485e9,D03,BARC,BARC.AOS.buoy.c0,2014-04-15T13:30Z,2014-04-16T12:45Z,BARC.C0.20140415,BARC.C0.20140415.ALK,,support facility,ALK,4.05,20.2,0.16,50,Gran,,cfoster@neoninc.org,-0.28,-14.2,,,,20220107T002518Z,RELEASE-2022
82803e50-5205-49a8-88cc-e82c1c6c2002,D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00Z,2014-05-14T13:40Z,BARC.C0.20140513,BARC.C0.20140513.ANC,,support facility,ANC,4.3,22,0.16,50,Gran,,cfoster@neoninc.org,,,-0.01,-0.67,,20220107T003042Z,RELEASE-2022
42e9233c-de4c-425f-a03c-1ccb4f010e5d,D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00Z,2014-05-14T12:55Z,BARC.C0.20140513,BARC.C0.20140513.ALK,,support facility,ALK,4.38,22.9,0.16,50,Gran,,cfoster@neoninc.org,-0.03,-1.44,,,,20220107T003042Z,RELEASE-2022
