uid,laboratoryName,startDate,endDate,analyte,instrument,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate,publicationDate
b09b97bd-c0ef-4dc3-8adf-fa284012c1b1,USGS_NWQA,2017-08-25,2017-08-25,NO3+NO2 - N,USGS Method RED01,USGS Method RED01,,0.04,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
1b0db9ed-6987-4924-9a2c-455986578486,USGS_NWQA,2017-08-25,2017-08-25,TDP,USGS Method CL020,USGS Method CL020,,0.003,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
f14d3e35-f084-414c-8641-3ff0e7248d12,USGS_NWQA,2017-08-25,2017-08-25,Mg,USGS Method PLA11,USGS Method PLA11,,0.008,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
510adf28-2846-4be5-8880-15ddf7a0a072,USGS_NWQA,2017-08-25,2017-08-25,F,USGS Method ISE05,USGS Method ISE05,,0.04,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
b91c1c1e-b92a-4bc8-844e-49427d557294,USGS_NWQA,2017-08-25,2017-08-25,TP,USGS Method CL021,USGS Method CL021,,0.004,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
3b111ffb-e867-459d-803a-de031a000ca4,USGS_NWQA,2017-08-25,2017-08-25,Fe,USGS Method PLA11,USGS Method PLA11,,3.2,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
8f48c929-6875-42e9-957a-a79624fece3b,USGS_NWQA,2017-08-25,2017-08-25,NO2 -N,USGS Method 00049,USGS Method 00049,,0.001,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
f227d2d8-5525-4b03-9861-cee6179859a3,USGS_NWQA,2017-08-25,2017-08-25,DOC,USGS Method OX006,USGS Method OX006,,0.15,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
69c8144e-9f9e-4a8f-b74a-f56c496b5212,USGS_NWQA,2017-08-25,2017-08-25,Na,USGS Method PLA11,USGS Method PLA11,,0.06,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
3f103d3e-daf9-4e6f-b252-79da0b456b0d,USGS_NWQA,2017-08-25,2017-08-25,Si,USGS Method PLA11,USGS Method PLA11,,0.029,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
d3c070aa-a18d-4988-a2a6-a552cb5ad05a,USGS_NWQA,2017-08-25,2017-08-25,TDN,USGS Method CL063,USGS Method CL063,,0.05,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
b2131557-4b82-47f7-840b-a834e8679c59,USGS_NWQA,2017-08-25,2017-08-25,pH,USGS Method EL006,USGS Method EL006,,0.1,pH,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
1f77b4f1-586f-4065-849f-5d5e28526392,USGS_NWQA,2017-08-25,2017-08-25,TOC,USGS Method COMB9,USGS Method COMB9,,0.3,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
7362718c-5d97-4386-bdb9-4bcd82038c30,USGS_NWQA,2017-08-25,2017-08-25,TSS,USGS Method SLD04,USGS Method SLD04,,15,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
5e6d02d1-2108-409d-9832-c9e598f46d0a,USGS_NWQA,2017-08-25,2017-08-25,TPC,USGS Method COMB6,USGS Method COMB6,,0.05,milligram,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
e8b5fcca-6f8d-44f9-b545-f0669a49d833,USGS_NWQA,2017-08-25,2017-08-25,K,USGS Method PLO03,USGS Method PLO03,,0.022,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
b4a5f330-69df-494b-818c-e1228c67a8ac,USGS_NWQA,2017-08-25,2017-08-25,Cl,USGS Method IC022,USGS Method IC022,,0.06,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
616b95a1-d578-462c-a677-440bcce69f00,USGS_NWQA,2017-08-25,2017-08-25,Ortho-P,USGS Method 00048,USGS Method 00048,,0.004,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
49c737cb-5ea1-407c-936a-ba71b648a7e6,USGS_NWQA,2017-08-25,2017-08-25,DIC,USGS Method OX020,USGS Method OX020,,0.2,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
23810e5c-1d54-4382-9722-1b71bd1f6427,USGS_NWQA,2017-08-25,2017-08-25,TDS,USGS Method ROE10,USGS Method ROE10,,12,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
ce11d020-a45a-4c17-b99c-35fba20c8ae6,USGS_NWQA,2017-08-25,2017-08-25,TPN,USGS Method COMB7,USGS Method COMB7,,0.017,milligram,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
c7519204-8cd7-4009-988b-07e3c0b01d57,USGS_NWQA,2017-08-25,2017-08-25,ANC,USGS Method TT040,USGS Method TT040,,0.08,milliequivalentsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
86581f63-ff91-44c3-bf7e-c40e3fa2a6ce,USGS_NWQA,2017-08-25,2017-08-25,TN,USGS method AKP01,USGS method AKP01,,0.05,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
01abafd1-9038-4bf4-b8c0-601fec15318d,USGS_NWQA,2017-08-25,2017-08-25,NH4 - N,USGS Method 00048,USGS Method 00048,,0.01,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
021597df-d92b-439c-88c0-9381f12f7a4a,USGS_NWQA,2017-08-25,2017-08-25,Br,USGS Method IC027,USGS Method IC027,,0.01,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
2b8e3f2b-ef7d-4cdc-a1ad-cc289c9d204a,USGS_NWQA,2017-08-25,2017-08-25,SO4,USGS Method IC022,USGS Method IC022,,0.09,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
43fabf61-a007-45f0-99e5-178d57f48750,USGS_NWQA,2017-08-25,2017-08-25,Ca,USGS Method PLA11,USGS Method PLA11,,0.022,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
f02b3387-0dc1-435a-bb4e-7f0070adefaa,USGS_NWQA,2017-08-25,2017-08-25,specificConductance,USGS Method WHT03,USGS Method WHT03,,5,microsiemensPerCentimeter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
97ce8519-c96f-48df-b53d-06e50f5d9635,USGS_NWQA,2017-08-25,2017-08-25,Mn,USGS Method PLA11,USGS Method PLA11,,0.16,milligramsPerLiter,,,,,,,2010-12-01,2014-12-01,20220110T211626Z
8f3a2a35-f61e-46a7-bec1-437fae8018ea,EcoCore_CSU,2020-02-07,2020-02-07,Mg,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.001,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
32cf51b3-8634-4a06-85d1-98a6262aad2d,EcoCore_CSU,2020-02-07,2020-02-07,NO3+NO2 - N,OI Analytical 3700 Automated Chemistry Analyzer,Cd reduction/sulfanilamide (EPA 353.2),"",0.027,milligramsPerLiter,0.037,Standard deviation of nominal value,,0.214,95% CI of combined uncertainty,"EcoCore, Colorado State University",2017-11-27,2019-07-03,20220125T180828Z
70d4e692-8086-4fc1-b1b4-3e457db35cee,EcoCore_CSU,2020-02-07,2020-02-07,pH,Orion comb. Electrode,EPA 150.1,"",0.01,pH,4.4,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
953c45db-6423-4d85-8596-cb33a6284aa1,EcoCore_CSU,2020-02-07,2020-02-07,NO3+NO2 - N,OI flow solution IV with A0002670 cartridge,Cd reduction/sulfanilamide (EPA 353.2),"",0.05,milligramsPerLiter,0.008,Standard deviation of nominal value,,0.069,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-05-02,2018-06-07,20220125T180828Z
ff15d9aa-6df8-48bd-a0c1-4eb8d5deeb2a,EcoCore_CSU,2020-02-07,2020-02-07,DOC,Shimadzu toc-L,Combustion/NDIR,"",0.1,milligramsPerLiter,10,+/- % of nominal value at full scale,,12,+/- % of nominal value at full scale,"EcoCore, Colorado State University",2014-10-06,2016-06-15,20220125T180828Z
98505e39-0e5e-4be6-a02a-77c38d9f7ce0,EcoCore_CSU,2020-02-07,2020-02-07,TP,"Digestion block, ICP",EPA 365.4,"",0.001,milligramsPerLiter,4.2,+/- % of nominal value at full scale,,7,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State Univeristy",2014-10-06,,20220125T180828Z
599f05f0-3de5-47b4-b2fe-6e80d276a4b4,EcoCore_CSU,2020-02-07,2020-02-07,F,Thermo Scientific Dionex ICS-1100 IC,EPA 300.0,"",0.01,milligramsPerLiter,4.7,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
fb45a9b8-9204-495b-8438-169aa9a5eb45,EcoCore_CSU,2020-02-07,2020-02-07,NO2 - N,OI flow solution IV with A0002670 cartridge,Sulfanilamide (EPA 353.2),"",0.05,milligramsPerLiter,5,+/- % of nominal value at full scale,,7,+/- % of nominal value at full scale,"EcoCore, Colorado State University",2014-10-06,2016-05-02,20220125T180828Z
f0aed693-232d-4180-b7a5-076600b1325b,EcoCore_CSU,2020-02-07,2020-02-07,TDN,Shimadzu toc-L,combustion/chemoluminesence,"",0.1,milligramsPerLiter,0.031,Standard deviation of nominal value,,0.126,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-06-15,2019-05-28,20220125T180828Z
3c7fd73d-546d-45ec-bc92-c6db5b43f8fe,EcoCore_CSU,2020-02-07,2020-02-07,UV Absorbance (280 nm),Tecan Infinite M201,Absorbance,"",,absorbance units,1,% of 1/1000 OD,,1,% of 1/1000 OD,"EcoCore, Colorado State University",2014-10-06,,20220125T180828Z
3d565aba-050b-4876-a578-5d32fdcfc1c3,EcoCore_CSU,2020-02-07,2020-02-07,Si,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.01,milligramsPerLiter,4.7,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
e71b7213-8d32-4208-85b8-3e8a7de67c9d,EcoCore_CSU,2020-02-07,2020-02-07,TOC,Shimadzu toc-L,acidification/NDIR,"",0.1,milligramsPerLiter,0.153,Standard deviation of nominal value,,0.35,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-06-15,2019-05-28,20220125T180828Z
f18eb97c-0867-46a4-870f-117e943271ff,EcoCore_CSU,2020-02-07,2020-02-07,SO4,Thermo Scientific Dionex ICS-1100 IC,EPA 300.0,"",0.01,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
3ccfd597-36dd-439b-bfd7-55e250ec7c2e,EcoCore_CSU,2020-02-07,2020-02-07,DOC,Shimadzu toc-L,Combustion/NDIR,"",0.1,milligramsPerLiter,0.153,Standard deviation of nominal value,,0.35,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-06-15,2019-05-28,20220125T180828Z
2fc2cc1e-d406-422e-a036-b65d5a441e2e,EcoCore_CSU,2020-02-07,2020-02-07,DOC,Shimadzu toc-L,Combustion/NDIR,"",0.097,milligramsPerLiter,0.082,Standard deviation of nominal value,,0.235,95% CI of combined uncertainty,"EcoCore, Colorado State University",2019-05-28,,20220125T180828Z
0d191de0-6539-49cb-9d62-90a93467bb9d,EcoCore_CSU,2020-02-07,2020-02-07,NO3+NO2 - N,OI Analytical 3700 Automated Chemistry Analyzer,Cd reduction/sulfanilamide (EPA 353.2),"",0,milligramsPerLiter,0.037,Standard deviation of nominal value,,0.214,95% CI of combined uncertainty,"EcoCore, Colorado State University",2019-07-03,,20220125T180828Z
de2931ad-54b3-4495-b502-503c2369240a,EcoCore_CSU,2020-02-07,2020-02-07,TPN,Leco Tru-Spec,Combustion/Dumas,"",0.01,milligram,5,+/- % of nominal value at full scale,,12,+/- % of nominal value at full scale,"EcoCore, Colorado State University",2014-10-06,2016-06-15,20220125T180828Z
3f66ee35-3c6a-4b8e-860a-02ac8ce504cd,EcoCore_CSU,2020-02-07,2020-02-07,K,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.001,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
24da2fa5-9ed2-4edc-8804-eb1a2692a87a,EcoCore_CSU,2020-02-07,2020-02-07,Ortho - P,OI flow solution IV,ascorbic acid,50g Disodium EDTA to 1L buffer,0.033,milligramsPerLiter,0.007,Standard deviation of nominal value,,0.06,95% CI of combined uncertainty,"EcoCore, Colorado State University",2018-06-07,2019-07-03,20220125T180828Z
d2a7fadd-419c-4b72-b694-124fc753a5f1,EcoCore_CSU,2020-02-07,2020-02-07,Ortho - P,OI Analytical 3700 Automated Chemistry Analyzer,ascorbic acid,50g Disodium EDTA to 1L buffer,0.002,milligramsPerLiter,0.007,Standard deviation of nominal value,,0.06,95% CI of combined uncertainty,"EcoCore, Colorado State University",2020-02-05,,20220125T180828Z
14d03a09-c761-4f4d-95bd-f0f85ea0ab7c,EcoCore_CSU,2020-02-07,2020-02-07,TSS,"oven, balance",EPA 160.2,"",0.1,milligramsPerLiter,4.2,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
5f4abb31-4f73-4a6c-baff-a325a637de73,EcoCore_CSU,2020-02-07,2020-02-07,Na,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.001,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
d7c6cd91-637c-4564-afba-992ae727439f,EcoCore_CSU,2020-02-07,2020-02-07,ANC,Mettler Toledo Compact Titrator G20,EPA 200.5,"",0.01,milliequivalentsPerLiter,4.3,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
1c450da1-f7be-4de2-b4ae-80998cdb2029,EcoCore_CSU,2020-02-07,2020-02-07,TN,Shimadzu toc-L,combustion/chemoluminesence,"",0.1,milligramsPerLiter,10,+/- % of nominal value at full scale,,12,+/- % of nominal value at full scale,"EcoCore, Colorado State University",2014-10-06,2016-06-15,20220125T180828Z
bf1110b3-0352-4afe-a606-2ee1a5c5f8d9,EcoCore_CSU,2020-02-07,2020-02-07,TDS,"oven, balance",EPA 160.1,"",0.1,milligramsPerLiter,4.2,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220125T180828Z
6c4553d4-5bfe-4ddd-987c-9addac1f891b,EcoCore_CSU,2020-02-07,2020-02-07,NH4 - N,OI Analytical 3700 Automated Chemistry Analyzer,Salicylate/nitroferricyanide (DIN 38406),"",0.02,milligramsPerLiter,0.078,Standard deviation of nominal value,,0.382,95% CI of combined uncertainty,"EcoCore, Colorado State University",2017-11-27,2019-07-03,20220125T180828Z
