uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleCondition,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,publicationDate,release
f2414eae-8ce0-49e7-a542-a17ea7102b31,D03,BARC,BARC.AOS.buoy.c0,2014-01-15T14:50Z,BARC.C0.20140115,,BARC.C0.20140115,,2014-01-15T15:30Z,2014-01-15T15:30Z,1870,,,BARC.C0.20140115.FIL,,,,,,BARC.C0.20140115.RAW,,,,,,BARC.C0.20140115.PCN,,,20220107T003044Z,RELEASE-2022
1cae2b43-1f06-42e3-9823-5b3c33b517ab,D03,BARC,BARC.AOS.buoy.c0,2014-02-11T15:00Z,BARC.C0.20140211,,BARC.C0.20140211,,2014-02-11T15:10Z,2014-02-11T15:10Z,1300,,,BARC.C0.20140211.FIL,,,,,,BARC.C0.20140211.RAW,,,,,,BARC.C0.20140211.PCN,,,20220107T002401Z,RELEASE-2022
4baeb7be-480c-4bb7-b007-dc36abbddc1e,D03,BARC,BARC.AOS.buoy.c0,2014-03-11T13:50Z,BARC.C0.20140311,,BARC.C0.20140311,,2014-03-11T14:00Z,2014-03-11T14:00Z,1500,,,BARC.C0.20140311.FIL,,,,,,BARC.C0.20140311.RAW,,,,,,BARC.C0.20140311.PCN,,,20220107T003240Z,RELEASE-2022
894b840d-a55e-417d-b35b-83e6edf5bf41,D03,BARC,BARC.AOS.buoy.c0,2014-04-15T13:30Z,BARC.C0.20140415,,BARC.C0.20140415,,2014-04-15T15:30Z,2014-04-15T15:30Z,1500,,,BARC.C0.20140415.FIL,,,,,,BARC.C0.20140415.RAW,,,,,,BARC.C0.20140415.PCN,,,20220107T002518Z,RELEASE-2022
2f1d87bb-dc4e-40cb-9bf2-8743b7cdff5c,D03,BARC,BARC.AOS.buoy.c0,2014-05-13T14:00Z,BARC.C0.20140513,,BARC.C0.20140513,,2014-05-13T14:15Z,2014-05-13T14:15Z,850,,,BARC.C0.20140513.FIL,,,,,,BARC.C0.20140513.RAW,,,,,,BARC.C0.20140513.PCN,,,20220107T003042Z,RELEASE-2022
37e8e9e9-b3d4-482a-9fb3-3243a981982b,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T14:15Z,BARC.C0.20140603,,BARC.C0.20140603,,2014-06-03T15:10Z,2014-06-03T15:10Z,1250,,,BARC.C0.20140603.FIL,,,,,,BARC.C0.20140603.RAW,,,,,,BARC.C0.20140603.PCN,,,20220107T003346Z,RELEASE-2022
88c80574-3b79-45ca-880e-fe810925137b,D03,BARC,BARC.AOS.littoral1,2014-06-03T14:30Z,BARC.IN.20140603,,BARC.IN.20140603,,2014-06-03T15:00Z,2014-06-03T15:00Z,1250,,,BARC.IN.20140603.FIL,,,,,,BARC.IN.20140603.RAW,,,,,,BARC.IN.20140603.PCN,,,20220107T003346Z,RELEASE-2022
9acace2a-fd60-47a6-8d59-4b8baa2826b2,D03,BARC,BARC.AOS.littoral2,2014-06-03T14:55Z,BARC.OT.20140603,,BARC.OT.20140603,,2014-06-03T15:30Z,2014-06-03T15:30Z,850,,,BARC.OT.20140603.FIL,,,,,,BARC.OT.20140603.RAW,,,,,,BARC.OT.20140603.PCN,,,20220107T003346Z,RELEASE-2022
d0e1b236-9e3c-4010-b54d-2e832bc59a67,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T14:05Z,BARC.C0.20140730,,BARC.C0.20140730,,,,1200,,,BARC.C0.20140730.FIL,,,,,,BARC.C0.20140730.RAW,,,,,,BARC.C0.20140730.PCN,,,20220107T002522Z,RELEASE-2022
7b68c263-17e3-4789-b044-4727c914fd61,D03,BARC,BARC.AOS.littoral1,2014-07-30T14:35Z,BARC.IN.20140730,,BARC.IN.20140730,,,,1200,,,BARC.IN.20140730.FIL,,,,,,BARC.IN.20140730.RAW,,,,,,BARC.IN.20140730.PCN,,,20220107T002522Z,RELEASE-2022
47d355ea-6f63-4318-87d5-36bdf7efee91,D03,BARC,BARC.AOS.littoral2,2014-07-30T15:00Z,BARC.OT.20140730,,BARC.OT.20140730,,,,1000,,,BARC.OT.20140730.FIL,,,,,,BARC.OT.20140730.RAW,,,,,,BARC.OT.20140730.PCN,,,20220107T002522Z,RELEASE-2022
c0b46a9f-5571-413c-90fd-bf46448957cc,D03,BARC,BARC.AOS.buoy.c0,2016-10-12T14:25Z,BARC.C0.20161012,,BARC.C0.20161012,,2016-10-12T17:26Z,2016-10-12T17:26Z,300,,,BARC.C0.20161012.FIL,,,,,,BARC.C0.20161012.RAW,,,,,,BARC.C0.20161012.PCN,,,20211222T025310Z,RELEASE-2022
f1c26f9c-b1cb-4e86-83ce-1d296a7e78ae,D03,BARC,BARC.AOS.littoral1,2016-10-12T14:56Z,BARC.IN.20161012,,BARC.IN.20161012,,2016-10-12T18:00Z,2016-10-12T18:00Z,300,,,BARC.IN.20161012.FIL,,,,,,BARC.IN.20161012.RAW,,,,,,BARC.IN.20161012.PCN,,,20211222T025310Z,RELEASE-2022
87513d03-1378-4956-9a4c-84678e14f002,D03,BARC,BARC.AOS.littoral2,2016-10-12T15:30Z,BARC.OT.20161012,,BARC.OT.20161012,,2016-10-12T18:25Z,2016-10-12T18:25Z,400,,,BARC.OT.20161012.FIL,,,,,,BARC.OT.20161012.RAW,,,,,,BARC.OT.20161012.PCN,,,20211222T025310Z,RELEASE-2022
7157b492-cb7b-4b9f-be1b-d0fbc194dd20,D03,BARC,BARC.AOS.buoy.c0,2016-11-02T15:05Z,BARC.C0.20161102,,BARC.C0.20161102,,2016-11-02T18:07Z,2016-11-02T18:07Z,300,,,BARC.C0.20161102.FIL,,,,,,BARC.C0.20161102.RAW,,,,,,BARC.C0.20161102.PCN,,,20211221T220903Z,RELEASE-2022
5edaf786-02e5-4d27-a503-3239cd0cdf66,D03,BARC,BARC.AOS.littoral1,2016-11-02T15:30Z,BARC.IN.20161102,,BARC.IN.20161102,,2016-11-02T18:20Z,2016-11-02T18:20Z,250,,,BARC.IN.20161102.FIL,,,,,,BARC.IN.20161102.RAW,,,,,,BARC.IN.20161102.PCN,,,20211221T220903Z,RELEASE-2022
c0fcefc5-0b91-4873-bda0-48114d40f5c4,D03,BARC,BARC.AOS.littoral2,2016-11-02T15:58Z,BARC.OT.20161102,,BARC.OT.20161102,,2016-11-02T18:35Z,2016-11-02T18:35Z,200,,,BARC.OT.20161102.FIL,,,,,,BARC.OT.20161102.RAW,,,,,,BARC.OT.20161102.PCN,,,20211221T220903Z,RELEASE-2022
94a4360d-c981-4e48-ad7d-a717919fc7be,D03,BARC,BARC.AOS.littoral1,2016-12-13T15:29Z,BARC.IN.20161213,,BARC.IN.20161213,,2016-12-13T18:42Z,2016-12-13T18:42Z,400,,,BARC.IN.20161213.FIL,,,,,,BARC.IN.20161213.RAW,,,,,,BARC.IN.20161213.PCN,,,20211221T210726Z,RELEASE-2022
506e904f-2532-4d22-b03b-d20cef8eb5c5,D03,BARC,BARC.AOS.littoral2,2016-12-13T16:01Z,BARC.OT.20161213,,BARC.OT.20161213,,2016-12-13T19:10Z,2016-12-13T19:10Z,400,,,BARC.OT.20161213.FIL,,,,,,BARC.OT.20161213.RAW,,,,,,BARC.OT.20161213.PCN,,,20211221T210726Z,RELEASE-2022
4179765b-3742-412e-935d-77964bc53e1a,D03,BARC,BARC.AOS.buoy.c0,2016-12-13T16:41Z,BARC.C0.20161213,,BARC.C0.20161213,,2016-12-13T19:39Z,2016-12-13T19:39Z,500,,,BARC.C0.20161213.FIL,,,,,,BARC.C0.20161213.RAW,,,,,,BARC.C0.20161213.PCN,,,20211221T210726Z,RELEASE-2022
b26df7a5-69fb-4632-aac7-e0ca48356ac6,D03,BARC,BARC.AOS.buoy.c0,2017-02-01T15:12Z,BARC.C0.20170201,,BARC.C0.20170201,,2017-02-01T18:48Z,2017-02-01T18:48Z,550,,,BARC.C0.20170201.FIL,,,,,,BARC.C0.20170201.RAW,,,,,,BARC.C0.20170201.PCN,,,20211221T224038Z,RELEASE-2022
de3c7263-884b-4880-9d47-fdbffd19eb1a,D03,BARC,BARC.AOS.littoral1,2017-02-01T15:47Z,BARC.IN.20170201,,BARC.IN.20170201,,2017-02-01T19:30Z,2017-02-01T19:30Z,500,,,BARC.IN.20170201.FIL,,,,,,BARC.IN.20170201.RAW,,,,,,BARC.IN.20170201.PCN,,,20211221T224038Z,RELEASE-2022
3ee2efb0-be3a-4c05-8fd5-cd3b43145da2,D03,BARC,BARC.AOS.littoral2,2017-02-01T16:20Z,BARC.OT.20170201,,BARC.OT.20170201,,2017-02-01T20:13Z,2017-02-01T20:13Z,350,,,BARC.OT.20170201.FIL,,,,,,BARC.OT.20170201.RAW,,,,,,BARC.OT.20170201.PCN,,,20211221T224038Z,RELEASE-2022
ebcdd9a9-b929-40a5-8fe9-7456549af20f,D03,BARC,BARC.AOS.buoy.c0,2017-03-09T15:18Z,BARC.C0.20170309,,BARC.C0.20170309,,2017-03-09T17:46Z,2017-03-09T17:46Z,500,,,BARC.C0.20170309.FIL,,,,,,BARC.C0.20170309.RAW,,,,,,BARC.C0.20170309.PCN,,,20211221T235957Z,RELEASE-2022
65c2cb6d-8ec3-4b05-98bd-bbc441f5ad63,D03,BARC,BARC.AOS.littoral1,2017-03-09T15:40Z,BARC.IN.20170309,,BARC.IN.20170309,,2017-03-09T17:57Z,2017-03-09T17:57Z,350,,,BARC.IN.20170309.FIL,,,,,,BARC.IN.20170309.RAW,,,,,,BARC.IN.20170309.PCN,,,20211221T235957Z,RELEASE-2022
826e3e1c-b91a-47d1-9cc7-63c061c02e0a,D03,BARC,BARC.AOS.littoral2,2017-03-09T16:04Z,BARC.OT.20170309,,BARC.OT.20170309,,2017-03-09T18:06Z,2017-03-09T18:06Z,300,,,BARC.OT.20170309.FIL,,,,,,BARC.OT.20170309.RAW,,,,,,BARC.OT.20170309.PCN,,,20211221T235957Z,RELEASE-2022
d80266fd-0a23-4246-9b9d-80a0bcd49877,D03,BARC,BARC.AOS.buoy.c0,2017-04-05T13:53Z,BARC.C0.20170405,,BARC.C0.20170405,,2017-04-05T18:27Z,2017-04-05T18:27Z,500,,,BARC.C0.20170405.FIL,,,,,,BARC.C0.20170405.RAW,,,,,,BARC.C0.20170405.PCN,,,20211222T030732Z,RELEASE-2022
a2ccb7a4-75ce-43c6-98ba-73a11f7ef6d2,D03,BARC,BARC.AOS.littoral1,2017-04-05T14:29Z,BARC.IN.20170405,,BARC.IN.20170405,,2017-04-05T18:40Z,2017-04-05T18:40Z,400,,,BARC.IN.20170405.FIL,,,,,,BARC.IN.20170405.RAW,,,,,,BARC.IN.20170405.PCN,,,20211222T030732Z,RELEASE-2022
fccfa46e-46f7-4ac9-9a5f-652db57e735c,D03,BARC,BARC.AOS.littoral2,2017-04-05T14:55Z,BARC.OT.20170405,,BARC.OT.20170405,,2017-04-05T18:48Z,2017-04-05T18:48Z,300,,,BARC.OT.20170405.FIL,,,,,,BARC.OT.20170405.RAW,,,,,,BARC.OT.20170405.PCN,,,20211222T030732Z,RELEASE-2022
7e6aee13-b1f4-49d7-a8db-f7ddc00d2d00,D03,BARC,BARC.AOS.buoy.c0,2017-05-02T13:45Z,BARC.C0.20170502,Sample condition ok,BARC.C0.20170502,1,2017-05-02T16:31Z,2017-05-02T16:31Z,500,,Sample condition ok,BARC.C0.20170502.FIL,,,,,Sample condition ok,BARC.C0.20170502.RAW,,,,,Sample condition ok,BARC.C0.20170502.PCN,,,20211222T000117Z,RELEASE-2022
b808d2c7-b306-42e2-ab92-b4f28d18e9e6,D03,BARC,BARC.AOS.littoral1,2017-05-02T14:02Z,BARC.IN.20170502,Sample condition ok,BARC.IN.20170502,1,2017-05-02T16:48Z,2017-05-02T17:01Z,450,,Sample condition ok,BARC.IN.20170502.FIL,,,,,Sample condition ok,BARC.IN.20170502.RAW,,,,,Sample condition ok,BARC.IN.20170502.PCN,,,20211222T000117Z,RELEASE-2022
bfcd1c52-081a-4e48-9fc7-d782b38c78e7,D03,BARC,BARC.AOS.littoral2,2017-05-02T14:55Z,BARC.OT.20170502,Sample condition ok,BARC.OT.20170502,1,2017-05-02T16:59Z,2017-05-02T17:21Z,400,,Sample condition ok,BARC.OT.20170502.FIL,,,,,Sample condition ok,BARC.OT.20170502.RAW,,,,,Sample condition ok,BARC.OT.20170502.PCN,,,20211222T000117Z,RELEASE-2022
638b40af-3b3a-4b10-9f75-73b0b2ea5027,D03,BARC,BARC.AOS.buoy.c0,2017-06-08T14:04Z,BARC.C0.20170608,Sample condition ok,BARC.C0.20170608,1,2017-06-08T17:45Z,2017-06-08T17:45Z,300,,Sample condition ok,BARC.C0.20170608.FIL,,,,,Sample condition ok,BARC.C0.20170608.RAW,,,,,Sample condition ok,BARC.C0.20170608.PCN,,,20211222T001334Z,RELEASE-2022
9d3a031d-347b-40e2-a61a-381e1f8b08d3,D03,BARC,BARC.AOS.buoy.c0,2017-06-08T14:04Z,BARC.C0.20170608,Sample condition ok,BARC.C0.20170608.3,3,2017-06-08T17:45Z,2017-06-08T17:45Z,300,,Sample condition ok,BARC.C0.20170608.FIL.3,,,,,Sample condition ok,BARC.C0.20170608.RAW.3,,,,,Sample condition ok,BARC.C0.20170608.PCN.3,,,20211222T001334Z,RELEASE-2022
e330f872-3aed-4003-b226-99e7eb7d3e5a,D03,BARC,BARC.AOS.buoy.c0,2017-06-08T14:04Z,BARC.C0.20170608,Sample condition ok,BARC.C0.20170608.2,2,2017-06-08T17:45Z,2017-06-08T17:45Z,300,,Sample condition ok,BARC.C0.20170608.FIL.2,,,,,Sample condition ok,BARC.C0.20170608.RAW.2,,,,,Sample condition ok,BARC.C0.20170608.PCN.2,,,20211222T001334Z,RELEASE-2022
bc198da5-ed36-45cc-95ac-36e1c1530701,D03,BARC,BARC.AOS.littoral1,2017-06-08T14:30Z,BARC.IN.20170608,Sample condition ok,BARC.IN.20170608,1,2017-06-08T18:15Z,2017-06-08T17:44Z,250,,Sample condition ok,BARC.IN.20170608.FIL,,,,,Sample condition ok,BARC.IN.20170608.RAW,,,,,Sample condition ok,BARC.IN.20170608.PCN,,,20211222T001334Z,RELEASE-2022
62eaf706-bbc7-46b1-a0f2-266346bfc62c,D03,BARC,BARC.AOS.littoral2,2017-06-08T15:00Z,BARC.OT.20170608,Sample condition ok,BARC.OT.20170608,1,2017-06-08T18:30Z,2017-06-08T18:18Z,250,,Sample condition ok,BARC.OT.20170608.FIL,,,,,Sample condition ok,BARC.OT.20170608.RAW,,,,,Sample condition ok,BARC.OT.20170608.PCN,,,20211222T001334Z,RELEASE-2022
5b768d59-62d4-4494-b956-cbe705baebe1,D03,BARC,BARC.AOS.buoy.c0,2017-06-27T12:51Z,BARC.C0.20170627,Sample condition ok,BARC.C0.20170627,1,2017-06-27T15:39Z,2017-06-27T15:39Z,300,,Sample condition ok,BARC.C0.20170627.FIL,,,,,Sample condition ok,BARC.C0.20170627.RAW,,,,,Sample condition ok,BARC.C0.20170627.PCN,,,20211222T001334Z,RELEASE-2022
83671306-94c1-4bfc-bd79-50f03852553d,D03,BARC,BARC.AOS.littoral1,2017-06-27T13:17Z,BARC.IN.20170627,Sample condition ok,BARC.IN.20170627,1,2017-06-27T15:52Z,2017-06-27T16:13Z,250,,Sample condition ok,BARC.IN.20170627.FIL,,,,,Sample condition ok,BARC.IN.20170627.RAW,,,,,Sample condition ok,BARC.IN.20170627.PCN,,,20211222T001334Z,RELEASE-2022
b6025a60-a48d-4069-85c5-9f68031e3d64,D03,BARC,BARC.AOS.littoral2,2017-06-27T13:45Z,BARC.OT.20170627,Sample condition ok,BARC.OT.20170627,1,2017-06-27T16:15Z,2017-06-27T16:28Z,250,,Sample condition ok,BARC.OT.20170627.FIL,,,,,Sample condition ok,BARC.OT.20170627.RAW,,,,,Sample condition ok,BARC.OT.20170627.PCN,,,20211222T001334Z,RELEASE-2022
24636ef1-c355-4137-8b9f-c3ac551168bc,D03,BARC,BARC.AOS.buoy.c0,2017-08-02T13:04Z,BARC.C0.20170802,Sample condition ok,BARC.C0.20170802,1,2017-08-02T15:34Z,2017-08-02T15:28Z,450,,Sample condition ok,BARC.C0.20170802.FIL,,,,,Sample condition ok,BARC.C0.20170802.RAW,,,,,Sample condition ok,BARC.C0.20170802.PCN,,,20211222T023022Z,RELEASE-2022
313d5f6f-d379-4588-a079-e4696d1b6eda,D03,BARC,BARC.AOS.littoral1,2017-08-02T13:27Z,BARC.IN.20170802,Sample condition ok,BARC.IN.20170802,1,2017-08-02T16:07Z,2017-08-02T15:52Z,300,,Sample condition ok,BARC.IN.20170802.FIL,,,,,Sample condition ok,BARC.IN.20170802.RAW,,,,,Sample condition ok,BARC.IN.20170802.PCN,,,20211222T023022Z,RELEASE-2022
f10d209b-201b-4fb6-a4ac-d5e96a074017,D03,BARC,BARC.AOS.littoral2,2017-08-02T13:50Z,BARC.OT.20170802,Sample condition ok,BARC.OT.20170802,1,2017-08-02T16:45Z,2017-08-02T16:16Z,250,,Sample condition ok,BARC.OT.20170802.FIL,,,,,Sample condition ok,BARC.OT.20170802.RAW,,,,,Sample condition ok,BARC.OT.20170802.PCN,,,20211222T023022Z,RELEASE-2022
