uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,waterChemSamplesCollected,parentSampleID,eventID,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,swcSamplingProtocolVersion,lowerSegmentDepth,upperSegmentDepth,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,fieldDataQF,publicationDate,release
5b7a0eb6-2ab8-4158-8314-9e533f45c3a8,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-01-15T14:50Z,lake,,,BARC.C0.20140115,BARC.20140115,Kemmerer,,,66.4,15.3,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,,,20220107T003044Z,RELEASE-2022
5ed388b1-a757-4dd3-9ece-798da3987123,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-02-11T15:00Z,lake,,,BARC.C0.20140211,BARC.20140211,Kemmerer,,,67,15.2,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,,,20220107T002401Z,RELEASE-2022
2fb2f713-d3c9-45e5-b9c0-6aa25aee5aa1,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-03-11T13:50Z,lake,,,BARC.C0.20140311,BARC.20140311,Kemmerer,,,62.6,17.9,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,,,20220107T003240Z,RELEASE-2022
6e1b74a2-5ce2-4af9-8612-97bea6d81ab9,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-04-15T13:30Z,lake,,,BARC.C0.20140415,BARC.20140415,Kemmerer,,,60.3,24.8,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,,,20220107T002518Z,RELEASE-2022
8a63e28c-5f94-42fc-8299-79de1a71ab20,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-05-13T14:00Z,lake,,,BARC.C0.20140513,BARC.20140513,Kemmerer,,,59.7,28.3,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,,,20220107T003042Z,RELEASE-2022
a6785541-5016-4e95-b854-e6fce710c19c,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-06-03T14:15Z,lake,,,BARC.C0.20140603,BARC.20140603,Kemmerer,,,57.1,28.7,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"",,20220107T003346Z,RELEASE-2022
898944a3-a81e-43dc-afe2-19cc15936886,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2014-06-03T14:30Z,lake,,,BARC.IN.20140603,BARC.20140603,Kemmerer,,,58.7,28.8,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"",,20220107T003346Z,RELEASE-2022
eae2603f-7a26-42c4-936a-abd3f3eb181f,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2014-06-03T14:55Z,lake,,,BARC.OT.20140603,BARC.20140603,Kemmerer,,,58.8,28.8,NEON.DOC.001190vA,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,Outlet was in relatively shallow and heavily vegetated area near shore,,20220107T003346Z,RELEASE-2022
8765fc7e-2ccb-4076-a5d2-0e1b43c40c73,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-07-30T14:05Z,lake,,,BARC.C0.20140730,BARC.20140730,Kemmerer,,,56.7,32,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,titrations lost over time,,20220107T002522Z,RELEASE-2022
d0f2e758-535c-4bf5-9d71-1ef521fb779b,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2014-07-30T14:35Z,lake,,,BARC.IN.20140730,BARC.20140730,Kemmerer,,,57.1,32,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,ewebb@neoninc.org,"",,20220107T002522Z,RELEASE-2022
ed8ea9ed-26f0-455d-9704-bdd19270369f,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2014-07-30T15:00Z,lake,,,BARC.OT.20140730,BARC.20140730,Kemmerer,,,56.9,32,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"",,20220107T002522Z,RELEASE-2022
a81593e7-60ce-465c-888b-7ddec207948a,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-02-10T16:45Z,lake,,,BARC.C0.20150210,BARC.20150210,Kemmerer,,92,59.2,15.4,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,sampling depth appears to be at 1 m,,20211222T023333Z,RELEASE-2022
72ef0952-d848-4c7d-84e8-5bd653442b5a,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2015-02-10T17:10Z,lake,,,BARC.IN.20150210,BARC.20150210,Kemmerer,,93.1,59.8,15.4,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,sampling depth was 1 meter,,20211222T023333Z,RELEASE-2022
a1675ec4-2266-4544-a214-727387e015e0,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2015-02-10T17:30Z,lake,,,BARC.OT.20150210,BARC.20150210,Kemmerer,,79.8,59.8,15.3,NEON.DOC.001190vC,,,,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"",,20211222T023333Z,RELEASE-2022
8a9a8779-9626-49b5-90b3-c0f6d791a196,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-03-10T14:40Z,lake,,,BARC.C0.20150310,BARC.20150310,Kemmerer,,95,54.1,18.7,NEON.DOC.001190vC,4.8,0,4.8,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,Only sampled Alk/ANC due to lab not being available sampled at 1M and 2.9,,20211221T232645Z,RELEASE-2022
9d9f4d0b-418b-4743-b4e9-dfaa545b7bf0,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,26,1,WGS84,,,,,,2015-03-10T15:07Z,lake,,,BARC.IN.20150310,BARC.20150310,Kemmerer,,99.9,56.7,18.9,NEON.DOC.001190vC,2.7,0,2.7,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"Only ANC/Alk sampled due to labs, sample depths at 1M and 1.4M",,20211221T232645Z,RELEASE-2022
dc61503f-5eb2-4dcd-8cdd-91bd9cf852ac,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,27.1,1,WGS84,,,,,,2015-03-10T15:20Z,lake,,,BARC.OT.20150310,BARC.20150310,Kemmerer,,97.2,56.4,18.9,NEON.DOC.001190vC,1.3,0,1.3,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"Only Alk/ANC collected due to labs, sample collected at 1M",,20211221T232645Z,RELEASE-2022
d0a852ab-9c7f-4ccf-9b74-df0968334531,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-04-07T13:45Z,lake,,,BARC.C0.20150407,BARC.20150407,Kemmerer,,91.8,54,23.8,NEON.DOC.001190vC,4.8,0,4.8,,,cfoster@neoninc.org,mlehmensiek@neoninc.org,"Only sampled for ANC/ALK, sample depth 1M and 2.9M",,20211221T205634Z,RELEASE-2022
