"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"swc_asiPOMFieldData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_asiPOMFieldData","parentSampleID","Parent sampleID of sample being processed","string",NA,"basic","asIs","Y",""
"swc_asiPOMFieldData","parentSampleCode","Barcode of a parent sample","string",NA,"basic","asIs","Y",""
"swc_asiPOMFieldData","isotopePOMRep2SampleCond","Condition of a sample for 13C:12C and 15N:14N particulate organic matter (POM) stable isotope sample for replicate 2","string",NA,"basic","LOV","N","sampleCondition"
"swc_asiPOMFieldData","isotopePOMRep2SampleID","Identifier of sample for 13C:12C and 15N:14N particulate organic matter (POM) stable isotope sample for replicate 2","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","isotopePOMRep2SampleCode","Barcode of the particulate organic matter (POM) stable isotope sample, replicate 2","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","isotopePOMSampleCond","Condition of a sample for 13C:12C and 15N:14N particulate organic matter (POM) stable isotope sample","string",NA,"basic","LOV","N","sampleCondition"
"swc_asiPOMFieldData","isotopePOMSampleID","Identifier of sample for 13C:12C and 15N:14N particulate organic matter (POM) stable isotope sample","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","isotopePOMSampleCode","Barcode of the particulate organic matter (POM) stable isotope sample","string",NA,"basic","asIs","N",""
"swc_asiPOMFieldData","processedDateFilters","Date or date and time of processing event of filtered samples","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"swc_asiPOMFieldData","sampleVolumeFilteredPOMRep1","Volume of water filtered through the filter for particulate organic matter (POM) replicate 1 for isotope external analysis","real","milliliter","basic","integer","N",""
"swc_asiPOMFieldData","sampleVolumeFilteredPOMRep2","Volume of water filtered through the filter for particulate organic matter (POM) replicate 2 for isotope external analysis","real","milliliter","basic","integer","N",""
"swc_asiPOMFieldData","fieldDataQF","Data quality flag for field data","string",NA,"basic","asIs","N",""
