uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,date,eventID,maxDepth,iceThickness,snowThickness,samplingProtocolVersion,samplingImpractical,thermalStratification,upperMetalimnionDepth,lowerMetalimnionDepth,upperMetalimnion2Depth,lowerMetalimnion2Depth,estimatedMetalimnionDepths,remarks,recordedBy,measuredBy,dataQF,publicationDate,release
6c234ed0-c6ec-4adc-926e-63f3a28543f6,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-01-11T17:00Z,BARC.c0.20140111,4.4,,,NEON.DOC.002792vA,,nonstratified,,,,,,,,cfoster@neoninc.org,,20220107T002923Z,RELEASE-2022
4f383c9b-4bd3-486b-81c2-423e756756ae,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-02-11T17:00Z,BARC.c0.20140211,4.7,,,NEON.DOC.002792vA,,nonstratified,,,,,,,mlehmensieh@neoninc.org,cfoster@neoninc.org,,20220107T003234Z,RELEASE-2022
b670befa-e80e-402b-9a0e-fffe6c967829,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-04-15T16:00Z,BARC.c0.20140415,4.7,,,NEON.DOC.002792vA,,nonstratified,,,,,,,,cfoster@neoninc.org,,20220107T003224Z,RELEASE-2022
e13dd41f-182c-4c88-a809-9d0e92712375,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-06-03T16:00Z,BARC.c0.20140603,4.9,,,NEON.DOC.002792vA,,nonstratified,,,,,,,cfoster@neoninc.org,mlehmensieh@neoninc.org,,20220107T003118Z,RELEASE-2022
562034ea-3e14-48c7-812e-6aa1eefcd7e0,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-07-02T16:00Z,BARC.c0.20140702,5.2,,,NEON.DOC.002792vA,,nonstratified,,,,,,,"",cfoster@neoninc.org,,20220107T003012Z,RELEASE-2022
b10f7312-d195-4c37-85f3-73764c2dd6de,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-07-30T16:00Z,BARC.c0.20140730,5,,,NEON.DOC.002792vA,,nonstratified,,,,,,,"",cfoster@neoninc.org,,20220107T003012Z,RELEASE-2022
bef8df9b-965d-40e4-a2a0-f2556f675944,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2014-07-31T16:00Z,BARC.c0.20140731,5.1,,,NEON.DOC.002792vA,,nonstratified,,,,,,,cfoster@neoninc.org,mlehmensieh@neoninc.org,,20220107T003012Z,RELEASE-2022
9bae8df0-0457-4b8c-a422-b9ca9daf41f3,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,,27,10,WGS84,,,,,,2015-02-09T17:00Z,BARC.c0.20150209,,,,NEON.DOC.002792vA,other,"",,,,,,preliminary sampling bout not completed,"","",,20211222T043705Z,RELEASE-2022
51cb7681-3578-4599-ac09-fc28522dd4a2,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-02-10T17:00Z,BARC.c0.20150210,4.8,,,NEON.DOC.002792vA,"",nonstratified,,,,,,using new sensor for first time,mlehmensiek@neoninc.org,cfoster@neoninc.org,,20211222T043705Z,RELEASE-2022
5cff3c56-8639-443f-a64f-fe8dcba5f956,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,27,10,WGS84,,,,,,2015-04-07T16:00Z,BARC.c0.20150407,4.8,,,NEON.DOC.002792vA,,nonstratified,,,,,,,mlehmensiek@neoninc.org,cfoster@neoninc.org,,20211221T225714Z,RELEASE-2022
