name,pubCode,description,startDate,endDate
"dep.samplingProtocol","NEON.DOC.001190vA","NEON.DOC.001190vA",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001190vB","NEON.DOC.001190vB",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001194vA","NEON.DOC.001194vA",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001194vC","NEON.DOC.001194vC",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001200vA","NEON.DOC.001200vA",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001200vB","NEON.DOC.001200vB",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001203vA","NEON.DOC.001203vA",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.001203vB","NEON.DOC.001203vB",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.002792vA","NEON.DOC.002792vA",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.002792vB","NEON.DOC.002792vB",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.002792vC","NEON.DOC.002792vC",2014-01-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.002792vD","NEON.DOC.002792vD",2018-11-01T00:00:00Z,
"dep.samplingProtocol","NEON.DOC.002792vE","NEON.DOC.002792vE",2021-11-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
