"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"dep_secchi","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"dep_secchi","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"dep_secchi","siteID","NEON site code","string",NA,"basic","asIs","N",""
"dep_secchi","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"dep_secchi","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"dep_secchi","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"dep_secchi","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"dep_secchi","additionalCoordUncertainty","Additional uncertainty to be added to the coordinate uncertainty at all sites","real","meter","basic","*.#(round)","N",""
"dep_secchi","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"dep_secchi","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",""
"dep_secchi","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"dep_secchi","altLocation","Alternate Sampling Location description","string",NA,"basic","asIs","N",""
"dep_secchi","altLatitude","Alternate Sampling Location coordinate - latitude","real","decimalDegree","basic","*.######(round)","N",""
"dep_secchi","altLongitude","Alternate Sampling Location coordinate - longitude","real","decimalDegree","basic","*.######(round)","N",""
"dep_secchi","altCoordinateUncertainty","The horizontal distance (in meters) from the given altLatitude and altLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",""
"dep_secchi","altGeodeticDatum","Model used to measure horizontal position on the earth for alternate location coordinate","string",NA,"basic","asIs","N",""
"dep_secchi","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"dep_secchi","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",""
"dep_secchi","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","dep.samplingProtocol"
"dep_secchi","samplingImpractical","Samples and/or measurements were not collected due to the indicated circumstance","string",NA,"basic","LOV","N","samplingImpractical"
"dep_secchi","clearToBottom","Designation for when the secchi disk can be seen all the way to the bottom","string",NA,"basic","LOV","N","Yes or No choice"
"dep_secchi","maxDepth","Maximum depth","real","meter","basic","*.#(round)","N",""
"dep_secchi","icePresent","Indication of the presence of ice","string",NA,"basic","LOV","N","Yes or No choice"
"dep_secchi","secchiMeanDepth","Mean secchi depth at sampling location","real","meter","basic","*.#(round)","N",""
"dep_secchi","euphoticDepth","Depth of euphotic zone, 2.5 x secchiMeanDepth","real","meter","basic","*.#(round)","N",""
"dep_secchi","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"dep_secchi","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",""
"dep_secchi","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",""
"dep_secchi","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"dep_secchi","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"dep_secchi","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
