"SITE_ID","VISIT_NO","NAMES","lagoslakeid","INDEX_LAT","INDEX_LON"
"NLA06608-0001",1,"Wurdeman, Lake; Lake Wurdeman;",317084,48.98348,-114.0184
"NLA06608-0002",1,"Crane Pond; Crane Pond;",160874,33.03571,-79.98366
"NLA06608-0002",2,"Crane Pond; Crane Pond;",160874,33.035681,-79.981575
"NLA06608-0003",1,"; Wilderness Lake;",445489,28.0475,-97.860278
"NLA06608-0003",2,"; Wilderness Lake;",445489,28.0475,-97.859167
"NLA06608-0004",1,"; Puett Reservoir;",453155,37.41783,-108.40881
"NLA06608-0004",2,"; Puett Reservoir;",453155,37.41791,-108.4089
"NLA06608-0005",1,"; Perkins Lake;",466620,43.92898,-114.84167
"NLA06608-0005",2,"; Perkins Lake;",466620,43.92903,-114.84177
"NLA06608-0006",1,"Morris Reservoir; Morris Reservoir;",76789,41.67626,-73.14483
"NLA06608-0006",2,"Morris Reservoir; Morris Reservoir;",76789,41.67644,-73.14487
"NLA06608-0007",1,"Spring Lake; Spring Lake;",5347,45.581111,-92.040556
"NLA06608-0007",2,"Spring Lake; Spring Lake;",5347,45.580556,-92.040556
"NLA06608-0008",1,"Lake Aquabi; Lake Ahquabi;",4351,41.2928,-93.59579
"NLA06608-0008",2,"Lake Aquabi; Lake Ahquabi;",4351,41.29268,-93.59509
"NLA06608-0010",1,"Bogie Lake; Bogie Lake;",93810,42.62049,-83.50436
"NLA06608-0010",2,"Bogie Lake; Bogie Lake;",93810,42.62058,-83.50444
"NLA06608-0012",1,"; Cushing Lake;",379117,35.99915,-96.87734
"NLA06608-0012",2,"; Cushing Lake;",379117,35.99935,-96.87644
"NLA06608-0013",1,"Mirror Lake; Mirror Lake;",30086,39.972894,-74.563729
"NLA06608-0013",2,"Mirror Lake; Mirror Lake;",30086,39.972744,-74.564509
"NLA06608-0014",1,"; Unnamed Lake;",313267,47.83361,-100.575
"NLA06608-0014",2,"; Unnamed Lake;",313267,47.83524,-100.5766
"NLA06608-0015",1,"; Caballo Reservoir;",447806,32.90688,-107.30074
"NLA06608-0015",2,"; Caballo Reservoir;",447806,32.90683,-107.29958
"NLA06608-0016",1,"Lake Maloney; Lake Maloney;",360013,41.0383,-100.77021
"NLA06608-0016",2,"Lake Maloney; Lake Maloney;",360013,41.03878,-100.771
"NLA06608-0019",1,"Doyles Lake; Doyles Lake;",339915,46.366667,-99.5
"NLA06608-0019",2,"Doyles Lake; Doyles Lake;",339915,46.36623,-99.50207
"NLA06608-0020",1,"; Mill Creek Lake;",7005,39.410833,-87.805
"NLA06608-0020",2,"; Mill Creek Lake;",7005,39.411111,-87.805278
"NLA06608-0021",1,"Canandaigua Lake; Canandaigua Lake;",44035,42.82747,-77.2673
"NLA06608-0021",2,"Canandaigua Lake; Canandaigua Lake;",44035,42.83111,-77.26869
"NLA06608-0023",1,"; Birdbath Lake;",431899,31.1489,-97.744444
"NLA06608-0023",2,"; Birdbath Lake;",431899,31.14894,-97.74422
"NLA06608-0024",1,"Lake Palestine; Lake Palestine;",415677,32.07322,-95.43114
"NLA06608-0024",2,"Lake Palestine; Lake Palestine;",415677,32.071433,-95.438783
"NLA06608-0025",1,"Kings Mountain Number One Lake; Kings Mountian #1 Lake;",162542,35.201583,-81.348715
"NLA06608-0025",2,"Kings Mountain Number One Lake; Kings Mountian #1 Lake;",162542,35.20118,-81.34692
"NLA06608-0029",1,"Red Mill Pond; Red Mill Pond;",142079,38.75662,-75.21301
"NLA06608-0029",2,"Red Mill Pond; Red Mill Pond;",142079,38.75643,-75.2147
"NLA06608-0031",1,"Caldwell Lake; Caldwell Lake;",47115,39.776322,-81.518455
"NLA06608-0031",2,"Caldwell Lake; Caldwell Lake;",47115,39.77637,-81.51892
"NLA06608-0033",1,"Swamp Lake; Swamp;",NA,47.310642,-121.300952
"NLA06608-0033",2,"Swamp Lake; Swamp;",NA,47.310646,-121.300954
"NLA06608-0036",1,"Whoople Cat Lake; Whoople Cat Lake;",6618,37.477222,-88.328333
"NLA06608-0036",2,"Whoople Cat Lake; Whoople Cat Lake;",6618,37.477222,-88.328333
"NLA06608-0037",1,"Waramaug, Lake; Lake Waramaug;",6733,41.69141,-73.34949
"NLA06608-0037",2,"Waramaug, Lake; Lake Waramaug;",6733,41.69141,-73.34949
"NLA06608-0038",1,"Island Pond; Island Pond;",5579,44.8075,-71.872778
"NLA06608-0038",2,"Island Pond; Island Pond;",5579,44.807554,-71.872839
"NLA06608-0041",1,"Summersville Lake; Summersville Lake;",259305,38.21106,-80.87173
"NLA06608-0041",2,"Summersville Lake; Summersville Lake;",259305,38.21076,-80.87212
"NLA06608-0042",1,"Willow Park Reservoir; Willow Park Reservoir;",327630,44.46416,-107.03543
"NLA06608-0042",2,"Willow Park Reservoir; Willow Park Reservoir;",327630,44.46445,-107.03571
"NLA06608-0043",1,"Messick Lake; Messick Lake;",3911,41.551667,-85.446389
"NLA06608-0043",2,"Messick Lake; Messick Lake;",3911,41.552222,-85.446667
"NLA06608-0044",1,"; Steverson Lake;",348702,42.40577,-101.69344
"NLA06608-0044",2,"; Steverson Lake;",348702,42.40538,-101.69385
"NLA06608-0045",1,"Beaver Pond; Beaver Pond;",146300,37.29456,-77.88768
"NLA06608-0045",2,"Beaver Pond; Beaver Pond;",146300,37.29448,-77.88563
"NLA06608-0048",1,"Nolen Blue Hole; Nolen Blue Hole;",79728,36.78919,-89.17501
"NLA06608-0048",2,"Nolen Blue Hole; Nolen Blue Hole;",79728,36.78912,-89.1751
"NLA06608-0049",1,"; Clear Creek Reservoir;",464128,45.06257,-117.15147
"NLA06608-0050",1,"Adder Pond; Adder Pond;",5748,43.44606,-71.80946
"NLA06608-0050",2,"Adder Pond; Adder Pond;",5748,43.44606,-71.80946
"NLA06608-0053",1,"Lake Champlain; South Bay Lake Champlain;",81,43.54476,-73.46221
"NLA06608-0053",2,"Lake Champlain; South Bay Lake Champlain;",81,43.55819,-73.43961
"NLA06608-0057",1,"Lake Lee; Lake Lee;",159754,34.96519,-80.511678
"NLA06608-0057",2,"Lake Lee; Lake Lee;",159754,34.9636,-80.512868
"NLA06608-0061",1,"; Alamo;",454185,34.26278,-113.575282
