PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,SAMPLE_TYPE,NOT_COLLECTED,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
4/28/2021,2010177,NLA17_NV-10018,5/30/2017,1,MICX,,EnviroScience,WATER,REGULAR,CYLSPER,JC11_31JUL2017,834962,,,0.1,0.05,1.033,STD. UNITS,7/12/2017,7/31/2017,ok,KH,,JC11,ND
4/28/2021,2010177,NLA17_NV-10018,5/30/2017,1,MICX,,EnviroScience,WATER,REGULAR,MICX,JX5_20JUL2017,834962,,,0.15,0.1,1.575,STD. UNITS,7/12/2017,7/20/2017,ok,KH,,JX5,ND
4/28/2021,2010177,NLA17_NV-10018,5/30/2017,1,MICZ,,EnviroScience,WATER,REGULAR,MICZ,JZ2_NA,834980,,,0.1,0.15,1.59,STD. UNITS,7/12/2017,,ok,KH,,JZ2,ND
4/28/2021,2010178,NLA17_NV-10036,5/31/2017,1,MICX,,EnviroScience,WATER,REGULAR,CYLSPER,JC14_31JUL2017,834932,,,0.1,0.05,0.962,STD. UNITS,7/12/2017,7/31/2017,ok,KH,,JC14,ND
4/28/2021,2010178,NLA17_NV-10036,5/31/2017,1,MICX,,EnviroScience,WATER,REGULAR,MICX,JX6_26JUL2017,834932,,,0.15,0.1,1.556,STD. UNITS,7/12/2017,7/26/2017,ok,KH,,JX6,ND
4/28/2021,2010178,NLA17_NV-10036,5/31/2017,1,MICZ,,EnviroScience,WATER,REGULAR,MICZ,JZ2_NA,834950,,,0.1,0.15,1.757,STD. UNITS,7/12/2017,,ok,KH,,JZ2,ND
4/28/2021,2010179,NLA17_ND-10011,6/1/2017,1,MICX,,EnviroScience,WATER,REGULAR,CYLSPER,JC13_31JUL2017,834482,,,0.1,0.05,1.062,STD. UNITS,7/12/2017,7/31/2017,ok,KH,,JC13,ND
4/28/2021,2010179,NLA17_ND-10011,6/1/2017,1,MICX,,EnviroScience,WATER,REGULAR,MICX,JX5_20JUL2017,834482,0.447,UG/L,0.15,0.1,1.002,STD. UNITS,7/12/2017,7/20/2017,ok,KH,,JX5,
4/28/2021,2010179,NLA17_ND-10011,6/1/2017,1,MICZ,,EnviroScience,WATER,REGULAR,MICZ,JZ2_NA,834500,0.29,UG/L,0.1,0.15,1.185,STD. UNITS,7/12/2017,,ok,KH,,JZ2,
4/28/2021,2010180,NLA17_NV-10242,6/1/2017,1,MICX,,EnviroScience,WATER,REGULAR,MICX,JX2_18JUL2017,840182,0.248,UG/L,0.15,0.1,1.305,STD. UNITS,7/12/2017,7/18/2017,ok,KH,,JX2,
4/28/2021,2010180,NLA17_NV-10242,6/1/2017,1,MICX,,EnviroScience,WATER,REGULAR,CYLSPER,JC4_29JUL2017,840182,,,0.1,0.05,0.871,STD. UNITS,7/12/2017,7/29/2017,ok,KH,,JC4,ND
4/28/2021,2010180,NLA17_NV-10242,6/1/2017,1,MICZ,,EnviroScience,WATER,REGULAR,MICZ,JZ1_NA,840200,0.182,UG/L,0.1,0.15,1.315,STD. UNITS,7/12/2017,,ok,KH,,JZ1,
