PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,HOLDING_TIME,HOLDING_TIME_UNITS,DATE_RECEIVED,DATE_ANALYZED,ANALYST,NARS_FLAG
4/26/2021,2010177,NLA17_NV-10018,1,30-May-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,0.03,PPB,0.05,0.03,1.718,STD. UNITS,64,DAYS,2-Aug-17,16-Aug-17,KR,L
4/26/2021,2010178,NLA17_NV-10036,1,31-May-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,,,0.05,0.03,1.775,STD. UNITS,63,DAYS,2-Aug-17,16-Aug-17,KR,ND
4/26/2021,2010179,NLA17_ND-10011,1,1-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.594,STD. UNITS,62,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010180,NLA17_NV-10242,1,1-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,,,0.05,0.03,1.726,STD. UNITS,62,DAYS,2-Aug-17,16-Aug-17,KR,ND
4/26/2021,2010181,NLA17_OH-10016,1,1-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,0.04,PPB,0.05,0.03,1.676,STD. UNITS,62,DAYS,2-Aug-17,16-Aug-17,KR,L
4/26/2021,2010182,NLA17_TN-10003,1,2-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,,,0.05,0.03,1.726,STD. UNITS,61,DAYS,2-Aug-17,16-Aug-17,KR,ND
4/26/2021,2010183,NLA17_AZ-10004,1,1-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,,,0.05,0.03,1.816,STD. UNITS,62,DAYS,2-Aug-17,16-Aug-17,KR,ND
4/26/2021,2010184,NLA17_MI-10011,1,5-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,0.04,PPB,0.05,0.03,1.659,STD. UNITS,58,DAYS,2-Aug-17,16-Aug-17,KR,L
4/26/2021,2010185,NLA17_ND-10015,1,5-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA3,0.03,PPB,0.05,0.03,1.704,STD. UNITS,58,DAYS,2-Aug-17,16-Aug-17,KR,L
4/26/2021,2010186,NLA17_CA-10064,1,5-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.623,STD. UNITS,58,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010187,NLA17_KY-10001,1,6-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.635,STD. UNITS,57,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010188,NLA17_ND-10008,1,6-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.669,STD. UNITS,57,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010189,NLA17_TX-10001,1,6-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.62,PPB,0.05,0.03,0.982,STD. UNITS,57,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010190,NLA17_KS-10005,1,6-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.07,PPB,0.05,0.03,1.455,STD. UNITS,57,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010191,NLA17_NV-10002,1,6-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.653,STD. UNITS,57,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010192,NLA17_NV-10006,1,5-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.668,STD. UNITS,58,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010193,NLA17_KY-10006,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.595,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010194,NLA17_TX-10019,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.593,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010195,NLA17_TN-10004,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.621,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010196,NLA17_MO-HP002,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.11,PPB,0.05,0.03,1.381,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010197,NLA17_IA-HP002,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.1,PPB,0.05,0.03,1.395,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010198,NLA17_ND-10035,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA5,,,0.05,0.03,2.318,STD. UNITS,56,DAYS,2-Aug-17,24-Aug-17,KR,ND
4/26/2021,2010199,NLA17_ND-10004,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.594,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010200,NLA17_GA-10002,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,,,0.05,0.03,1.614,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,ND
4/26/2021,2010201,NLA17_KS-10001,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.89,PPB,0.05,0.03,0.888,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010202,NLA17_SD-10020,1,7-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,0.08,PPB,0.05,0.03,1.432,STD. UNITS,56,DAYS,2-Aug-17,17-Aug-17,KR,
4/26/2021,2010203,NLA17_KS-10028,1,8-Jun-17,TRIA,EnviroScience,WATER,REGULAR,ATRAZINE,AA4,1.64,PPB,0.05,0.03,0.729,STD. UNITS,55,DAYS,2-Aug-17,17-Aug-17,KR,
