PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,SAMPLE_TYPE,NOT_COLLECTED,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,E_COLI_PRESENT,E_COLI_RESULT,TOTAL_COLIFORMS_RESULT,LRL,MDL,UNITS,E_COLI_NARS_FLAG,TOTAL_COLIFORMS_NARS_FLAG,E_COLI_IM_COMMENT,TOTAL_COLIFORMS_IM_COMMENT,E_COLI_RPD,TOTAL_COLIFORMS_RPD,LG_WELLS_FLUOR,LG_WELLS_POS,SM_WELLS_FLUOR,SM_WELLS_POS,DATE_RECEIVED,ARRIVAL_TEMP,COND_COMMENT,CONDITION_CODE,INCUBATION_START_DATE,INCUBATION_START_TIME,DATE_ANALYZED,FINAL_TEMP,HOLDING_TIME,ANALYST,INSTRUMENT,METHOD,REAGENT_LOT_NO,REVIEWER,TIME_COUNTED,QC_COMMENT,HQ_NOTES
4/28/2021,2010177,NLA17_NV-10018,5/30/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0005,834964,A,,980.4,2419.6,1,MPN/100 ml,ND,,,,0.00%,0.00%,0,49,0,38,31-May-17,4.4,,W,31-May-17,11:00,1-Jun-17,35,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,11:01,,
4/28/2021,2010178,NLA17_NV-10036,5/31/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0007,834934,A,,275.5,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,49,0,16,2-Jun-17,5.6,,W,2-Jun-17,12:30,3-Jun-17,35.1,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,12:42,,
4/28/2021,2010179,NLA17_ND-10011,6/1/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0007,834484,A,,15.6,2419.6,1,MPN/100 ml,ND,,,,,,0,11,0,3,2-Jun-17,3.8,,OK,2-Jun-17,12:30,3-Jun-17,34.8,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,12:42,,
4/28/2021,2010180,NLA17_NV-10242,6/1/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0008,840184,A,,365.4,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,49,0,21,3-Jun-17,4.8,,W,3-Jun-17,13:53,4-Jun-17,35.1,,es,Model 2X Sealer,IDEXX,LM206C,JH,13:55,,
4/28/2021,2010181,NLA17_OH-10016,6/1/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0008,834334,P,12.2,1732.9,2419.6,1,MPN/100 ml,H,H,,,,,11,49,0,45,3-Jun-17,3.7,,OK,3-Jun-17,13:53,4-Jun-17,34.8,,es,Model 2X Sealer,IDEXX,LM206C,JH,13:55,,
4/28/2021,2010182,NLA17_TN-10003,6/2/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0008,836854,P,4.1,1413.6,2419.6,1,MPN/100 ml,,,,,23.66%,20.30%,4,49,0,43,3-Jun-17,2.7,,OK,3-Jun-17,13:53,4-Jun-17,35.2,,es,Model 2X Sealer,IDEXX,LM206C,JH,13:55,,
4/28/2021,2010183,NLA17_AZ-10004,6/1/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0008,835144,A,,36.8,2419.6,1,MPN/100 ml,H;ND,H,,,,,0,24,0,5,3-Jun-17,3.8,,OK,3-Jun-17,13:53,4-Jun-17,35.2,,es,Model 2X Sealer,IDEXX,LM206C,JH,13:55,,
4/28/2021,2010184,NLA17_MI-10011,6/5/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0009,845764,A,,410.6,2419.6,1,MPN/100 ml,ND,,,,,,0,49,0,23,6-Jun-17,3.5,,OK,6-Jun-17,11:38,7-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,11:52,,
4/28/2021,2010185,NLA17_ND-10015,6/5/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0009,835084,P,4.1,26.5,2419.6,1,MPN/100 ml,,,,,,,4,21,0,0,6-Jun-17,3.4,,OK,6-Jun-17,11:38,7-Jun-17,35.5,,mlv,Model 2X Sealer,IDEXX,LM206C,JH,11:52,,
4/28/2021,2010186,NLA17_CA-10064,6/5/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,838864,P,65.7,1732.9,2419.6,1,MPN/100 ml,H,H,,,,,36,49,3,45,7-Jun-17,8,,W,7-Jun-17,12:48,8-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010187,NLA17_KY-10001,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,834364,P,13.5,1986.3,2419.6,1,MPN/100 ml,,,,,47.03%,13.63%,12,49,1,46,7-Jun-17,1.5,,OK,7-Jun-17,12:48,8-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010188,NLA17_ND-10008,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,835024,A,,2419.6,2419.6,1,MPN/100 ml,ND,,,,,,0,49,0,47,7-Jun-17,3.2,,OK,7-Jun-17,12:48,8-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
4/28/2021,2010189,NLA17_TX-10001,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0011,836254,P,2419.6,1011.2,2419.6,1,MPN/100 ml,H;Q,H,E coli result greater than LRL; IM changed to LRL (2419.6).,E coli result greater than LRL; IM changed to LRL (2419.6).,33.07%,82.10%,49,48,48,48,8-Jun-17,3.6,,OK,8-Jun-17,12:22,9-Jun-17,35.5,,JH,Model 2X Sealer,IDEXX,LM206C,JH,13:09,,
4/28/2021,2010190,NLA17_KS-10005,6/6/2017,1,BACT,,GLEC,WATER,REGULAR,E_COLI,GLC0010,841234,P,3.1,1553.1,2419.6,1,MPN/100 ml,,,,,,,3,49,0,44,7-Jun-17,2.8,,OK,7-Jun-17,12:48,8-Jun-17,35.5,,jh,Model 2X Sealer,IDEXX,LM206C,JH,13:07,,
