UID,PUBLICATION_DATE,SITETYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,LAT_DD83,LON_DD83,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,COMMENT,INDEX_SITE_DEPTH
2010177,4/28/2021,PROB,NLA17_NV-10018,5/30/2017,1,NV,39.54188,-119.7789,,1.9,1.9,,4.2
2010178,4/28/2021,PROB,NLA17_NV-10036,5/31/2017,1,NV,39.4578,-119.7898,,1.28,1.28,,2.6
2010179,4/28/2021,PROB,NLA17_ND-10011,6/1/2017,1,ND,47.17341,-99.77111,,1.3,1.2,,2.7
2010180,4/28/2021,PROB,NLA17_NV-10242,6/1/2017,1,NV,38.69493,-118.7144,,10.1,9.1,,16
2010181,4/28/2021,PROB,NLA17_OH-10016,6/1/2017,1,OH,41.49185,-81.17701,,0.75,0.65,,2.9
2010182,4/28/2021,PROB,NLA17_TN-10003,6/2/2017,1,TN,35.67353,-87.03213,,0.5,0.4,,3.9
2010183,4/28/2021,PROB,NLA17_AZ-10004,6/1/2017,1,AZ,34.60431,-112.4386,Y,,,,4.3
2010184,4/28/2021,PROB,NLA17_MI-10011,6/5/2017,1,MI,43.37318,-86.14407,,2.8,2.6,,3.4
2010185,4/28/2021,PROB,NLA17_ND-10015,6/5/2017,1,ND,47.08001,-99.73059,,1,0.9,,3.2
2010186,4/28/2021,PROB,NLA17_CA-10064,6/5/2017,1,CA,38.08325,-122.5184,,1.25,1,,3.4
2010187,4/28/2021,PROB,NLA17_KY-10001,6/6/2017,1,KY,36.68168,-83.70503,,2.5,2.4,,26.5
2010188,4/28/2021,PROB,NLA17_ND-10008,6/6/2017,1,ND,47.27222,-100.3903,,0.8,0.7,,2.7
2010189,4/28/2021,PROB,NLA17_TX-10001,6/6/2017,1,TX,32.94443,-96.45375,,0.3,0.3,,2.8
2010190,4/28/2021,PROB,NLA17_KS-10005,6/6/2017,1,KS,39.34876,-95.04207,,0.9,0.8,,3.7
2010191,4/28/2021,PROB,NLA17_NV-10002,6/6/2017,1,NV,38.39816,-115.1171,Y,,,CLEAR TO 1.4 M,1.4
2010192,4/28/2021,PROB,NLA17_NV-10006,6/5/2017,1,NV,39.24104,-117.1657,,2,1.9,,5.7
2010193,4/28/2021,PROB,NLA17_KY-10006,6/7/2017,1,KY,37.48693,-84.67911,,1.2,1.1,,7.2
2010194,4/28/2021,PROB,NLA17_TX-10019,6/7/2017,1,TX,32.0567,-96.7321,,1.3,1.2,,3.1
2010195,4/28/2021,PROB,NLA17_TN-10004,6/7/2017,1,TN,36.30417,-86.91358,,0.8,0.6,,8.5
2010196,4/28/2021,HAND,NLA17_MO-HP002,6/7/2017,1,MO,40.3133,-94.03102,,3.3,3.2,,10.6
2010197,4/28/2021,HAND,NLA17_IA-HP002,6/7/2017,1,IA,40.596744,-93.772298,,4.4,4.2,,7.1
2010198,4/28/2021,PROB,NLA17_ND-10035,6/7/2017,1,ND,46.3599,-99.48298,,0.4,0.3,,2.7
2010199,4/28/2021,PROB,NLA17_ND-10004,6/7/2017,1,ND,46.36831,-99.51996,,0.25,0.2,,2
2010200,4/28/2021,PROB,NLA17_GA-10002,6/7/2017,1,GA,33.29943,-81.89276,,0.4,0.35,,1.83
2010201,4/28/2021,PROB,NLA17_KS-10001,6/7/2017,1,KS,39.3321,-97.37486,,0.1,0.05,,3.1
2010202,4/28/2021,PROB,NLA17_SD-10020,6/7/2017,1,SD,44.47741,-99.31405,,0.3,0.3,,2
2010203,4/28/2021,PROB,NLA17_KS-10028,6/8/2017,1,KS,39.83551,-96.55958,,0.3,0.25,,3.8
2010204,4/28/2021,PROB,NLA17_NV-10016,6/7/2017,1,NV,37.90785,-114.2679,Y,,,2.6 M TO BOTTOM,2.6
2010205,4/28/2021,PROB,NLA17_NV-10239,6/8/2017,1,NV,36.50496,-114.4095,,0.32,0.25,,1.2
