PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,LAB,SAMPLE_TYPE,MATRIX,BATCH_ID,ANALYTE,SAM_CODE,RESULT,RESULT_UNITS,MDL,RL,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,LAB_SAMPLE_ID,LAB_COMMENT
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,MAGNESIUM,REGULAR,109.932,MG/L,0.003,0.002,H,31-May-17,1-Mar-18,275,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170608.1,DOC,REGULAR,7.72,MG/L,0.008,0.2,,31-May-17,8-Jun-17,9,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,SILICA,REGULAR,6.996,MG/L,0.003,0.01,,31-May-17,1-Jun-17,2,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,CHLORIDE,REGULAR,101.625,MG/L,0.006,0.005,,31-May-17,1-Jun-17,2,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170531.1,COND,REGULAR,2172.4,US/CM AT 25 C,,2,,31-May-17,31-May-17,1,,Cond Bal. rerun 4/10/18:  2155
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,NITRATE_N,REGULAR,0.1623,MG N/L,4.00E-04,0.0025,,31-May-17,1-Jun-17,2,,sample required dilution to prevent damage to instrument Rerun 6/21/17:  0.126
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170531.1,PH,REGULAR,7.95,STD. UNITS,,,,31-May-17,31-May-17,1,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHLX,WATER,170608.1,CHLA,REGULAR,5.19,UG/L,0.39,,,31-May-17,8-Jun-17,9,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170622.1,NTL,REGULAR,1.343,MG/L,0.003,0.02,,31-May-17,22-Jun-17,23,1710005,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170531.1,TURB,REGULAR,3.16,NTU,,1,,31-May-17,31-May-17,1,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170603.1,AMMONIA_N,REGULAR,0.599,MG N/L,0.001,0.004,,31-May-17,3-Jun-17,4,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,POTASSIUM,REGULAR,4.588,MG/L,0.07,0.054,H,31-May-17,1-Mar-18,275,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170621.1,SULFATE,REGULAR,1004.914,MG/L,0.001,0.08,,31-May-17,21-Jun-17,22,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,SODIUM,REGULAR,162.598,MG/L,0.032,0.006,H,31-May-17,1-Mar-18,275,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170531,COLOR,REGULAR,25,APHA PT-CO,,,,31-May-17,31-May-17,1,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170531.1,ANC,REGULAR,2496.93,UEQ/L,,,,31-May-17,31-May-17,1,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,CALCIUM,REGULAR,239.126,MG/L,0.012,0.024,H,31-May-17,1-Mar-18,275,,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170622.1,PTL,REGULAR,92.325,UG/L,1.2,4,,31-May-17,22-Jun-17,23,1710005,
4/9/2021,2010177,NLA17_NV-10018,30-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,NITRITE_N,REGULAR,0.02,MG N/L,2.00E-04,0.001,,31-May-17,1-Jun-17,2,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,SILICA,REGULAR,33.686,MG/L,0.003,0.01,,1-Jun-17,1-Jun-17,1,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,ANC,REGULAR,2681.74,UEQ/L,,,,1-Jun-17,1-Jun-17,1,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170622.1,PTL,REGULAR,234.695,UG/L,1.2,4,,1-Jun-17,22-Jun-17,22,1710007,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,PH,REGULAR,8.45,STD. UNITS,,,,1-Jun-17,1-Jun-17,1,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,171019.1,MAGNESIUM,REGULAR,12.867,MG/L,0.003,0.002,,1-Jun-17,19-Oct-17,141,,rerun 3/1/18:  14.2
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,171019.1,CALCIUM,REGULAR,30.447,MG/L,0.012,0.024,,1-Jun-17,19-Oct-17,141,,rerun 3/1/18:  31.7
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,SODIUM,REGULAR,20.829,MG/L,0.032,0.006,H,1-Jun-17,1-Mar-18,274,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,COND,REGULAR,333.4,US/CM AT 25 C,,2,,1-Jun-17,1-Jun-17,1,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601,COLOR,REGULAR,27,APHA PT-CO,,,,1-Jun-17,1-Jun-17,1,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170605.1,CHLORIDE,REGULAR,8.668,MG/L,0.006,0.005,,1-Jun-17,5-Jun-17,5,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170603.1,AMMONIA_N,REGULAR,0.027,MG N/L,0.001,0.004,,1-Jun-17,3-Jun-17,3,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,180301.1,POTASSIUM,REGULAR,4.635,MG/L,0.07,0.054,H,1-Jun-17,1-Mar-18,274,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHLX,WATER,170608.1,CHLA,REGULAR,12.16,UG/L,0.39,,,1-Jun-17,8-Jun-17,8,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170622.1,NTL,REGULAR,0.9,MG/L,0.003,0.02,,1-Jun-17,22-Jun-17,22,1710007,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170605.1,NITRITE_N,REGULAR,0,MG N/L,2.00E-04,0.001,,1-Jun-17,5-Jun-17,5,,
4/9/2021,2010178,NLA17_NV-10036,31-May-17,1,NLA,NV,WRS,CHEM,WATER,170601.1,TURB,REGULAR,2.72,NTU,,1,,1-Jun-17,1-Jun-17,1,,
