"CharacteristicName","ResultMeasure.MeasureUnitCode","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodName","DetectionQuantitationLimitMeasure.MeasureUnitCode","USGSPCode","Conversion"
"Inorganic nitrogen (nitrate and nitrite)","mg/l","11NPSWRD_WQX","NPS_Unspecified","Unknown or Unspecified Procedure",,,6
"Inorganic nitrogen (nitrate and nitrite)","mg/l","11NPSWRD_WQX","USGS_CL048","Nutrients, Cd reduct, color","mg/l",,54
"Inorganic nitrogen (nitrate and nitrite)","mg/l","MDEDAT03_WQX","NITR-01","Nitrogen in Water",,,39
"Inorganic nitrogen (nitrate and nitrite)","mg/l","R10BUNKER","I2546","I2546","mg/l",,25
"Inorganic nitrogen (nitrate and nitrite)","mg/l","R10BUNKER","I2546","I2546",,,20
"Inorganic nitrogen (nitrate and nitrite)","mg/l","R10BUNKER","USGS_HIST","USGS_HIST","mg/l",,33
"Inorganic nitrogen (nitrate and nitrite)","mg/l","USEPA","353.2","Nitrate-Nitrite Nitrogen by Colorimetry","mg/l",,1
"Inorganic nitrogen (nitrate and nitrite)","mg/l","USEPA","353.2","Nitrate-Nitrite Nitrogen by Colorimetry",,,18
"Inorganic nitrogen (nitrate and nitrite)","mg/l","UTAHDWQ_WQX","GENERIC METHOD2","Used for half of methods where historical methodology may not be available.","mg/l",,49
"Inorganic nitrogen (nitrate and nitrite)","mg/l","UTAHDWQ_WQX","GENERIC METHOD2","Used for half of methods where historical methodology may not be available.",,,19
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL045","NO2+NO3, wf, Cd reduction ASF",,631,13
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL048","Nutrients, wf, Cd reduct, color","mg/l as N",631,32
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL048","Nutrients, wf, Cd reduct, color",,631,10
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL049","NO2+NO3, LIS, Cd reduction ASF",,631,26
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL050","Nutrients, LL, wf, Cd reduct","mg/l as N",631,2
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL050","Nutrients, LL, wf, Cd reduct",,631,4
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","CL081","NO2+NO3, wu, ASF Cd-reduct(NWQL)",,630,36
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","USGS","RED01","NO3+NO2, wf, FCC,NaR, DA",,631,35
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N",,,,,630,7
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N",,,,,631,8
