lagoslakeid,n
211,2
431,2
696,2
915,2
1130,2
1437,2
2271,3
2287,3
2344,2
2751,2
2898,2
2928,2
3002,2
3017,3
3055,2
3386,2
3501,2
3505,2
3651,2
3986,2
3991,4
4002,2
4044,2
4099,2
4467,2
4594,3
4621,2
4821,2
4900,2
5006,2
5085,2
5160,2
5329,2
5397,2
5592,2
5855,2
6016,2
6076,3
6141,2
6199,2
6303,2
6338,2
6422,2
6573,2
6729,2
6756,3
6852,2
7086,2
7269,2
7429,2
7460,2
7585,2
7593,2
7676,2
7712,2
7828,2
8042,3
8333,2
8467,2
11168,2
11172,2
13008,2
18242,2
19195,2
22578,2
30086,2
35698,3
36032,2
42647,2
47115,2
48446,2
57244,2
69333,2
73599,3
78634,3
83703,2
85539,2
87361,2
101192,2
102137,3
104234,2
104835,2
105421,2
105646,2
107178,2
113702,2
119589,3
126901,2
132776,3
136070,2
138003,2
145909,2
146300,3
147878,2
147882,2
147886,3
147891,3
148481,2
149463,2
150204,2
152360,2
155732,2
160164,2
163756,3
165195,2
168112,2
178489,2
184266,2
187306,3
187650,3
189773,3
191448,2
196849,3
208928,3
211194,2
220580,3
230217,2
236199,3
243039,2
244053,2
244057,3
245755,2
248123,2
259075,2
259266,2
260126,2
263193,2
268846,2
269036,2
270030,2
270107,2
272061,2
272597,2
272733,2
273196,3
273531,2
273707,2
275326,2
281394,2
284216,2
284642,3
287042,3
292020,3
292666,3
294762,3
297391,2
303903,2
307966,2
313473,2
313928,2
314256,2
314262,2
316234,2
318415,3
318808,2
319208,3
323197,3
325238,2
325987,2
327277,2
328427,3
332034,2
337055,3
337268,2
337273,2
339756,2
339915,2
340820,2
341692,2
343492,3
345199,2
348700,2
348933,2
349348,2
350983,2
352431,2
355124,2
355465,3
356843,2
358471,2
359458,2
360013,2
360271,2
360568,2
361292,3
361293,3
361733,2
363003,2
363282,2
364887,3
365182,2
365980,2
367584,2
367586,3
369860,2
371429,2
374511,2
376372,2
378799,2
378803,2
379117,2
379118,3
382703,2
383871,2
385057,3
385673,2
386238,2
386846,2
386895,2
386909,3
387457,2
388261,3
389398,2
389511,2
390029,3
392550,2
392710,2
393137,2
394542,2
395088,2
395553,2
396235,2
398428,2
402892,2
402922,2
404579,2
405739,3
405745,3
405748,2
406903,2
414400,2
414478,2
415369,2
415677,2
420755,2
422699,2
425833,2
435483,2
435674,2
438779,2
440831,2
445543,2
447737,2
447742,2
448036,2
449634,2
450463,2
450615,2
450816,2
450977,3
452797,2
453155,2
453659,2
453698,3
453751,2
453764,2
453856,2
454039,2
454077,3
454700,2
455025,2
455074,3
455122,2
456076,3
456172,2
456356,2
456547,3
456650,2
456733,2
456843,2
456953,2
457037,2
457038,2
457389,2
457597,2
458012,2
458322,3
458324,2
458460,2
459528,2
459835,3
459837,2
460408,2
463086,2
463295,2
463335,2
463477,3
463638,2
463792,2
463944,2
464221,2
464406,2
464465,2
464740,3
464743,2
464872,3
465065,2
466049,2
467576,2
467966,3
468739,2
469458,2
469599,2
469732,2
469968,2
470727,2
471746,2
472859,2
473314,2
474533,3
475870,2
476151,2
476164,2
478580,2
478723,2
479040,2
479355,2
480825,2
481308,2
482421,2
483184,3
483357,2
