SITE_ID,sampledate,LAT_DD,LON_DD,Alkalinity,"Carbon, dissolved organic",Chlorophyll a,Conductivity,"Nitrogen, total","Phosphorus, total",Turbidity,"Aluminum, dissolved","Calcium, dissolved","Chloride, dissolved","Color, true","Magnesium, dissolved",Microcystin,"Nitrogen, NH4","Nitrogen, nitrite (NO2)","Nitrogen, nitrite (NO2) + nitrate (NO3)","pH, field or closed",Potassium,"Silica, dissolved",Sodium,"Sulfate, dissolved","Solids, total suspended","Carbon, total organic","Atrazine, dissolved","Nitrogen, total Kjeldahl"
NLA06608-0001,2007-07-31,48.97902855,-114.0218399,924.3,0.63,0.24,96,151,6,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0002,2007-06-14,33.03606404,-79.98379054,104.5,14.02,3.84,45,695,36,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0002,2007-07-23,33.03606404,-79.98379054,103.1,13.69,20.88,43,469,22,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0003,2007-08-29,28.04774206,-97.85986605,4746,6,16.96,1089,738,43,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0003,2007-09-06,28.04774206,-97.85986605,4784.4,5.87,12.86,1120,843,50,9.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0004,2007-07-10,37.41662013,-108.4045832,1656.4,8,4.6,303,344,18,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0004,2007-09-11,37.41662013,-108.4045832,1940.6,7.86,14.72,327,596,46,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0005,2007-07-18,43.92920926,-114.8403862,420.9,1.45,1.21,53,85,4,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0005,2007-08-22,43.92920926,-114.8403862,454.6,1.39,0.4,55,68,3,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0006,2007-07-17,41.68314624,-73.1465177,291.5,3.16,4.08,75,184,7,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0006,2007-08-30,41.68314624,-73.1465177,307.4,2.95,3.22,77,223,4,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0007,2007-07-24,45.58064546,-92.04001797,96,6.68,2.43,27,493,8,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0007,2007-09-06,45.58064546,-92.04001797,100.2,6.52,4.09,26,523,7,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0008,2007-07-12,41.29211104,-93.59040488,1933.6,7.6,30.24,238,801,66,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0008,2007-08-22,41.29211104,-93.59040488,1571.2,7.13,148.2,198,1525,79,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0010,2007-07-17,42.61823014,-83.50588771,2089.6,4.94,4.38,650,473,10,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0010,2007-08-18,42.61823014,-83.50588771,1926.7,4.55,3.33,649,485,10,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0012,2007-06-13,35.99078823,-96.87178731,1769.6,8.01,4.9,220,1026,159,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0012,2007-09-18,35.99078823,-96.87178731,1858,6.14,21.28,230,1052,142,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0013,2007-09-14,39.97428032,-74.56255123,17.8,4.41,8.8,49,264,20,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0013,2007-09-04,39.97428032,-74.56255123,14.9,4.79,16.03,48,384,28,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0014,2007-08-23,47.83492738,-100.5756807,28669.5,40.88,20.52,8625,4456,175,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0014,2007-08-06,47.83492738,-100.5756807,29010.7,41.27,8.75,8722,4147,175,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0015,2007-07-10,33.0071076,-107.2747938,2896.4,3.78,20,744,470,109,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0015,2007-08-29,33.0071076,-107.2747938,3060,3.94,13.65,706,423,98,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0016,2007-06-27,41.03025217,-100.7797567,3256.4,4.69,13,1060,490,6,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0016,2007-07-11,41.03025217,-100.7797567,3046.6,4.49,16.64,1091,704,39,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0019,2007-06-11,46.36688788,-99.51185877,8136.3,44.99,4.03,3327,7047,801,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0019,2007-08-07,46.36688788,-99.51185877,11438,50.6,44.26,3950,6578,1376,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0020,2007-06-11,39.40817838,-87.81380832,1757.1,5.03,20.24,214,605,30,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0020,2007-07-02,39.40817838,-87.81380832,1737.8,4.71,13.03,219,466,20,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0021,2007-07-27,42.77191973,-77.3095481,2238.3,2.92,2.29,367,390,7,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0021,2007-08-30,42.77191973,-77.3095481,2217.8,2.7,3.95,359,463,11,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0023,2007-08-09,31.14849172,-97.745332,1461.7,3.88,2.78,176,349,12,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0023,2007-09-19,31.14849172,-97.745332,1480.1,4.7,2.82,192,562,24,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0024,2007-07-11,32.1220497,-95.48843409,592.6,8.2,44.15,181,860,35,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0024,2007-08-14,32.1220497,-95.48843409,557.7,9.85,25.4,143,943,29,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0025,2007-06-18,35.20132137,-81.34573084,669.7,3.43,1.3,85,195,10,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0025,2007-07-18,35.20132137,-81.34573084,686.7,3.13,1.83,89,97,4,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0029,2007-07-02,38.75601051,-75.21503793,604.7,4.12,123.12,142,2106,247,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0029,2007-09-11,38.75601051,-75.21503793,542.5,5.51,106.8,147,2146,162,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0031,2007-06-13,39.77645357,-81.51745185,2761.9,3.83,5.26,357,428,32,8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0031,2007-09-05,39.77645357,-81.51745185,2636.5,3.99,8.5,348,394,24,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0033,2007-07-17,47.31108363,-121.2990598,1040.1,10.11,8.92,110,835,67,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0033,2007-08-28,47.31108363,-121.2990598,948.7,10.78,4.84,101,440,32,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0036,2007-07-12,37.47735404,-88.32737922,1147.2,4.07,5.07,134,178,8,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0036,2007-07-16,37.47735404,-88.32737922,1142.4,4.37,3.02,130,241,9,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0037,2007-07-13,41.69699293,-73.36398551,468.8,3.38,8.02,98,239,14,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0037,2007-09-05,41.69699293,-73.36398551,500.5,3.23,5.26,100,338,14,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
