lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
317084,NLA06608-0001,7/31/2007,0,16.3,8.3,8.1,150,,,integrated
317084,NLA06608-0001,7/31/2007,1,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,2,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,3,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,4,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,5,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,6,16.1,8.6,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,7,10.7,10.8,8.4,144,,,integrated
317084,NLA06608-0001,7/31/2007,8,10.2,11,8.4,143,,,integrated
160874,NLA06608-0002,6/14/2007,0,29.19,NA,5.5,52.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,0.5,24,NA,5.3,46.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1,21.9,NA,5.5,62,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1.5,18.8,NA,5.6,72.3,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1.9,17.2,NA,5.7,76.8,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0,25.6,NA,5.1,43.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0.5,25,NA,5.1,42.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0.8,23.9,NA,5,51.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
445489,NLA06608-0003,8/29/2007,0,30.6,8.3,8.4,1132,,,integrated
445489,NLA06608-0003,8/29/2007,0.5,30.3,8.2,8.4,1134,,,integrated
445489,NLA06608-0003,8/29/2007,1,29.9,7.8,8.4,1128,,,integrated
445489,NLA06608-0003,8/29/2007,1.5,29.6,5.7,8.2,1120,,,integrated
445489,NLA06608-0003,8/29/2007,2,29.4,4,8,1144,,,integrated
445489,NLA06608-0003,9/6/2007,0,30,9,8.4,1221,,,integrated
445489,NLA06608-0003,9/6/2007,1,29.9,9,8.4,1218.6,,,integrated
445489,NLA06608-0003,9/6/2007,2,29,4.1,8,1196.8,,,integrated
453155,NLA06608-0004,7/10/2007,0,20.6,6.7,8.2,296,,,integrated
453155,NLA06608-0004,7/10/2007,1,20.6,6.7,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,2,20.5,6.6,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,3,20.5,6.6,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,4,20.4,6.5,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,5,20.1,5.4,8.2,296,,,integrated
453155,NLA06608-0004,7/10/2007,5.7,19,2.2,7.8,296,,,integrated
453155,NLA06608-0004,9/11/2007,0,18.8,6.2,8.3,298,,,integrated
453155,NLA06608-0004,9/11/2007,1,18.8,6.1,8.4,299,,,integrated
453155,NLA06608-0004,9/11/2007,2,18.7,6,8.4,301,,,integrated
453155,NLA06608-0004,9/11/2007,3,18.7,6.1,8.4,302,,,integrated
453155,NLA06608-0004,9/11/2007,4,18.7,6.3,8.4,302,,,integrated
453155,NLA06608-0004,9/11/2007,5,18.6,6.2,8.4,303,,,integrated
453155,NLA06608-0004,9/11/2007,5.5,18.6,6.1,8.4,304,,,integrated
466620,NLA06608-0005,7/18/2007,0,20.1,8.12,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,1,20.1,8.19,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,2,20.1,7.82,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,3,20.1,7.65,7.66,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,4,20.1,7.66,8.02,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,5,19.9,7.8,8.1,40.8,,,integrated
466620,NLA06608-0005,7/18/2007,5.6,19.9,7.8,8,40.8,,,integrated
466620,NLA06608-0005,8/22/2007,0,17.5,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,1,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,2,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,3,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,4,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,5,17.6,7.6,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,6,17.4,7.5,8.1,54,,,integrated
466620,NLA06608-0005,8/22/2007,6.4,17.3,7.4,8,54,,,integrated
76789,NLA06608-0006,7/17/2007,0,25.3,8.56,8.15,77,,,integrated
76789,NLA06608-0006,7/17/2007,1,25.3,8.56,8.15,77,,,integrated
76789,NLA06608-0006,7/17/2007,2,25.1,8.64,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,3,25,8.55,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,4,24.5,8.83,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,5,17.6,9.55,7.1,74,,,integrated
76789,NLA06608-0006,7/17/2007,6,14.2,7.76,6.8,72,,,integrated
