lagoslakeid,sample_date,sample_id,parameter_id,parameter_name,parameter_value,parameter_detectionlimit_value,censorcode,sample_depth_m,cluster_id,cluster_lat_dd,cluster_lon_dd,source_id,source_sample_type,source_sample_siteid,source_name,source_activityorg_name,source_activityid,source_comments,source_parameter_name,source_parameter_value,source_parameter_unit,source_value_qualifiercode,parameter_conversionfactor,source_detectionlimit_value,source_detectionlimit_unit,parameter_detectionlimit_conversionfactor,source_detectionlimit_condition,source_detectionlimit_type,source_labmethod_usgspcode,source_labmethod_description,source_labmethod_id,source_labmethod_name,source_labmethod_qualifier,source_samplesite_lat_dd,source_samplesite_lon_dd,lagos_epi_assignment
370141,1980-07-09,KS-162485,38,"Atrazine, total",1.2,1.2,LE5,0,370141-AA,39.66212,-99.13156,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM011001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01100119800709250000.0,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.66212,-99.13156,1
374604,1980-08-04,KS-162995,38,"Atrazine, total",2.6,NA,NC4,0,374604-AA,38.65937,-95.55464,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM028001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02800119800804250000.0,NA,Atrazine,2.6,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.65937,-95.55464,1
119048,1985-07-10,SD-533744,38,"Atrazine, total",0.55,0.1,NC2,0,119048-AA,43.538029,-96.962057,SDDENR_WQX,INFERRED,SDDENR_WQX-WALL85ELUT1,DENR,NA,SDDENR_WQX-82133W,NA,Atrazine,0.55,ug/l,NA,1,0.1,ug/l,1,NA,Lower Quantitation Limit,NA,https://www.nemi.gov/methods/method_summary/4801/,USEPA 507,Nitrogen and Phosphorus Pesticides,NA,43.538029,-96.962057,1
385059,1986-07-15,KS-102033,38,"Atrazine, total",1.2,1.2,LE5,0.5,385059-AA,38.52888,-96.41821,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM043401,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04340119860715101000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.52888,-96.41821,1
370279,1986-07-28,KS-113462,38,"Atrazine, total",1.2,1.2,LE5,0.5,370279-AA,39.48756,-98.32954,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM018001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01800119860728151000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.48756,-98.32954,1
370141,1986-07-29,KS-106937,38,"Atrazine, total",1.2,1.2,LE5,0.5,370141-AA,39.66212,-99.13156,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM011001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM01100119860729085000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,39.66212,-99.13156,1
138358,1987-07-06,KS-93887,38,"Atrazine, total",1.2,1.2,LE5,0.5,138358-AA,37.4184,-94.75045,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM047601,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM04760119870706141000.5,NA,Atrazine,NA,ug/l,NA,1,1.2,ug/l,1,Not Detected,Lower Reporting Limit,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,37.4184,-94.75045,1
385674,1987-09-01,KS-63130,38,"Atrazine, total",2.4,NA,NC4,0.5,385674-AC,38.23561,-95.76559,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM026001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02600119870901101500.5,NA,Atrazine,2.4,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.23561,-95.76559,1
374862,1987-09-01,KS-86454,38,"Atrazine, total",2.9,NA,NC4,0.5,374862-AA,38.5142,-95.71925,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM027001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02700119870901082500.5,NA,Atrazine,2.9,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.5142,-95.71925,1
383869,1987-09-09,KS-48805,38,"Atrazine, total",2,NA,NC4,0.5,383869-AA,38.36984,-97.08588,21KAN001_WQX,SPECIFIED,21KAN001_WQX-LM020001,Kansas Department Of Health And Environment,NA,21KAN001_WQX-LM02000119870909104000.5,NA,Atrazine,2,ug/l,NA,1,NA,NA,1,NA,NA,NA,https://www.nemi.gov/methods/method_summary/5246/,USEPA 608,Organochlorine Pesticides and PCBs by GC,NA,38.36984,-97.08588,1
