CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Calcium,mg/l,USEPA 215.1,Calcium by FLAA,mg/l,NA
Calcium,mg/l,"NA NA",NA,NA,NA
Calcium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",NA,915
Calcium,mg/l,"NA NA",NA,NA,915
Calcium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,915
Calcium,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Calcium,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Calcium,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Calcium,mg/l,USDOI/USGS I1472,Metals in Water by ICP,NA,NA
Calcium,ug/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Calcium,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),NA,NA
Calcium,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Calcium,NA,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,915
