CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Chlorophyll a,mg/m3,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,mg/m3,NA
Chlorophyll a,ug/l,IDEQ_WQX 10200-H,Chlorophyll a-b-c Determination,NA,NA
Chlorophyll a,mg/m3,"NA NA",NA,NA,NA
Chlorophyll a,mg/l,IDEQ_WQX 10200-H,Chlorophyll a-b-c Determination,NA,NA
Chlorophyll a,ug/l,USGS LC025,"Chlorophyll, phytoplankton, HPLC",NA,70953
Chlorophyll a,ug/l,USGS FL008,"Chlorophyll a,phyto,fluorometric",ug/l,70953
Chlorophyll a,ug/l,USGS FL008,"Chlorophyll a,phyto,fluorometric",NA,70953
Chlorophyll a,ug/l,"NA NA",NA,NA,70953
"Chlorophyll a, corrected for pheophytin",mg/m3,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,mg/m3,NA
"Chlorophyll a, uncorrected for pheophytin",ug/l,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,NA,NA
"Chlorophyll a, uncorrected for pheophytin",ug/l,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,NA,NA
Chlorophyll a,ug/l,APHA 10200-H,NA,NA,NA
"Chlorophyll a, corrected for pheophytin",ug/l,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,ug/l,NA
"Chlorophyll a, uncorrected for pheophytin",ug/l,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,ug/l,NA
"Chlorophyll a, corrected for pheophytin",ug/l,APHA 10200H(3),10200 H 3  ~ Chlorophyll a-b-c Determination by fluorometer,NA,NA
"Chlorophyll a, uncorrected for pheophytin",ug/l,USDOI/USGS B6530,Chlorophyll a-b in Phytoplankton by HP Liquid Chromatography,NA,NA
"Chlorophyll a, uncorrected for pheophytin",ug/l,R10BUNKER USGS_HIST,USGS_HIST,NA,NA
Chlorophyll a,ug/l,"NA NA",NA,NA,32230
"Chlorophyll a, uncorrected for pheophytin",ug/l,R10BUNKER USGS_UNKN,USGS_UNKN,NA,NA
"Chlorophyll a, corrected for pheophytin",ug/l,APHA 10200H(3),10200 H 3  ~ Chlorophyll a-b-c Determination by fluorometer,ug/l,NA
Chlorophyll a,ug/l,USGS 00050,"Plant pigments, sonication & 445",ug/l,70953
"Chlorophyll a, uncorrected for pheophytin",ug/l,USDOI/USGS B6530,Chlorophyll a-b in Phytoplankton by HP Liquid Chromatography,ug/l,NA
Chlorophyll a,ug/l,USGS LC025,"Chlorophyll, phytoplankton, HPLC",ug/l,70953
"Chlorophyll a, uncorrected for pheophytin",ug/l,R10BUNKER USGS_UNKN,USGS_UNKN,ug/l,NA
Chlorophyll a,ug/l,"NA NA",NA,NA,NA
Chlorophyll a,ug/l,USEPA 445,In-Vitro Determination of Chlorophyll,NA,NA
Chlorophyll a,ug/l,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,NA,NA
Chlorophyll a,ug/l,MDDNR analytic03,analyticTRICHROMATIC CHLOROPHYLL A,NA,NA
Chlorophyll a,ug/l,USEPA 446.0,Chlorophylls and Pheopigments in Phytoplankton by Spectrophotometry,mg/l,NA
Chlorophyll a,ug/l,USEPA 446.0,Chlorophylls and Pheopigments in Phytoplankton by Spectrophotometry,ug/l,NA
