CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Dissolved oxygen (DO),%,%,21ARIZ FIELD,,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,11NPSWRD_WQX NPS_YSI85,"YSI Model 85 DO, Conductivity, Salinity, Temperature Instrument",,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,11NPSWRD_WQX SFAN_SOP_5,Field Methods for Measurement of Core Parameters,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,21ARIZ FIELD,,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,21ARIZ UNKNOWN,,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,21FLPDEM_WQX FT 1000,Field Measurements and Observations,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,21VASWCB 2500-O G,Oxygen by Membrane Electrode Method Standard Methods 20 ed,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,CHEROKEE_WQX CN_QAPP,CN_QAPP,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),%,,NA NA,,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),mg,,NA NA,,,-1.00E+06,-1.00E+06,discard
Dissolved oxygen (DO),mg/l,mg/l,11NPSWRD_WQX SFAN_SOP_5,Field Methods for Measurement of Core Parameters,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21ARIZ FIELD,,,1,1,unknown
Dissolved oxygen (DO),mg/l,mg/l,21FLCOSP_WQX FDEP FT1500,FDEP FT1500,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLLCPC_WQX SM4500OG,DISSOLVED OXYGEN,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLMANA GENERIC,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLMCGL SOP-1,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLORAN EPA200.7,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLORAN FT1500,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLORAN_WQX FT1500,Field Measurement of Dissolved Oxygen,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLORL FT_1500,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLORL_WQX FT_1500,Field Measurement of Dissolved Oxygen,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLPOLK DEP SOP FT 1500,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLPOLK_WQX DEP SOP FT 1500,Dissolved oxygen,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLSEM FT1500,,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLSEM_WQX FDEP FT1500,FDEP FT1500,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLSEM_WQX FT1500,Dissolved Oxygen (DO) by FDEP Standards,,1,1,
Dissolved oxygen (DO),mg/l,mg/l,21FLSFWM WQ-1,,,1,1,
