CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Potassium,mg/g,,USEPA 200.7(S),,,-1000000,-1000000,units_fail
Potassium,mg/kg,,21OHIO_WQX USEPA 200.7,USEPA 200.7,,-1000000,-1000000,units_fail
Potassium,mg/kg,,KAWNATON_WQX 6010,Hydrogen Cyanide by Visible Absorption,,-1000000,-1000000,units_fail
Potassium,mg/kg,,KAWNATON_WQX 6010B,Inductively Coupled Plasma AES,,-1000000,-1000000,units_fail
Potassium,mg/l,mg/l,11NPSWRD_WQX CRLA_CCAL_303A,SM 15th Ed Method 303A Flame Atomic Absorption with Perkins-Elmer 5000 Spectrophotometer,,1,1,APHA 303A
Potassium,mg/l,mg/l,11NPSWRD_WQX CUPN_OLDCATIONS,Cation analysis from 7-10-2002 through 9-30-2004 (not approved),,1,1,methods_WQX
Potassium,mg/l,mg/l,11NPSWRD_WQX NPS_SM15_303A,SM 15th Ed Method 303A Flame Atomic Absorption Spectroscopy,,1,1,APHA 303A
Potassium,mg/l,mg/l,21ARIZ UNKNOWN,,,1,1,methods_unknown
Potassium,mg/l,mg/l,21FLGW_WQX 900456,QA Plan #900456,,1,1,methods_WQX
Potassium,mg/l,mg/l,21FLLCPC_WQX LCQSM,LAKE COUNTY QUALITY SYSTEMS MANUAL,,1,1,methods_WQX
Potassium,mg/l,mg/l,21FLORAN EPA200.7,,,1,1,EPA 200.7
Potassium,mg/l,mg/l,21FLPNS_WQX 200.7 MOD,"Metals,tot.recoverable in aq. samples by trace-ICP emission spectroscopy",,1,1,EPA 200.7
Potassium,mg/l,mg/l,21FLSFWM WQ-1,,,1,1,methods_unknown
Potassium,mg/l,mg/l,21FLSFWM_WQX SM3120B,SM3120B,,1,1,APHA 3120-B
Potassium,mg/l,mg/l,21FLSFWM_WQX WQ-1,Laboratory Procedures for Water Quality Chemical Analysis,,1,1,methods_WQX
Potassium,mg/l,mg/l,APHA 3111-B,3111 B ~ Metals in Water by FLAA- Direct Air-Acetylene Flame,,1,1,APHA 3111-B
Potassium,mg/l,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,1,1,APHA 3113-B
