CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Magnesium,mg/l,mg/l,APHA 4110-C,4110 C ~ Single Column Ion Chromatography,,1,1,unknown
Magnesium,mg/l,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,AZDEQ_SW EPA 243.1,EPA 243.1,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,NA NA,,925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USDOI/USGS I1472,Metals in Water by ICP,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USEPA 200.7,Metals in Water by ICP-AES,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USEPA 200.7(W),,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USEPA 242.1,Magnesium by FLAA,,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS AA022,"Magnesium, wf, direct AAS (NWQL)",925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS IC032,"Ions, wf, auto IC  (NRP & CO)",925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS PL130,"Elements, wf, ICP (200.7; COWSC)",925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS PLA09,"Metals, LL, wf, ICP-AES",925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",925,1,1,Reported as magnesium 
Magnesium,mg/l,mg/l,USGS PLA24,"Metals, wf, ICP-AES (NRP & CO)",925,1,1,Reported as magnesium 
Magnesium,mg/l,,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,1,1,unknown
Magnesium,mg/l,,11NPSWRD_WQX NPS_MISSING,Procedure not Required when Result Entered into National Database,,1,1,unknown
Magnesium,mg/l,,21ARIZ_WQX EPA 200.7,METALS,,1,1,Reported as magnesium 
Magnesium,mg/l,,21ARIZ_WQX EPA 200.7-DISS,EPA 200.7-DISSOLVED,,1,1,Reported as magnesium 
Magnesium,mg/l,,AZDEQ_SW EPA 200.7,EPA 200.7,,1,1,Reported as magnesium 
Magnesium,mg/l,,NA NA,,925,1,1,Reported as magnesium 
Magnesium,mg/l,,NA NA,,,1,1,unknown
Magnesium,mg/l,,USACOEND 6010A,ICP Metals in Water,,1,1,unknown
Magnesium,mg/l,,USDOI/USGS I1472,Metals in Water by ICP,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 1638,Trace Elements in Water by ICP/MS,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 200.7,Metals in Water by ICP-AES,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 200.7(W),,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,,1,1,Reported as magnesium 
Magnesium,mg/l,,USEPA 242.1,,,1,1,Reported as magnesium 
Magnesium,mg/l,,USGS AA022,"Magnesium, wf, direct AAS (NWQL)",925,1,1,unknown
Magnesium,mg/l,,USGS PLA06,"Trace elements, wf, ICP/T (Ocala",925,1,1,unknown
Magnesium,mg/l,,USGS PLA09,"Metals, LL, wf, ICP-AES",925,1,1,unknown
Magnesium,mg/l,,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",925,1,1,Reported as magnesium 
Magnesium,mg/l,,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,,1,1,unknown
Magnesium,ppm,,11NPSWRD_WQX NPS_NURE_LA7,Los Alamos Plasma-Source Emission Spectrography Analysis of Waters for Selected Parameters,,1,1,unknown
Magnesium,ppm,,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,,1,1,unknown
Magnesium,ug/l,ug/l,AZDEQ_SW EPA 200.7,EPA 200.7,,0.001,0.001,Reported as magnesium 
Magnesium,ug/l,,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,0.001,1,Reported as magnesium 
Magnesium,ug/l,,NA NA,,91052,0.001,0.001,Elements in filtered water by inductively coupled plasma-mass spectrometry (EPA 6020A; DODESP)
Magnesium,ug/l,,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,,0.001,0.001,Reported as magnesium 
Magnesium,ug/l,,USEPA 200.7,Metals in Water by ICP-AES,,0.001,1,Reported as magnesium 
Magnesium,,mg/l,NA NA,,925,1,1,Reported as magnesium 
Magnesium,,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",925,1,1,Reported as magnesium 
