"CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","Method_Id","ResultAnalyticalMethod.MethodName","USGSPCode","Conversion","Conversion_dl","Notes"
"Inorganic nitrogen (nitrate and nitrite)","mg/l","mg/l","11NPSWRD_WQX USGS_CL048","Nutrients, Cd reduct, color",,1000,1000,"USGS-usually as N"
"Inorganic nitrogen (nitrate and nitrite)","mg/l","mg/l","R10BUNKER I2546","I2546",,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l","mg/l","R10BUNKER USGS_HIST","USGS_HIST",,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l","mg/l","USEPA 353.2","Nitrate-Nitrite Nitrogen by Colorimetry",,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l","mg/l","UTAHDWQ_WQX GENERIC METHOD2","Used for half of methods where historical methodology may not be available.",,,,"USGS, EPA, or ARS"
"Inorganic nitrogen (nitrate and nitrite)","mg/l",,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",,,,"Unknown"
"Inorganic nitrogen (nitrate and nitrite)","mg/l",,"MDEDAT03_WQX NITR-01","Nitrogen in Water",,,,"Unknown"
"Inorganic nitrogen (nitrate and nitrite)","mg/l",,"R10BUNKER I2546","I2546",,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l",,"USEPA 353.2","Nitrate-Nitrite Nitrogen by Colorimetry",,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l",,"UTAHDWQ_WQX GENERIC METHOD2","Used for half of methods where historical methodology may not be available.",,,,"USGS, EPA, or ARS"
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","mg/l as N","USGS CL048","Nutrients, wf, Cd reduct, color",631,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N","mg/l as N","USGS CL050","Nutrients, LL, wf, Cd reduct",631,1000,1000,
"Inorganic nitrogen (nitrate and nitrite)","mg/l as N",,"NA NA",,630,1000,1000,
