CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Sodium,mg/l,"NA NA",NA,NA,930
Sodium,mg/l,USGS AA035,"Sodium, wf, direct AAS (NWQL)",NA,930
Sodium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",NA,930
Sodium,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Sodium,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,NA
Sodium,mg/l,"NA NA",NA,NA,NA
Sodium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,930
Sodium,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Sodium,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,mg/l,NA
Sodium,mg/l,AZDEQ_SW EPA 273.1,EPA 273.1,mg/l,NA
Sodium,mg/l,21ARIZ_WQX EPA 273.1,SODIUM,NA,NA
Sodium,mg/l,21ARIZ_WQX EPA 200.7,METALS,NA,NA
Sodium,mg/l,AZDEQ_SW EPA 200.8,EPA 200.8,mg/l,NA
Sodium,mg/l,21ARIZ_WQX EPA 200.8,METALS,NA,NA
Sodium,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,ug/l,NA
Sodium,mg/l,AZDEQ_SW UNKNOWN,UNKNOWN,NA,NA
Sodium,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,NA,NA
Sodium,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Sodium,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,mg/l,NA
Sodium,mg/l,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,NA,NA
Sodium,mg/l,21ARIZ_WQX FIELD,FIELD PARAMETERS,NA,NA
Sodium,ug/l,21ARIZ_WQX EPA 200.8,METALS,NA,NA
Sodium,mg/l,AZDEQ_SW UNKNOWN,UNKNOWN,mg/l,NA
Sodium,mg/l,AZDEQ_SW SM 3111 B,SM 3111 B,mg/l,NA
Sodium,mg/l,AZDEQ_SW EPA 200.7-DISS,EPA 200.7-DISS,mg/l,NA
Sodium,mg/l,21ARIZ_WQX EPA 200.7-DISS,EPA 200.7-DISSOLVED,NA,NA
Sodium,mg/l,USEPA 200.7(W),NA,mg/l,NA
Sodium,mg/l,21ARIZ UNKNOWN,NA,NA,NA
Sodium,mg/l,USEPA 273.1,NA,mg/l,NA
Sodium,mg/l,USEPA 200.7(W),NA,NA,NA
Sodium,mg/l,21ARIZ UNKNOWN,NA,mg/l,NA
Sodium,mg/l,USDOI/USGS I1472,Metals in Water by ICP,mg/l,NA
