CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Sodium,mg/l,mg/l,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,NA,1,1,USEPA 200.7
Sodium,mg/l,NA,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,1,1,USEPA 200.7
Sodium,mg/l,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,1,1,USEPA 200.7
Sodium,mg/l,NA,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,1,1,USEPA 200.8
Sodium,mg/l,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,1,1,USEPA 200.8
Sodium,mg/l,NA,APHA 3111-B,3111 B ~ Metals in Water by FLAA- Direct Air-Acetylene Flame,NA,1,1,APHA 3111-B
Sodium,mg/l,mg/l,APHA 3111-B,3111 B ~ Metals in Water by FLAA- Direct Air-Acetylene Flame,NA,1,1,APHA 3111-B
Sodium,mg/l,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,NA,1,1,APHA 3113-B
Sodium,mg/l,mg/l,APHA 3120 B (TOTAL),3120 B TOTAL  ~ Metals (total recoverable) in Water by ICP,NA,1,1,APHA 3120 B
Sodium,mg/l,mg/l,APHA 4110-C,4110 C ~ Single Column Ion Chromatography,NA,-1000000,-1000000,methods_fail; anion method
Sodium,mg/l,NA,USEPA 6010A,6010 A ~ ICP Spectroscopy,NA,1,1,USEPA 6010A
Sodium,mg/l,mg/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,NA,1,1,USEPA 6010A
Sodium,mg/l,NA,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,1,1,USEPA 6010B
Sodium,mg/l,mg/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,1,1,USEPA 6010B
Sodium,ug/l,NA,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,0.001,0.001,USEPA 6010B
Sodium,ug/l,ug/l,USEPA 6010C,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),NA,0.001,0.001,USEPA 6010C
Sodium,ug/l,ug/l,USEPA 215.2,Calcium by EDTA Titrimetric Analysis,NA,-1000000,-1000000,methods_fail
Sodium,%,NA,MHA_NATN Calculation,Calculation,NA,-1000000,-1000000,units_fail
Sodium,mg/l,mg/l,11NPSWRD_WQX CUPN_OLDCATIONS,Cation analysis from 7-10-2002 through 9-30-2004 (not approved),NA,1,1,methods_unknown
Sodium,mg/l,NA,R10MIDNITE D6010,Dissolved Metals,NA,1,1,methods_unknown
Sodium,mg/l,mg/l,USGS PL130,"Elements, wf, ICP (200.7; COWSC)",930,1,1,USGS_00930
Sodium,mg/l,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,NA,1,1,USEPA 200.7
Sodium,mg/l,NA,AZDEQ_SW EPA 200.7,EPA 200.7,NA,1,1,USEPA 200.7
Sodium,mg/l,NA,CEDEN 15,EPA 200.7,NA,1,1,USEPA 200.7
Sodium,mg/l,mg/l,AZDEQ_SW EPA 200.7-DISS,EPA 200.7-DISS,NA,1,1,USEPA 200.7
Sodium,mg/l,NA,21ARIZ_WQX EPA 200.7-DISS,EPA 200.7-DISSOLVED,NA,1,1,USEPA 200.7
Sodium,mg/l,mg/l,AZDEQ_SW EPA 200.8,EPA 200.8,NA,1,1,USEPA 200.8
Sodium,ug/l,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,NA,0.001,0.001,USEPA 200.8
Sodium,mg/l,mg/l,AZDEQ_SW EPA 273.1,EPA 273.1,NA,1,1,USEPA 273.1
Sodium,mg/l,NA,CEDEN 24,EPA 6010A,NA,1,1,USEPA 6010A
Sodium,mg/l,NA,21ARIZ_WQX FIELD,FIELD PARAMETERS,NA,1,1,methods_unknown
Sodium,mg/l,NA,TURTLEMT GS_UNKNOWN,GS_UNKNOWN,NA,1,1,methods_unknown
Sodium,mg/kg,NA,KAWNATON_WQX 6010,Hydrogen Cyanide by Visible Absorption,NA,-1000000,-1000000,units_fail
Sodium,mg/l,NA,USACOEND 6010A,ICP Metals in Water,NA,1,1,USEPA 6010A
Sodium,ug/l,NA,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,NA,0.001,0.001,methods_unknown
Sodium,ug/l,NA,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),NA,0.001,0.001,USEPA 200.7
Sodium,mg/l,NA,KAWNATON_WQX 6020,Inductively Coupled Plasma - Mass Spec.,NA,1,1,USEPA 6020; Sodium  not on analyte list
Sodium,ug/l,NA,USEPA 6020,Inductively Coupled Plasma - Mass Spec.,NA,0.001,0.001,USEPA 6020; Sodium  not on analyte list
Sodium,mg/kg,NA,KAWNATON_WQX 6010B,Inductively Coupled Plasma AES,NA,-1000000,-1000000,units_fail
