CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Salinity,%,,KAWNATON KAW_SOP,,,-1000000,-1000000,units_fail
Salinity,%,,NA NA,,,-1000000,-1000000,units_fail
Salinity,0/00,,21FLPDEM FT 1000,,,-1000000,-1000000,units_fail
Salinity,0/00,,NA NA,,,-1000000,-1000000,units_fail
Salinity,g/l,,NA NA,,70305,1,1,"USGS_70305; Salinity, water, grams per liter"
Salinity,g/l,,USGS CAL21,"Salinity, Great Salt Lake Equatn",70305,1,1,"USGS_70305; Salinity, water, grams per liter"
Salinity,mg/l,,APHA 2520-C,,,0.001,0.001,APHA 2520-C
Salinity,mg/l,,KAWNATON_WQX 2520-B,Salinity in Water- Electrical Conductivity Method,,0.001,0.001,APHA 2520-B
Salinity,mg/l,,KAWNATON_WQX 2560-C,Particle Counting by Light-Blockage,,-1000000,-1000000,methods_fail
Salinity,mg/mL @25C,,NA NA,,96,1,1,"USGS_00096; Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius"
Salinity,ppm,,NA NA,,,0.001,0.001,methods_unknown
Salinity,ppt,mg/l,APHA 2520-C,2520 C ~ Salinity in Water- Density Method,,1,0.001,APHA 2520-C
Salinity,ppt,ppt,21DELAWQ_WQX YSI 6-Series,YSI 6-Series Multi-Parameter Sonde,,1,1,methods_WQX
Salinity,ppt,ppt,NA NA,,,1,1,methods_unknown
Salinity,ppt,,21DELAWQ_WQX YSI 6-Series,YSI 6-Series Multi-Parameter Sonde,,1,1,methods_WQX
Salinity,ppt,,21FLCOLL_WQX FIELD READINGS,Measurements/readings obtained in the field,,1,1,methods_WQX
Salinity,ppt,,21FLFTM_WQX FT_1300,Field measurement of Salinity,,1,1,methods_WQX
Salinity,ppt,,21FLPDEM_WQX FT 1000,Field Measurements and Observations,,1,1,methods_WQX
Salinity,ppt,,21FLPNS_WQX SALINITY,Field Measurement of Salinity DEP SOP FT 1300,,1,1,methods_WQX
Salinity,ppt,,APHA 2520-B,2520 B ~ Salinity in Water- Electrical Conductivity Method,,1,1,APHA 2520-B
Salinity,ppt,,CEDEN 136,EPA 600/R-94-025,,-1000000,-1000000,methods_fail; chronic and acute toxicity tests
Salinity,ppt,,CEDEN 214,EPA 600/R-95-136,,-1000000,-1000000,methods_fail; chronic and acute toxicity tests
Salinity,ppt,,CEDEN 84,EPA 600/R-95-136M,,-1000000,-1000000,methods_fail; chronic and acute toxicity tests
Salinity,ppt,,MNPCA FLD,"Field measurement/observation, generic method",,1,1,methods_unknown
Salinity,ppt,,NA NA,,,1,1,methods_unknown
Salinity,ppt,,TCEQMAIN N/A Calculation,N/A Calculation,,-1000000,-1000000,methods_fail
Salinity,ppt,,USEPA 130.1,Total Hardness,,-1000000,-1000000,methods_fail
Salinity,ppt,,USEPA 310.1,Alkalinity by Titration,,-1000000,-1000000,methods_fail
Salinity,ppt,,UTAHDWQ_WQX FIELD MEASURES,Field Measurements performed by Utah DWQ,,1,1,methods_WQX
Salinity,ppth,ppth,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,1,1,methods_WQX
Salinity,ppth,ppth,21FLMANA GENERIC,,,1,1,methods_unknown
Salinity,ppth,ppth,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,methods_WQX
Salinity,ppth,ppth,APHA 2520-B,2520 B ~ Salinity in Water- Electrical Conductivity Method,,1,1,APHA 2520-B
Salinity,ppth,,11113300 UNKNOWN,EXACT FIELD OR LAB METHOD IS UNKNOWN,,1,1,methods_unknown
Salinity,ppth,,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,1,1,methods_WQX
Salinity,ppth,,11NPSWRD_WQX NPS_YSI85,"YSI Model 85 DO, Conductivity, Salinity, Temperature Instrument",,1,1,methods_WQX
Salinity,ppth,,11NPSWRD_WQX SFAN_SOP_5,Field Methods for Measurement of Core Parameters,,1,1,methods_WQX
Salinity,ppth,,21FLA_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLA_WQX FT_1300,Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLBRA FT 1300,,,1,1,methods_unknown
Salinity,ppth,,21FLBREV FT1300,,,1,1,methods_unknown
Salinity,ppth,,21FLCBA_WQX FIELD,Field Measurments,,1,1,methods_WQX
Salinity,ppth,,21FLCEN_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLCEN_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLCEN_WQX HISTORICAL,Standard Operation Procedure,,1,1,methods_WQX
Salinity,ppth,,21FLCOLL_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLCOLL_WQX FIELD READINGS,Measurements/readings obtained in the field,,1,1,methods_WQX
Salinity,ppth,,21FLCOLL_WQX LKTRAFF,Lake Trafford,,1,1,methods_WQX
Salinity,ppth,,21FLCOSP_WQX FT1300,Field Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLFTM_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLFTM_WQX FT_1300,Field measurement of Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLGW_WQX 900456,QA Plan #900456,,1,1,methods_WQX
Salinity,ppth,,21FLGW_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLGW_WQX FT1300GW,"Salinity, field",,1,1,methods_WQX
Salinity,ppth,,21FLHILL_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLMANA GENERIC,,,1,1,methods_unknown
Salinity,ppth,,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,methods_WQX
Salinity,ppth,,21FLPDEM FT 1000,,,1,1,methods_unknown
Salinity,ppth,,21FLPDEM HYDROLAB 007,,,1,1,methods_unknown
Salinity,ppth,,21FLPDEM_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLPDEM_WQX FT 1000,Field Measurements and Observations,,1,1,methods_WQX
Salinity,ppth,,21FLPNS_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLPNS_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLSFWM WQ-1,,,1,1,methods_unknown
Salinity,ppth,,21FLSJWM OTHER/UNKNOWN,,,1,1,methods_unknown
Salinity,ppth,,21FLSJWM_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLSJWM_WQX OTHER/UNKNOWN,Other or Unknown Procedure,,1,1,methods_WQX
Salinity,ppth,,21FLSUW FT 1300,,,1,1,methods_unknown
Salinity,ppth,,21FLSUW_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLSUW_WQX FT 1300,Field Measurement of  Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLSUW_WQX OTHER/UNKNOWN,Other of Unknown Procedure,,1,1,methods_WQX
Salinity,ppth,,21FLSWFD_WQX FT-1300,Field Measurement of Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLTLHR_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLTLHR_WQX FT_1300,FIELD MEASUREMENT OF SPECIFIC CONDUCTANCE,,-1000000,-1000000,methods_fail
Salinity,ppth,,21FLTPA_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLTPA_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
