CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Silica,mg/l,mg/l,APHA_SM20ED 4500-SIO2-C,4500 SIO2 C ~ Silica Molybdosilicate Method,,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,,1,1,Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Silica,mg/l,mg/l,USDOI/USGS I1472,Metals in Water by ICP,,1,1,
Silica,mg/l,mg/l,USDOI/USGS I2700,Silica in Water by Colorimetry,,1,1,
Silica,mg/l,mg/l,USEPA 200.7,Metals in Water by ICP-AES,,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,mg/l,USGS CL064,"Silica, wf, ASF molybdate blue",955,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,mg/l,USGS CL151,"Silica, wf, DA",955,1,1,
Silica,mg/l,mg/l,USGS MOLY1,"Silica, wf, molybdate blue color",955,1,1,
Silica,mg/l,mg/l,USGS PLA09,"Metals, LL, wf, ICP-AES",955,1,1,
Silica,mg/l,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",955,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,mg/l,USGS PLA24,"Metals, wf, ICP-AES (NRP & CO)",955,1,1,
Silica,mg/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,-1.00E+06,-1.00E+06,Unknown
Silica,mg/l,,21ARIZ UNKNOWN,,,-1.00E+06,-1.00E+06,Unknown
Silica,mg/l,,21ARIZ_WQX EPA 200.7,METALS,,1,1,
Silica,mg/l,,21COL001 HISTORIC,,,-1.00E+06,-1.00E+06,Unknown
Silica,mg/l,,21DELAWQ_WQX 370.1_ELS,Silica by HACH DR4000,,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,,NA NA,,955,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,,NA NA,,,-1.00E+06,-1.00E+06,Unknown
Silica,mg/l,,USDOI/USGS I2700,Silica in Water by Colorimetry,,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,
Silica,mg/l,,USGS CL064,"Silica, wf, ASF molybdate blue",955,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,,USGS CL151,"Silica, wf, DA",955,1,1,
Silica,mg/l,,USGS PLA06,"Trace elements, wf, ICP/T (Ocala",955,1,1,
Silica,mg/l,,USGS PLA09,"Metals, LL, wf, ICP-AES",955,1,1,
Silica,mg/l,,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",955,1,1,Reported as silica oxide (SiO2)
Silica,mg/l,,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,,-1.00E+06,-1.00E+06,Unknown
Silica,,mg/l,USGS CL064,"Silica, wf, ASF molybdate blue",955,1,1,Reported as silica oxide (SiO2)
Silicon,mg/l,,NA NA,,,-1.00E+06,-1.00E+06,Unknown
Silicon,mg/l,,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,,1,1,
Silicon,ppm,,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,,-1.00E+06,-1.00E+06,Unknown
