CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Aluminum,ug/l,USGS PLA06,"Trace elements, wf, ICP/T (Ocala",NA,1106
Aluminum,mg/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Aluminum,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,NA
Aluminum,ug/l,"NA NA",NA,NA,NA
Aluminum,mg/l,AZDEQ_SW EPA 6010B,EPA 6010B,mg/l,NA
Aluminum,ug/l,AZDEQ_SW EPA 6010B,EPA 6010B,ug/l,NA
Aluminum,mg/l,AZDEQ_SW EPA 6010C,EPA 6010C,mg/l,NA
Aluminum,ug/l,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,NA,NA
Aluminum,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,mg/l,NA
Aluminum,ug/l,USGS DCP02,"Aluminum, wf, DCP-AES",NA,1106
Aluminum,ug/l,USGS PLM43,"Metals, wf, ICP-MS",NA,1106
Aluminum,ug/l,USGS PLM43,"Metals, wf, ICP-MS",ug/l,1106
Aluminum,ug/l,11NPSWRD_WQX USGS_I247792,Inductively Coupled Plasma/Mass Spectrometry,ug/l,NA
Aluminum,ug/l,USGS DCP01,"Aluminum, wf, DC plasma",NA,1106
Aluminum,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,NA,NA
Aluminum,ug/l,"NA NA",NA,NA,1106
Aluminum,ug/l,USGS CX001,"Aluminum, wf, extract and AAS",NA,1106
Aluminum,ug/l,USGS PLA13,"Metals, wf, suppliment, ICP-AES",NA,1106
Aluminum,ug/l,CEDEN 90,EPA 1638M,NA,NA
Aluminum,ug/l,CEDEN 90,EPA 1638M,ug/l,NA
Aluminum,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,ug/l,NA
Aluminum,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Aluminum,ug/l,USEPA 200.7(W),NA,NA,NA
Aluminum,ug/l,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,NA,NA
Aluminum,ug/l,USGS PLA13,"Metals, wf, suppliment, ICP-AES",ug/l,1106
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Aluminum,ug/l,USEPA 200.7(W),NA,ug/l,NA
Aluminum,ug/l,USEPA 200.7,Metals in Water by ICP-AES,ug/l,NA
Aluminum,ug/l,USEPA 200.8(W),NA,ug/l,NA
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,ug/l,NA
Aluminum,ug/l,21FLSJWM OTHER/UNKNOWN,NA,ug/l,NA
Aluminum,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,ug/l,NA
Aluminum,mg/l,21FLPDEM_WQX EPA 200.7,"Aluminum, dissolved",mg/l,NA
Aluminum,mg/l,21FLPDEM_WQX EPA 200.7,"Aluminum, dissolved",NA,NA
Aluminum,ppb,APHA 3113-B,3113 B ~ Metals in Water by GFAA,ppb,NA
Aluminum,mg/l,21FLPDEM EPA 6010,NA,mg/l,NA
Aluminum,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,mg/l,NA
Aluminum,mg/l,21FLPDEM EPA 200.7,NA,mg/l,NA
Aluminum,mg/l,21FLPDEM_WQX EPA 6010,Magnesium,mg/l,NA
Aluminum,ug/l,USGS PLA18,"Elements, wf, ICP-AES (DODEC)",NA,1106
Aluminum,mg/l,USACOEND 6010A,ICP Metals in Water,NA,NA
Aluminum,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,NA
Aluminum,ug/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,mg/l,NA
Aluminum,ppb,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,NA,NA
Aluminum,ug/l,SPIRITLK I2477,I2477,NA,NA
Aluminum,ug/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,NA
Aluminum,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Aluminum,mg/l,"NA NA",NA,NA,NA
Aluminum,mg/l,APHA 3120 B (TOTAL),3120 B TOTAL  ~ Metals (total recoverable) in Water by ICP,mg/l,NA
Aluminum,mg/l,OREGONDEQ Not Available,Not Available,NA,NA
Aluminum,ug/l,USGS PLM10,"Elements, wf, cICP-MS",NA,1106
Aluminum,ug/l,TCEQMAIN N/A Calculation,N/A Calculation,NA,NA
Aluminum,ug/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,NA,NA
Aluminum,ug/l,USEPA 1638,Trace Elements in Water by ICP/MS,NA,NA
Aluminum,mg/l,R10MIDNITE D6010,Dissolved Metals,mg/l,NA
