CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Arsenate,ug/L as As,ug/L as As,USGS PLM16,"Arsenics, wf, PO4 phase, cICP-MS",62453,1,1,"USGS_62453; Arsenate, water, filtered, micrograms per liter as arsenic"
Arsenate,ug/L as As,ug/L as As,USGS PLM35,"Arsenics, lab SPE PO4, ICP-MS",62453,1,1,"USGS_62453; Arsenate, water, filtered, micrograms per liter as arsenic"
Arsenate,,ug/L as As,USGS PLM16,"Arsenics, wf, PO4 phase, cICP-MS",62453,1,1,"USGS_62453; Arsenate, water, filtered, micrograms per liter as arsenic"
Arsenate,,ug/L as As,USGS PLM35,"Arsenics, lab SPE PO4, ICP-MS",62453,1,1,"USGS_62453; Arsenate, water, filtered, micrograms per liter as arsenic"
Arsenic,mg/l,mg/l,APHA 3120 B (TOTAL),3120 B TOTAL  ~ Metals (total recoverable) in Water by ICP,,-1000000,-1000000,methods_fail
Arsenic,mg/l,mg/l,APHA 3500-AS(D),3500 AS D  ~ Arsenic in Water by ICP,,1000,1000,APHA 3500-AS(D)
Arsenic,mg/l,mg/l,AZDEQ_SW EPA 200.8,EPA 200.8,,1000,1000,EPA 200.8; Determination of Trace Elements in Waters and Wastes by Inductively Coupled Plasma-Mass Spectrometry
Arsenic,mg/l,mg/l,AZDEQ_SW EPA 200.9,EPA 200.9,,1000,1000,"EPA 200.9; Trace elements, unfiltered water, inductively coupled plasma-atomic emission spectrometry (ICP-AES) (EPA 200.7; DODESP)"
Arsenic,mg/l,mg/l,NA NA,,52774,1000,1000,"USGS_52774; Arsenic, water, filtered, milligrams per liter; Elements in filtered water by inductively coupled plasma-mass spectrometry (EPA 6020A; DODESP)"
Arsenic,mg/l,mg/l,R10MIDNITE D7060,Dissolved Arsenic,,1000,1000,EPA 7060
Arsenic,mg/l,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,,1000,1000,EPA 200.8; Determination of Trace Elements in Waters and Wastes by Inductively Coupled Plasma-Mass Spectrometry
Arsenic,mg/l,mg/l,USEPA 200.9,Metals by Temperature Stabilized GFAA,,1000,1000,"EPA 200.9; Trace elements, unfiltered water, inductively coupled plasma-atomic emission spectrometry (ICP-AES) (EPA 200.7; DODESP)"
Arsenic,mg/l,,21ARIZ_WQX EPA 200.8,METALS,,1000,1000,EPA 200.8; Determination of Trace Elements in Waters and Wastes by Inductively Coupled Plasma-Mass Spectrometry
Arsenic,mg/l,,21ARIZ_WQX EPA 200.9,"TOTAL ANTIMONY, ARSENIC, AND SELENIUM",,1000,1000,"EPA 200.9; Trace elements, unfiltered water, inductively coupled plasma-atomic emission spectrometry (ICP-AES) (EPA 200.7; DODESP)"
Arsenic,mg/l,,NA NA,,,1000,1000,methods_unknown
Arsenic,mg/l,,OREGONDEQ Not Available,Not Available,,1000,1000,methods_unknown
Arsenic,mg/l,,USACOEND 6020,Priority Pollutant Metals in Water,,1000,1000,EPA 6020
Arsenic,mg/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1000,1000,EPA 200.8; Determination of Trace Elements in Waters and Wastes by Inductively Coupled Plasma-Mass Spectrometry
Arsenic,mg/l,,USEPA 200.9,,,1000,1000,"EPA 200.9; Trace elements, unfiltered water, inductively coupled plasma-atomic emission spectrometry (ICP-AES) (EPA 200.7; DODESP)"
Arsenic,mg/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,1000,1000,EPA 6010-B
Arsenic,ug/l,mg/l,AZDEQ_SW EPA 200.9,EPA 200.9,,1,1000,"EPA 200.9; Trace elements, unfiltered water, inductively coupled plasma-atomic emission spectrometry (ICP-AES) (EPA 200.7; DODESP)"
Arsenic,ug/l,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,1,1,methods_unknown
Arsenic,ug/l,ug/l,11NPSWRD_WQX USGS_I247792,Inductively Coupled Plasma/Mass Spectrometry,,1,1,USGS I-2477-92
Arsenic,ug/l,ug/l,21ARIZ UNKNOWN,,,1,1,methods_unknown
Arsenic,ug/l,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,1,1,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Arsenic,ug/l,ug/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,1,1,APHA 3113-B
Arsenic,ug/l,ug/l,APHA 3114-B,3114 B ~ Metals in Water by Manual HYDAA,,1,1,APHA 3114-B
Arsenic,ug/l,ug/l,ASTM D2972(B),D2972 B  ~ Arsenic in Water Using HYDAA,,1,1,ASTM D2972(B)
