CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Mercury,mg/l,mg/l,AZDEQ_SW EPA 245.1,EPA 245.1,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,,1000000,1000000,
Mercury,mg/l,mg/l,USEPA 245.1,Mercury in Water by CVAA,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,USEPA 7470A,7470 A ~ Mercury in Liquid Wastes by CVAA,,1000000,1000000,EPA 7470 A
Mercury,mg/l,,USEPA 245.1,Mercury in Water by CVAA,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,USEPA 245.1,,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,USEPA 7470A,7470 A ~ Mercury in Liquid Wastes by CVAA,,1000000,1000000,EPA 7470 A
Mercury,ng/l,ng/l,21ARIZ EPA 1631E,,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,APHA 3500-HG(B),3500 HG B  ~ Mercury in Water by CVAA,,1,1,APHA 3500-HG(B)
Mercury,ng/l,ng/l,AZDEQ_SW EPA 1631,EPA 1631,,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,AZDEQ_SW EPA 1631E,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,CEDEN 116,EPA 1631EM,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,CEDEN 196,EPA 7470A,,1,1,EPA 7470 A
Mercury,ng/l,ng/l,CEDEN 81,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,NA NA,,50287,1,1,"USGS_50287; Mercury, water, filtered, nanograms per liter"
Mercury,ng/l,ng/l,USEPA 1631,"Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,USEPA 245.1,Mercury in Water by CVAA,,1,1,
Mercury,ng/l,ng/l,USGS CV004,"Mercury, w, oxidation P&T CVAFS",50287,1,1,"USGS_50287; Mercury, water, filtered, nanograms per liter"
Mercury,ng/l,ug/l,AZDEQ_SW EPA 1631,EPA 1631,,1,1000,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,21ARIZ_WQX EPA 1631,"MERCURY IN WATER BY OXIDATION, PURGE AND TRAP, AND CVAFS",,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,21ARIZ_WQX EPA 1631E,MERCURY - TOTAL & DISSOLVED - CLEAN HANDS,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,AZDEQ_SW EPA 1631,EPA 1631,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,CEDEN 116,EPA 1631EM,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,CEDEN 81,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,CEDEN 9,EPA 1631B,,1,1,EPA 1631 B
Mercury,ng/l,,NA NA,,50287,1,1,"USGS_50287; Mercury, water, filtered, nanograms per liter"
Mercury,ng/l,,USEPA 1631E,"1631E ~ Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,USEPA 245.7,Mercury in water by cold-vapor atomic fluorescence spectrometry,,1,1,EPA 245.7; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,ug/l,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,-1000000,-1000000,
