"CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","Method_Id","ResultAnalyticalMethod.MethodName","USGSPCode","Conversion","Conversion_dl","Notes"
"Aluminum","mg/kg","mg/kg","AZDEQ_SW EPA 6010B","EPA 6010B",,,,
"Aluminum","mg/kg",,"21OHIO_WQX USEPA 200.7","USEPA 200.7",,,,
"Aluminum","mg/kg",,"AZDEQ_SW EPA 6010B","EPA 6010B",,,,
"Aluminum","mg/kg",,"KAWNATON_WQX 6010","Hydrogen Cyanide by Visible Absorption",,,,
"Aluminum","mg/kg",,"KAWNATON_WQX 6010B","Inductively Coupled Plasma AES",,,,
"Aluminum","mg/kg",,"NA NA",,,,,
"Aluminum","mg/kg",,"TCEQMAIN N/A Calculation","N/A Calculation",,,,
"Aluminum","mg/l","mg/l","21FLORAN EPA200.7",,,,,
"Aluminum","mg/l","mg/l","21FLPDEM EPA 200.7",,,,,
"Aluminum","mg/l","mg/l","21FLPDEM EPA 6010",,,,,
"Aluminum","mg/l","mg/l","APHA 3111-D",,,,,
"Aluminum","mg/l","mg/l","APHA 3113-B","3113 B ~ Metals in Water by GFAA",,,,
"Aluminum","mg/l","mg/l","AZDEQ_SW EPA 200.7","EPA 200.7",,,,
"Aluminum","mg/l","mg/l","AZDEQ_SW EPA 6010B","EPA 6010B",,,,
"Aluminum","mg/l","mg/l","AZDEQ_SW EPA 6010C","EPA 6010C",,,,
"Aluminum","mg/l","mg/l","KAWNATON_WQX 10215","Aluminum Chromazural S Method",,,,
"Aluminum","mg/l","mg/l","MDEQ_WQ_WQX ICAP-SCAN-MDEQ-WQ","Metals Scan via Inductively Coupled Argon Plasma Spectroscopy",,,,
"Aluminum","mg/l","mg/l","R10MIDNITE 7040","Antimony",,,,
"Aluminum","mg/l","mg/l","USEPA 200","Metals by Atomic Absorption",,,,
"Aluminum","mg/l","mg/l","USEPA 200.7","Metals in Water by ICP-AES",,,,
"Aluminum","mg/l","mg/l","USEPA 200.7(W)","200.7 W  ~ Metals in Water by ICP-AES",,,,
"Aluminum","mg/l","mg/l","USEPA 200.7(W)",,,,,
"Aluminum","mg/l","mg/l","USEPA 200.7_M","200.7 M ~ ICP-AES For Trace Element Analysis",,,,
"Aluminum","mg/l","mg/l","USEPA 200.8","Metals in Waters by ICP/MS",,,,
"Aluminum","mg/l","mg/l","USEPA 200.8(W)","200.8 W  ~ Metals in Waters by ICP/MS",,,,
"Aluminum","mg/l","mg/l","USEPA 200.8(W)",,,,,
"Aluminum","mg/l",,"21AWIC ADEM_HISTORICAL","Unkn Lab Proc",,,,
"Aluminum","mg/l",,"AZDEQ_SW EPA 200.7","EPA 200.7",,,,
"Aluminum","mg/l",,"HACH 10215","Aluminum Chromazurol S Method",,,,
"Aluminum","mg/l",,"HACH 10217","Cadmium, Cadion Method",,,,
