CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Kjeldahl nitrogen,mg/l,mg/l,R10BUNKER I2610,I2610,,-1.00E+06,-1.00E+06,p method
Kjeldahl nitrogen,mg/l,mg/l,R10BUNKER I4515,I4515,,1000,1000,
Kjeldahl nitrogen,mg/l,mg/l,R10BUNKER USGS_HIST,USGS_HIST,,1000,1000,
Kjeldahl nitrogen,mg/l,mg/l,USDOI/USGS I4552,Ammonia Plus Organic Nitrogen in Water,,1000,1000,
Kjeldahl nitrogen,mg/l,mg/l,USEPA 351.1,Total Kjeldahl Nitrogen by Colorimetry,,1000,1000,
Kjeldahl nitrogen,mg/l,mg/l,USEPA 351.2,Total Kjeldahl Nitrogen by Colorimetry,,1000,1000,
Kjeldahl nitrogen,mg/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,1000,1000,
Kjeldahl nitrogen,mg/l,,21NC01WQ UNKNOWN,,,1000,1000,
Kjeldahl nitrogen,mg/l,,21VASWCB USER DEFINED,CONTACT VADEQ FOR DETAILS,,1000,1000,
Kjeldahl nitrogen,mg/l,,APHA 4500-NOR(B),,,1000,1000,
Kjeldahl nitrogen,mg/l,,ARMYCORPS 4500NorgC,"TKN, colorimetry, Hach8038",,1000,1000,
Kjeldahl nitrogen,mg/l,,R10BUNKER I4515,I4515,,1000,1000,
Kjeldahl nitrogen,mg/l,,USDOI/USGS I4552,Ammonia Plus Organic Nitrogen in Water,,1000,1000,
Kjeldahl nitrogen,mg/l,,USEPA 351.2,Total Kjeldahl Nitrogen by Colorimetry,,1000,1000,
Kjeldahl nitrogen,mg/l as N,mg/l as N,USGS KJ002,"NH3+org-N, wf, FCC, Kjeldahl, CF",623,1000,1000,
Kjeldahl nitrogen,mg/l as N,mg/l as N,USGS KJ008,"NH3+org-N, wu, WCA, Kjeldahl, CF",625,1000,1000,
Kjeldahl nitrogen,mg/l as N,,NA NA,,623,1000,1000,
Kjeldahl nitrogen,mg/l as N,,NA NA,,625,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS CL051,"NH3+org-N, wf, ASF block digest",623,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS CL061,"Phosphorus, wf,microkjeldahl ASF",623,-1.00E+06,-1.00E+06,says it’s a p method
Kjeldahl nitrogen,mg/l as N,,USGS CL083,"NH3+org-N, wu, ASF block digest",625,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS KJ002,"NH3+org-N, wf, FCC, Kjeldahl, CF",623,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS KJ003,"NH3+org-N, wf, FCA, Kjeldahl, CF",623,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS KJ006,"NH3+org-N, wu, microkjeldahl ASF",625,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS KJ007,"NH3+org-N, wu, microkjeldahl ASF",625,1000,1000,
Kjeldahl nitrogen,mg/l as N,,USGS KJ008,"NH3+org-N, wu, WCA, Kjeldahl, CF",625,1000,1000,
Kjeldahl nitrogen,ug/l,,USEPA 351.2,Total Kjeldahl Nitrogen by Colorimetry,,1000,1000,
Kjeldahl nitrogen,,,NA NA,,,-1.00E+06,-1.00E+06,
Total Kjeldahl nitrogen,mg/l,mg/l,USEPA 351.2,Total Kjeldahl Nitrogen by Colorimetry,,1000,1000,
