CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Inorganic nitrogen (nitrate and nitrite),mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,mg/l,NA
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,USGS ALGOR,Computation by NWIS algorithm,NA,600
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL050,"Nutrients, LL, wf, Cd reduct",mg/l as N,631
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,USGS AKP01,"Nutrients, wu, WCA,persulfate,CF",mg/l,62855
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL050,"Nutrients, LL, wf, Cd reduct",NA,631
Inorganic nitrogen (nitrate and nitrite) as N,NA,NA NA,NA,NA,NA
Nitrate,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,mg/l,NA
Nitrogen,mg/l,IDEQ_WQX 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,NA,NA
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,USGS ALGOR,Computation by NWIS algorithm,NA,602
Inorganic nitrogen (nitrate and nitrite),mg/l,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,NA,NA
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l NO3,NA NA,NA,NA,71887
Inorganic nitrogen (nitrate and nitrite),mg/l as N,NA NA,NA,NA,630
Inorganic nitrogen (nitrate and nitrite),mg/l as N,NA NA,NA,NA,631
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,USGS AKP01,"Nutrients, wu, WCA,persulfate,CF",NA,62855
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,NA NA,NA,NA,602
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,NA NA,NA,NA,600
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,USGS CL063,"Nutrients, wf, FCC,persulfate,CF",NA,62854
Nitrate,mg/l as N,USGS ALGOR,Computation by NWIS algorithm,NA,618
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL048,"Nutrients, wf, Cd reduct, color",NA,631
Nitrate,mg/l asNO3,USGS ALGOR,Computation by NWIS algorithm,NA,71851
Nitrate,NA,NA NA,NA,NA,NA
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",NA,631
Nitrogen,mg/l,IDEQ_WQX 300.0,Determination of Inorganic Anions by Ion Chromatography,NA,NA
Inorganic nitrogen (nitrate and nitrite) as N,mg/l,NA NA,NA,NA,NA
Nitrogen,mg/l,APHA 4500-NH3(G),NA,NA,NA
Nitrate as N,mg/l,APHA 4500-NO3(G),NA,NA,NA
Inorganic nitrogen (nitrate and nitrite) as N,mg/l,APHA 4500-NO3(G),NA,NA,NA
Nitrogen,mg/l,APHA 4500-N-C,4500 N C ~ Persufate Method for Total Nitrogen,mg/l,NA
Inorganic nitrogen (nitrate and nitrite),mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,NA,NA
Inorganic nitrogen (nitrate and nitrite),mg/l,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,NA,NA
Nitrogen,mg/l,APHA 4500-N-C,4500 N C ~ Persufate Method for Total Nitrogen,NA,NA
Inorganic nitrogen (nitrate and nitrite),mg/l,R10BUNKER I2546,I2546,NA,NA
Nitrogen,ug/l,ASTM D5176,Nitrogen in Water by Pyrolysis Detection,NA,NA
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,R10BUNKER USGS_UNKN,USGS_UNKN,NA,NA
Nitrate,ug/l,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,NA,NA
Inorganic nitrogen (nitrate and nitrite),ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,NA,NA
Nitrate,mg/l as N,NA NA,NA,NA,618
Nitrate,ug/l,USEPA 300,Inorganic Anions by Ion Chromatography,ug/l,NA
Inorganic nitrogen (nitrate and nitrite),mg/l,R10BUNKER I2546,I2546,mg/l,NA
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",NA,631
Nitrate,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,NA,NA
Nitrate,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,ug/l,NA
Nitrate,ug/l,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,NA,NA
Nitrate,ug/l,USEPA 300,Inorganic Anions by Ion Chromatography,NA,NA
Nitrogen,mg/l,USGS COMB7,"TPN, GF/F, combusion",mg/l,49570
Nitrate,mg/l asNO3,NA NA,NA,NA,71851
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,R10BUNKER USGS_UNKN,USGS_UNKN,mg/l,NA
Nitrogen,ug/l,USEPA 350.1,Ammonia Nitrogen by Colorimetry,ug/l,NA
Inorganic nitrogen (nitrate and nitrite),mg/l as N,USGS CL048,"Nutrients, wf, Cd reduct, color",mg/l as N,631
Nitrogen,mg/l,ASTM D5176,Nitrogen in Water by Pyrolysis Detection,NA,NA
Inorganic nitrogen (nitrate and nitrite),mg/l,R10BUNKER USGS_HIST,USGS_HIST,mg/l,NA
Nutrient-nitrogen,mg/l,APHA 4500-P-J,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,NA,NA
Nutrient-nitrogen,mg/l,APHA_SM20ED 4500-N-C,4500 N C ~ Persulfate Method for Total Nitrogen,NA,NA
Nutrient-nitrogen,mg/l,USEPA 440(W),440 W  ~ Determination of Carbon and Nitrogen,NA,NA
Nitrogen,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,mg/l,NA
Nitrogen,mg/l,USEPA 440(W),440 W  ~ Determination of Carbon and Nitrogen,mg/l,NA
Nitrate + Nitrite,mg/l,ASTM D7781,Nitrite-Nitrate in Water by Nitrate Reductase,mg/l,NA
Nitrate + Nitrite,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,mg/l,NA
Nitrate,mg/l as N,NA NA,NA,NA,99121
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NA,USGS ALGOR,Computation by NWIS algorithm,mg/l,600
Inorganic nitrogen (nitrate and nitrite),NA,USGS CL050,"Nutrients, LL, wf, Cd reduct",mg/l as N,631
Nitrate,NA,USGS ALGOR,Computation by NWIS algorithm,mg/l as N,620
Nitrate,NA,USGS ALGOR,Computation by NWIS algorithm,mg/l as N,618
Nitrate,NA,USGS ALGOR,Computation by NWIS algorithm,mg/l asNO3,71851
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NA,USGS ALGOR,Computation by NWIS algorithm,mg/l,602
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NA,USGS ALGOR,Computation by NWIS algorithm,mg/l NO3,71887
Inorganic nitrogen (nitrate and nitrite),NA,USGS CL081,"NO2+NO3, wu, ASF Cd-reduct(NWQL)",mg/l as N,630
Inorganic nitrogen (nitrate and nitrite),NA,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",mg/l as N,631
Inorganic nitrogen (nitrate and nitrite),NA,NA NA,NA,mg/l as N,630
