CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
pH,None,USEPA 150.1,pH,None,NA
pH,std units,"NA NA",NA,NA,400
pH,None,"NA NA",NA,NA,NA
pH,None,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,NA,NA
pH,std units,USGS EL006,"pH, lab, auto glass electrode",NA,403
pH,std units,USGS PROBE,"pH, field, electrometric",NA,400
pH,std units,USGS EL006,"pH, lab, auto glass electrode",std units,403
pH,std units,USGS EL003,"pH, wu, field, electrometry",NA,400
pH,None,APHA 4500-H,NA,NA,NA
pH,None,APHA 4500-H+B,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",None,NA
pH,None,UTAHDWQ_WQX FIELD MEASURES,Field Measurements performed by Utah DWQ,NA,NA
pH,None,USEPA 150.1,pH,NA,NA
pH,std units,"NA NA",NA,NA,403
pH,None,APHA 2320,Alkalinity in Water by Titration,NA,NA
pH,None,R10BUNKER PH-USGS,PH-USGS,NA,NA
pH,None,R10BUNKER I2587,I2587,NA,NA
pH,None,R10BUNKER PH-001,PH-001,NA,NA
pH,None,APHA 4500-H+B,"4500 H+B ~ pH in Water by Potentiometry, pH Value in Water by Potentiometry Using a Standard Hydrogen Electrode",NA,NA
pH,None,21VASWCB USER DEFINED,CONTACT VADEQ FOR DETAILS,NA,NA
pH,None,21NC03WQ WSSSOP,WSSSOP,NA,NA
pH,None,21NC01WQ PH_FIELD,NA,NA,NA
pH,None,21NC01WQ PH_LAB,NA,NA,NA
pH,None,21NC03WQ WSSSOP,WSSSOP,None,NA
pH,None,11NPSWRD_WQX NPS_FISHER_5PH,pH by Fisher Model 5 pH Meter,NA,NA
pH,None,21DELAWQ_WQX YSI 6-Series,YSI 6-Series Multi-Parameter Sonde,NA,NA
pH,None,USEPA 150.2,pH by Continuous Monitoring,NA,NA
