CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Sulfate,mg/l,mg/l,USEPA 300,Inorganic Anions by Ion Chromatography,,1,1,
Sulfate,mg/l,mg/l,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,,1,1,as so4
Sulfate,mg/l,mg/l,USGS IC022,"Anions, wf, IC",945,1,1,
Sulfate,mg/l,mg/l,USGS IC024,"Anions, LIS wf, IC",945,1,1,
Sulfate,mg/l,,NA NA,,945,1,1,
Sulfate,mg/l,,NA NA,,99113,1,1,
Sulfate,mg/l,,USDOI/USGS I2057,Anions in Water by Ion Chromatography,,1,1,
Sulfate,mg/l,,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,,1,1,
Sulfate,mg/l,,USEPA 375.2,Sulfate in Water by Colorimetry,,1,1,as so4
Sulfate,mg/l,,USGS 00073,"Sulfate, wf, turbidimetry (NWQL)",945,1,1,as so4
Sulfate,mg/l,,USGS IC022,"Anions, wf, IC",945,1,1,as so4
Sulfate as SO4,mg/l,,NA NA,,,1,1,
