CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,ug/l,NA
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA
Aluminum,ug/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA
Aluminum,ug/l,USEPA 200.7(W),NA,NA,NA
Aluminum,mg/l,AZDEQ_SW EPA 6010B,EPA 6010B,mg/l,NA
Aluminum,ug/l,AZDEQ_SW EPA 6010B,EPA 6010B,ug/l,NA
Aluminum,mg/l,AZDEQ_SW EPA 6010C,EPA 6010C,mg/l,NA
Aluminum,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,mg/l,NA
Aluminum,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,ug/l,NA
Aluminum,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,NA,NA
Aluminum,ug/l,AZDEQ_SW EPA 200.7,EPA 200.7,ug/l,NA
Aluminum,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,NA,NA
Aluminum,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,NA,NA
Aluminum,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,mg/kg,NA
Aluminum,mg/l,USEPA 200.7(W),NA,NA,NA
Aluminum,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,ug/l,NA
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Aluminum,ug/l,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,NA,NA
Aluminum,mg/l,USEPA 200.7(W),NA,mg/l,NA
Aluminum,ug/l,USEPA 200.7(W),NA,ug/l,NA
Aluminum,ug/l,USEPA 200.8(W),NA,ug/l,NA
Aluminum,ug/l,USEPA 200.7,Metals in Water by ICP-AES,ug/l,NA
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Aluminum,ug/l,USEPA 202.2,NA,ug/l,NA
Aluminum,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,ug/l,NA
Aluminum,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,mg/l,NA
Aluminum,ug/l,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,ug/l,NA
Aluminum,ug/l,APHA 3111-D,NA,ug/l,NA
Aluminum,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,mg/l,NA
Aluminum,mg/l,21FLORAN EPA200.7,NA,mg/l,NA
Aluminum,ug/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,ug/l,NA
Aluminum,mg/l,USEPA 6010A,NA,NA,NA
Aluminum,ug/l,21FLPOLK PCNRD HACH8326,NA,ug/l,NA
Aluminum,mg/l,21FLPDEM EPA 6010,NA,mg/l,NA
Aluminum,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,mg/l,NA
Aluminum,ug/l,APHA 3111-D,NA,NA,NA
Aluminum,mg/l,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,mg/l,NA
Aluminum,mg/l,21FLPDEM EPA 200.7,NA,mg/l,NA
Aluminum,mg/l,APHA 3111-D,NA,mg/l,NA
Aluminum,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Aluminum,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,NA,NA
Aluminum,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,ug/l,NA
Aluminum,mg/l,USEPA 202.1,Aluminum by FLAA,NA,NA
Aluminum,mg/l,USACOEND 6010A,ICP Metals in Water,NA,NA
Aluminum,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,NA
Aluminum,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,mg/l,NA
Aluminum,mg/l,MDEQ_WQ_WQX ICAP-SCAN-MDEQ-WQ,Metals Scan via Inductively Coupled Argon Plasma Spectroscopy,mg/l,NA
Aluminum,ug/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Aluminum,ug/l,21NC01WQ UNKNOWN,NA,ug/l,NA
Aluminum,ug/l,21NC01WQ UNKNOWN,NA,NA,NA
Aluminum,ug/l,SPIRITLK I4471,I4471,NA,NA
Aluminum,ug/l,USDOI/USGS I-4471-97,Metals in Water by Inductively Coupled Plasma/Optical Emission Spectrometry,NA,NA
Aluminum,mg/l,USEPA 200.8(W),NA,mg/l,NA
Aluminum,mg/l,"NA NA",NA,NA,NA
Aluminum,mg/l,KAWNATON_WQX 200.8,Metals in Waters by ICP/MS,NA,NA
Aluminum,mg/l,KAWNATON_WQX 10215,Aluminum Chromazural S Method,NA,NA
Aluminum,mg/kg,KAWNATON_WQX 6010,Hydrogen Cyanide by Visible Absorption,NA,NA
Aluminum,mg/l,KAWNATON_WQX 208.1,Barium by FLAA,NA,NA
Aluminum,mg/kg,KAWNATON_WQX 6010B,Inductively Coupled Plasma AES,NA,NA
Aluminum,mg/l,KAWNATON_WQX 10215,Aluminum Chromazural S Method,mg/l,NA
Aluminum,mg/l,KAWNATON_WQX 200.7,Metals in Water by ICP-AES,NA,NA
Aluminum,mg/l,HACH 10215,Aluminum Chromazurol S Method,NA,NA
Aluminum,mg/l,HACH 10217,"Cadmium, Cadion Method",NA,NA
Aluminum,ug/l,USEPA 6010A,NA,ug/l,NA
Aluminum,ug/l,USEPA 202.1,NA,ug/l,NA
Aluminum,ug/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,ug/l,NA
Aluminum,ug/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,NA,NA
Aluminum,ug/l,USEPA 202.1,Aluminum by FLAA,NA,NA
Aluminum,ug/l,APHA 3111-D,3111 D ~ Metals in Water by FLAA- Direct Nitrous Oxide-Acetylene Flame,ug/l,NA
Aluminum,ug/l,TCEQMAIN N/A Calculation,N/A Calculation,NA,NA
Aluminum,mg/kg,TCEQMAIN N/A Calculation,N/A Calculation,NA,NA
Aluminum,ug/l,"NA NA",NA,NA,NA
Aluminum,mg/kg,"NA NA",NA,NA,NA
Aluminum,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,NA
Aluminum,ug/l,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,NA,NA
Aluminum,ug/l,USEPA 1638,Trace Elements in Water by ICP/MS,NA,NA
Aluminum,mg/l,R10MIDNITE 7040,Antimony,mg/l,NA
Aluminum,ug/l,R10MIDNITE 7040,Antimony,ug/l,NA
