CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode,Conversion,Conversion_dl,Notes
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,ug/l,NA,1,1,EPA 200.8
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA,1000,1000,EPA 200.7
Aluminum,mg/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA,-1000000,-1000000,methods_fail
Aluminum,ug/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA,-1000000,-1000000,methods_fail
Aluminum,ug/l,USEPA 200.7(W),NA,NA,NA,1,1,EPA 200.7
Aluminum,mg/l,AZDEQ_SW EPA 6010B,EPA 6010B,mg/l,NA,1000,1000,EPA 6010 B
Aluminum,ug/l,AZDEQ_SW EPA 6010B,EPA 6010B,ug/l,NA,1,1,EPA 6010 B
Aluminum,mg/l,AZDEQ_SW EPA 6010C,EPA 6010C,mg/l,NA,1000,1000,EPA 6010 C
Aluminum,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,mg/l,NA,1000,1000,EPA 200.7
Aluminum,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,ug/l,NA,1,1,EPA 200.8
Aluminum,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,NA,NA,1,1,methods_WQX
Aluminum,ug/l,AZDEQ_SW EPA 200.7,EPA 200.7,ug/l,NA,1,1,EPA 200.7
Aluminum,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,NA,NA,1000,1000,EPA 200.7
Aluminum,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,NA,NA,-1000000,-1000000,units_fail
Aluminum,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,mg/kg,NA,-1000000,-1000000,units_fail
Aluminum,mg/l,USEPA 200.7(W),NA,NA,NA,1000,1000,EPA 200.7
Aluminum,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,ug/l,NA,1,1,EPA 200.7
Aluminum,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA,1000,1000,EPA 200.7
Aluminum,ug/l,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,NA,NA,1,1,EPA 200.15
Aluminum,mg/l,USEPA 200.7(W),NA,mg/l,NA,1000,1000,EPA 200.7
Aluminum,ug/l,USEPA 200.7(W),NA,ug/l,NA,1,1,EPA 200.7
Aluminum,ug/l,USEPA 200.8(W),NA,ug/l,NA,1,1,EPA 200.8
Aluminum,ug/l,USEPA 200.7,Metals in Water by ICP-AES,ug/l,NA,1,1,EPA 200.7
Aluminum,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA,1,1,EPA 200.8
Aluminum,ug/l,USEPA 202.2,NA,ug/l,NA,1,1,EPA 202.2
Aluminum,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,ug/l,NA,1,1,EPA 200.8
Aluminum,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,mg/l,NA,1000,1000,EPA 200.7
Aluminum,ug/l,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,ug/l,NA,1,1,EPA 200.7
Aluminum,ug/l,APHA 3111-D,NA,ug/l,NA,1,1,APHA 3111-D
Aluminum,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,mg/l,NA,1000,1000,APHA 3113-B
Aluminum,mg/l,21FLORAN EPA200.7,NA,mg/l,NA,1000,1000,EPA 200.7
Aluminum,ug/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,ug/l,NA,1,1,APHA 3113-B
Aluminum,mg/l,USEPA 6010A,NA,NA,NA,1000,1000,EPA 6010 A
Aluminum,ug/l,21FLPOLK PCNRD HACH8326,NA,ug/l,NA,1,1,methods_unknown
Aluminum,mg/l,21FLPDEM EPA 6010,NA,mg/l,NA,1000,1000,EPA 6010
Aluminum,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,mg/l,NA,1000,1000,EPA 200.8
Aluminum,ug/l,APHA 3111-D,NA,NA,NA,1,1,APHA 3111-D
