CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Arsenic,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,ug/l,NA
Arsenic,ug/l,"NA NA",NA,NA,1002
Arsenic,ug/l,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,NA,NA
Arsenic,ug/l,USEPA 200.7(W),NA,NA,NA
Arsenic,ug/l,USGS HY013,"Arsenic, wu, digest & hydrideAAS",NA,1002
Arsenic,mg/l,AZDEQ_SW EPA 200.8,EPA 200.8,mg/l,NA
Arsenic,ug/l,AZDEQ_SW SW846,SW846,ug/l,NA
Arsenic,ug/l,AZDEQ_SW SW846,SW846,mg/l,NA
Arsenic,mg/l,AZDEQ_SW EPA 200.9,EPA 200.9,mg/l,NA
Arsenic,ug/l,AZDEQ_SW UNKNOWN,UNKNOWN,ug/l,NA
Arsenic,mg/l,AZDEQ_SW SW846,SW846,mg/l,NA
Arsenic,ug/l,AZDEQ_SW EPA 200.9,EPA 200.9,ug/l,NA
Arsenic,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,mg/kg,NA
Arsenic,ug/l,21ARIZ_WQX EPA 200.9,"TOTAL ANTIMONY, ARSENIC, AND SELENIUM",NA,NA
Arsenic,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,NA,NA
Arsenic,ug/l,AZDEQ_SW SM 3114C,SM 3114C,ug/l,NA
Arsenic,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,ug/l,NA
Arsenic,mg/kg,AZDEQ_SW EPA 6020A,EPA 6020A,mg/kg,NA
Arsenic,ug/l,21ARIZ_WQX EPA 200.8,METALS,NA,NA
Arsenic,mg/l,21ARIZ_WQX EPA 200.8,METALS,NA,NA
Arsenic,ug/l,21ARIZ_WQX EPA 200.7,METALS,NA,NA
Arsenic,mg/l,21ARIZ_WQX EPA 200.9,"TOTAL ANTIMONY, ARSENIC, AND SELENIUM",NA,NA
Arsenic,ug/l,AZDEQ_SW EPA 200.7,EPA 200.7,ug/l,NA
Arsenic,mg/l,AZDEQ_SW EPA 200.9,EPA 200.9,ug/l,NA
Arsenic,ug/l,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,NA,NA
Arsenic,ug/l,AZDEQ_SW EPA 200.9,EPA 200.9,mg/l,NA
Arsenic,ug/l,21ARIZ_WQX UNKNOWN,UNKNOWN,NA,NA
Arsenic,mg/l,AZDEQ_SW UNKNOWN,UNKNOWN,ug/l,NA
Arsenic,ug/l,21ARIZ UNKNOWN,NA,ug/l,NA
Arsenic,ug/l,21ARIZ SW846,NA,ug/l,NA
