CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Arsenic,ug/l,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,1,1,Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Arsenic,ug/l,ug/l,21NC01WQ UNKNOWN,,,1,1,unknown
Arsenic,ug/l,ug/l,APHA 3114-B,3114 B ~ Metals in Water by Manual HYDAA,,1,1,Reported as Arsenic
Arsenic,ug/l,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,,1,1,unknown
Arsenic,ug/l,ug/l,USDOI/USGS I4062,Arsenic in Water by HYDAA,,1,1,"Total arsenic in unfiltered water by automated sulfuric acid potassium persulfate digestion or ultraviolet radiation, hydride generation, and tube furnace AAS"
Arsenic,ug/l,ug/l,USEPA 200.7,Metals in Water by ICP-AES,,1,1,Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Arsenic,ug/l,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,EPA Method 200.8: Determination of Trace Elements in Waters and Wastes by Inductively Coupled Plasma-Mass Spectrometry
Arsenic,ug/l,ug/l,USEPA 200.9,Metals by Temperature Stabilized GFAA,,1,1,Determination of Trace Elements by Stabilized Temperature Graphite Furnace Atomic Absorption
Arsenic,ug/l,NA,1119USBR I3026,,,1,1,unknown
Arsenic,ug/l,NA,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,1,1,unknown
Arsenic,ug/l,NA,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,1,1,Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Arsenic,ug/l,NA,21NC01WQ UNKNOWN,,,1,1,unknown
Arsenic,ug/l,NA,NA NA,,1002,1,1,ARSENIC TOTAL 
Arsenic,ug/l,NA,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,,1,1,unknown
Arsenic,ug/l,NA,USDOI/USGS I4062,Arsenic in Water by HYDAA,,1,1,"Total arsenic in unfiltered water by automated sulfuric acid potassium persulfate digestion or ultraviolet radiation, hydride generation, and tube furnace AAS"
Arsenic,ug/l,NA,USEPA 1638,Trace Elements in Water by ICP/MS,,1,1,Reported as Arsenic
Arsenic,ug/l,NA,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1,1,Reported as Arsenic
Arsenic,ug/l,NA,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,Reported as Arsenic
Arsenic,ug/l,NA,USEPA 6010A,6010 A ~ ICP Spectroscopy,,1,1,"EPA Method 6010 is a performance-based method for determination of trace elements using ICP-OES. The method has gone through a series of updates—from EPA 6010, 6010A, 6010B, 6010C"
Arsenic,ug/l,NA,USGS HY013,"Arsenic, wu, digest & hydrideAAS",1002,1,1,"Total arsenic in unfiltered water by automated sulfuric acid potassium persulfate digestion or ultraviolet radiation, hydride generation, and tube furnace AAS"
Arsenic,NA,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,1,1,Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Arsenic,NA,ug/l,NA NA,,1002,1,1,ARSENIC TOTAL 
Arsenic,NA,ug/l,USGS HY013,"Arsenic, wu, digest & hydrideAAS",1002,1,1,"Total arsenic in unfiltered water by automated sulfuric acid potassium persulfate digestion or ultraviolet radiation, hydride generation, and tube furnace AAS"
