CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Aluminum,mg/l,mg/l,21FLPDEM EPA 200.7,,,1000000,1000000,
Aluminum,mg/l,mg/l,21FLPDEM EPA 6010,,,-1000000,-1000000,
Aluminum,mg/l,mg/l,21FLPDEM_WQX EPA 200.7,"Aluminum, dissolved",,-1000000,-1000000,
Aluminum,mg/l,mg/l,21FLPDEM_WQX EPA 6010,Magnesium,,-1000000,-1000000,
Aluminum,mg/l,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,1000000,1000000,
Aluminum,mg/l,mg/l,APHA 3120 B (TOTAL),3120 B TOTAL  ~ Metals (total recoverable) in Water by ICP,,1000000,1000000,
Aluminum,mg/l,mg/l,AZDEQ_SW EPA 200.7,EPA 200.7,,1000000,1000000,
Aluminum,mg/l,mg/l,AZDEQ_SW EPA 6010B,EPA 6010B,,-1000000,-1000000,
Aluminum,mg/l,mg/l,AZDEQ_SW EPA 6010C,EPA 6010C,,-1000000,-1000000,
Aluminum,mg/l,mg/l,USEPA 200.7,Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,mg/l,mg/l,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,,1000000,1000000,
Aluminum,mg/l,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,mg/l,,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,,-1000000,-1000000,
Aluminum,mg/l,,21FLPDEM_WQX EPA 200.7,"Aluminum, dissolved",,-1000000,-1000000,
Aluminum,mg/l,,NA NA,,,-1000000,-1000000,
Aluminum,mg/l,,OREGONDEQ Not Available,Not Available,,-1000000,-1000000,
Aluminum,mg/l,,USACOEND 6010A,ICP Metals in Water,,-1000000,-1000000,
Aluminum,mg/l,,USEPA 200.7,Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,mg/l,,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,mg/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,mg/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,-1000000,-1000000,
Aluminum,ppb,ppb,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,1000000,1000000,
Aluminum,ppb,,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,,-1000000,-1000000,
Aluminum,ug/l,ug/l,11NPSWRD_WQX USGS_I247792,Inductively Coupled Plasma/Mass Spectrometry,,1000000,1000000,
Aluminum,ug/l,ug/l,21FLSJWM OTHER/UNKNOWN,,,-1000000,-1000000,
Aluminum,ug/l,ug/l,AZDEQ_SW EPA 6010B,EPA 6010B,,-1000000,-1000000,
Aluminum,ug/l,ug/l,CEDEN 90,EPA 1638M,,-1000000,-1000000,
