CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes,KEW_Conversion,KEW_Conversion_dl,KEW_notes,KEW_method forms of P,KEW_methods_URL
Phosphorus,mg/l,mg/l,11NPSWRD_WQX CRLA_CCAL_TP2,Total Phosphorus by Standard Methods 15th Edition Methods 424C and 424F Milton Roy 601,,1000,1000,,1000,1000,misc; TP,,
Phosphate-phosphorus,ppm,,11NPSWRD_WQX NPS_LAM_SC26617,LaMotte Smart Colorimeter #26617,,-1.00E+06,-1.00E+06,,326.14,326.14,LaMotte,,https://lamotte.com/amfile/file/download/file/566/product/151/
Phosphorus,mg/l,,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,-1.00E+06,-1.00E+06,discard,1000,1000,methods_WQX,,
Phosphorus,ppb,,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,,-1.00E+06,-1.00E+06,,1,1,misc,,
Phosphate-phosphorus,mg/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphorus,mg/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,-1.00E+06,-1.00E+06,,1000,1000,methods_WQX,,
"Total Phosphorus, mixed forms",mg/l,mg/l,11NPSWRD_WQX SFAN_4500-P-E,Phosphorus by Ascorbic Acid - Manual Single Reagant 2011 Update,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,11NPSWRD_WQX USGS_CL020,"Nutrients, wf, colorimetric",,1000,1000,"Phosphorus, filtered water, acid-persulfate digestion, continuous flow (CF) colorimetry",1000,1000,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l,,11NPSWRD_WQX USGS_KJ009,"Phosphorus, wu, microKJ ASF, H+",,-1.00E+06,-1.00E+06,,1000,1000,USGS 00665; method code,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l,,21ARIZ EPA 351.3,,,-1.00E+06,-1.00E+06,"Nitrogen, Nitrate-Nitrite (Colorimetric, Automated Hydrazine Reduction)",-1.00E+06,-1.00E+06,"methods_fail; Nitrogen, Nitrate-Nitrite (Colorimetric, Automated Hydrazine Reduction)",,
Phosphorus,mg/l,mg/l,21ARIZ EPA 365.3 MOD,,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,21ARIZ UNKNOWN,,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,21ARIZ_WQX EPA 365.1,"ORTHOPHOSPHATE, AUTOMATED",,-1.00E+06,-1.00E+06,methods_fail; ortho P,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,ug/l,,21ARIZ_WQX EPA 365.1,"ORTHOPHOSPHATE, AUTOMATED",,-1.00E+06,-1.00E+06,,1,1,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,,21ARIZ_WQX EPA 365.3,TOTAL PHOSPHORUS,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,21ARIZ_WQX EPA 365.3 MOD,EPA 365.3 MOD,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,21ARIZ_WQX EPA 365.4,PHOSPHORUS BY AUTOMATED COLORIMETRY,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,,21ARIZ_WQX FIELD,FIELD PARAMETERS,,-1.00E+06,-1.00E+06,,1000,1000,methods_WQX,,
Phosphorus,mg/l,,21ARIZ_WQX SM 4500 PE,SM 4500 PE,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,21ARIZ_WQX SM 4500-P BE,STANDARD METHOD 4500-P BE,,-1.00E+06,-1.00E+06,,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,,21AWIC ADEM_HISTORICAL,Unkn Lab Proc,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphate-phosphorus,mg/l,,21DELAWQ_WQX 365.1_ELS,Persulfate Method for Total Phosphorus,,1000,1000,,326.14,326.14,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,mg/l,,21DELAWQ_WQX 365.1_ELS_PP,Particulate Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail; particulate P,326.14,326.14,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,,21FLCEN_WQX HISTORICAL,Standard Operation Procedure,,-1.00E+06,-1.00E+06,discard,1000,1000,methods_WQX,,
Phosphorus,mg/l,,21FLCEN_WQX SOP-ANALY,Standard Analytical Procedure,,1000,1000,,1000,1000,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLCOLL_WQX LKTRAFF,Lake Trafford,,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphorus,mg/l,,21FLCOLL_WQX LKTRAFF,Lake Trafford,,1000,1000,,1000,1000,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLGW_WQX 900456,QA Plan #900456,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLLCPC_WQX LCQSM,LAKE COUNTY QUALITY SYSTEMS MANUAL,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLMANA_WQX TP,Total Phosphorus,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphorus,mg/l,mg/l,21FLORAN EPA200.7,,,1.00E+03,1.00E+03,EPA 200.7; includes P,1000,1000,EPA 200.7,,
Phosphorus,mg/l,mg/l,21FLORAN EPA365.1,,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,mg/l,mg/l,21FLPDEM_WQX EPA 365.4,Total Phosphorus after block digestion,,1000,1000,,326.14,326.14,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphate-phosphorus,mg/l,,21FLPDEM_WQX EPA 365.4,Total Phosphorus after block digestion,,1000,1000,,326.14,326.14,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphate-phosphorus,mg/l,mg/l,21FLPDEM_WQX SM4500-P F,Orthophosphate as P,,-1.00E+06,-1.00E+06,methods_fail,326.14,326.14,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,mg/l,21FLSFWM WQ-1,,,1000,1000,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,21FLSFWM WQ-1,,,1000,1000,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphate-phosphorus,mg/l,mg/l,21FLSFWM_WQX SM4500PF,SM4500PF,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-F,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,mg/l,21FLSFWM_WQX WQ-1,Laboratory Procedures for Water Quality Chemical Analysis,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,,21FLSUW_WQX OTHER/UNKNOWN,Other of Unknown Procedure,,-1.00E+06,-1.00E+06,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21FLWPB_WQX DEP-SED-SOP-021,Total Phosphorus (TP) Colorimetric Automated Block Digester AAII,,1000,1000,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,,21GAEPD_WQX FIELD/NS,Field procedure or Not Specified,,-1.00E+06,-1.00E+06,,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21IOWA_WQX ISU 4500-P-E,ISU modification of APHA 4500-P-E,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphorus,mg/l,mg/l,21IOWA_WQX ISU 4500-P-E,ISU modification of APHA 4500-P-E,,-1.00E+06,-1.00E+06,discard,1000,1000,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
Phosphate-phosphorus,mg/l,mg/l,21IOWA_WQX LAC 10-115-01-1F,LAC 10-115-01-1F  (UHL),,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21IOWA_WQX LAC 10-115-01-2B,LAC 10-115-01-2B (UHL),,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21IOWA_WQX LAC10-115-01-1C,LAC10-115-01-1C (UHL),,-1.00E+06,-1.00E+06,discard,326.14,326.14,methods_WQX,,
Phosphate-phosphorus,mg/l,mg/l,21IOWA_WQX LAC10-115-01-1D,LAC10-115-01-1D (UHL),,-1.00E+06,-1.00E+06,,326.14,326.14,methods_WQX,,
Phosphorus,mg/l,,21KAN001_WQX Coulter IKL Manual,phosphorus,,1000,1000,,1000,1000,methods_WQX,,
Phosphorus,mg/l,mg/l,21SC60WQ_WQX LACHAT 10-115-01-1-E,Total Phosphorus in Water,,1000,1000,,1000,1000,misc; TP,,
Phosphorus,mg/l,,21VASWCB USEPAPART.PHOS.,USEPA Chesapeake Bay Methods 1996 P IV - 30. Particulate Phosphorus,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; particulate P,,
Phosphorus,ug,,21VASWCB USEPAPART.PHOS.,USEPA Chesapeake Bay Methods 1996 P IV - 30. Particulate Phosphorus,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,units_fail,,
Phosphorus,mg/l,,21VASWCB USER DEFINED,CONTACT VADEQ FOR DETAILS,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,APHA 4500-N-C,4500 N C ~ Persufate Method for Total Nitrogen,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,mg/l,APHA 4500-NH3(D),4500 NH3 D  ~ Ammonia in Water by Selective Electrode Method,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,mg/l,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,discard,326.14,326.14,APHA 4500-P-E,,http://edgeanalytical.com/wp-content/uploads/Inorganic_SM4500-P.pdf
