CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Total dissolved solids,g/l,,APHA 2540-C,2540 C ~ Total Dissolved Solids in Water,,-1.00E+06,-1.00E+06,APHA 2540-C
Total dissolved solids,g/l,,NA NA,,,-1.00E+06,-1.00E+06,
Total dissolved solids,mg/l,mg/l,21FLLCPC_WQX LCQSM,LAKE COUNTY QUALITY SYSTEMS MANUAL,,1,1,
Total dissolved solids,mg/l,mg/l,21FLLCPC_WQX SM2540C,TOTAL DISSOLVED SOLIDS,,1,1,
Total dissolved solids,mg/l,mg/l,21FLMANA GENERIC,,,1,1,
Total dissolved solids,mg/l,mg/l,21FLMANA TDS,,,1,1,
Total dissolved solids,mg/l,mg/l,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,
Total dissolved solids,mg/l,mg/l,21FLMANA_WQX TDS,Total Dissolved Solids,,1,1,
Total dissolved solids,mg/l,mg/l,21FLSEM YSI,,,1,1,
Total dissolved solids,mg/l,mg/l,21FLSEM_WQX YSI,YSI Incorporated 6-series Environmental Monitoring,,1,1,
Total dissolved solids,mg/l,mg/l,21FLSFWM WQ-1,,,1,1,
Total dissolved solids,mg/l,mg/l,APHA 2540-C,2540 C ~ Total Dissolved Solids in Water,,1,1,APHA 2540-C
Total dissolved solids,mg/l,mg/l,APHA 2540-C,,,1,1,APHA 2540-C
Total dissolved solids,mg/l,mg/l,AZDEQ_SW SM 2540C,SM 2540C,,1,1,
Total dissolved solids,mg/l,mg/l,CHEROKEE_WQX CN_QAPP,CN_QAPP,,1,1,
Total dissolved solids,mg/l,mg/l,NA NA,,,1,1,
Total dissolved solids,mg/l,mg/l,USEPA 160.1,Filterable Residue - TDS,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,mg/l,mg/l,USEPA 160.1,,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,mg/l,mg/l,USEPA 160.1_M,160.1 M ~ Total Dissolved Solids,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,mg/l,ppm,NA NA,,,1,1,
Total dissolved solids,mg/l,,21FLLCPC_WQX SM2540C,TOTAL DISSOLVED SOLIDS,,1,1,
Total dissolved solids,mg/l,,21FLMANA GENERIC,,,1,1,
Total dissolved solids,mg/l,,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,
Total dissolved solids,mg/l,,21FLSEM YSI,,,1,1,
Total dissolved solids,mg/l,,21FLSFWM WQ-1,,,1,1,
Total dissolved solids,mg/l,,21IOWA_WQX HYDROLAB,HYDROLAB,,1,1,
Total dissolved solids,mg/l,,21IOWA_WQX ISU 2510,ISU modification of APHA 2510,,1,1,
Total dissolved solids,mg/l,,21KAN001_WQX USGS I-1751-78,TDS,,1,1,
Total dissolved solids,mg/l,,APHA 2540-C,2540 C ~ Total Dissolved Solids in Water,,1,1,APHA 2540-C; Total Dissolved Solids in Water
Total dissolved solids,mg/l,,APHA 2540-C,,,1,1,APHA 2540-C
Total dissolved solids,mg/l,,APHA 2540-D,,,1,1,APHA 2540-D; Solids in Water
Total dissolved solids,mg/l,,APHA_SM22ED 2540C,2540C ~ Solids in Water (Total Dissolved Solids Dried at 180oC),,1,1,APHA 2540-C
Total dissolved solids,mg/l,,KAWNATON KAW_SOP,,,1,1,
Total dissolved solids,mg/l,,MNPCA FLD,"Field measurement/observation, generic method",,1,1,
Total dissolved solids,mg/l,,MNPCA LEG_P70300,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C),MG/L",,1,1,
Total dissolved solids,mg/l,,NA NA,,,1,1,
Total dissolved solids,mg/l,,USEPA 160.1,Filterable Residue - TDS,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,mg/l,,USEPA 160.1,,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,mg/l,,USEPA 160.2,,,1,1,
Total dissolved solids,ppm,ppm,USEPA 160.1,Filterable Residue - TDS,,1,1,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total dissolved solids,ppm,ppm,USEPA 160.2,,,1,1,
Total dissolved solids,ug/l,ug/l,USEPA 160.1,Filterable Residue - TDS,,0.001,0.001,"EPA 160.1; TDS Residue, Filterable, 180 deg. C"
Total solids,%,%,AZDEQ_SW EPA 160.3,EPA 160.3,,-1.00E+06,-1.00E+06,
Total solids,%,%,AZDEQ_SW SM 2320B,SM 2320B,,-1.00E+06,-1.00E+06,
Total solids,%,%,AZDEQ_SW SM 2540G,SM 2540G,,-1.00E+06,-1.00E+06,
