Obs_Id,lagoslakeid,sampledate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,Method_Id,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
WA-103431,465311,1975-07-31,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,116000,116,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-153740,465311,1975-08-14,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,125000,125,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-176784,465311,1975-08-28,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,142000,142,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-104032,465311,1975-09-11,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,179000,179,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103466,465311,1975-09-25,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,196000,196,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154133,465311,1975-10-09,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,236000,236,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103664,465311,1975-11-13,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,241000,241,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103412,465311,1976-08-01,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,116600,116.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103472,465311,1976-08-16,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,208830,208.83,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103964,465311,1976-08-30,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,201900,201.9,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-177184,465311,1976-09-13,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,213000,213,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154218,465311,1976-10-12,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,301000,301,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-169434,465311,1977-02-03,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,328600,328.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-104036,465311,1977-05-12,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,159100,159.1,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-104035,465311,1977-06-09,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,119700,119.7,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-104030,465311,1977-07-06,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,127700,127.7,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-169448,465311,1977-07-20,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,159600,159.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154114,465311,1977-08-11,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,216600,216.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103484,465311,1977-08-22,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,217600,217.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-169876,465311,1977-09-08,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,236830,236.83,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103852,465311,1977-10-13,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,300000,300,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-184914,465311,1978-07-12,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,100800,100.8,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-177190,465311,1978-09-14,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,173600,173.6,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154289,465311,1979-08-30,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,226720,226.72,mS/cm,1000,NA,"NA NA",NA,NA,NA
MA-41130,49905,1980-03-02,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,182000,182,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40934,49905,1980-04-16,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,166000,166,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-41019,49905,1980-05-15,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,174000,174,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40924,49905,1980-06-17,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,168000,168,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40958,49905,1980-07-17,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,158000,158,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40982,49905,1980-08-13,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,155000,155,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
WA-173314,465713,1980-08-27,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,201000,201,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-103405,465311,1980-08-28,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,194000,194,mS/cm,1000,NA,"NA NA",NA,NA,NA
MA-41008,49905,1980-09-17,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,155000,155,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40945,49905,1980-10-15,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,198000,198,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-41074,49905,1980-11-20,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,165000,165,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-40969,49905,1980-12-18,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,171000,171,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-41278,49905,1981-03-02,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,178000,178,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-41259,49905,1981-03-31,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,176000,176,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
MA-41277,49905,1981-04-30,NA,National Park Service Water Resources Division,Conductivity,Specific conductance,156000,156,mS/cm,1000,NA,11NPSWRD_WQX NPS_YSI_3403,NA,NA,Gull Pond
WA-169419,465311,1981-08-13,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,147000,147,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154321,465311,1981-09-14,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,214520,214.52,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-180752,465713,1982-07-14,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,105800,105.8,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-153712,465311,1982-08-11,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,121800,121.8,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-149317,465713,1982-08-11,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,119800,119.8,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-154132,465311,1982-09-15,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,190200,190.2,mS/cm,1000,NA,"NA NA",NA,NA,NA
WA-149822,465713,1982-09-15,NA,U.S. Army Corps of Engineers Walla Walla District,Conductivity,Specific conductance,210100,210.1,mS/cm,1000,NA,"NA NA",NA,NA,NA
