Obs_Id,lagoslakeid,ActivityStartDate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodIdentifier,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
TX-1414885,420756,1975-02-11,NA,USGS Texas Water Science Center,"Oxygen, dissolved",Oxygen,69,69,mg/l,1,69,NA,NA,NA,NA,"Livingston Res Site DC nr Goodrich, TX"
NM-18171,448146,1975-04-17,NA,USGS New Mexico Water Science Center,Potassium,Potassium,17000,17000,mg/l,1,17000,NA,NA,NA,NA,22S.29E.26.4
NM-29638,448145,1975-04-18,NA,USGS New Mexico Water Science Center,Potassium,Potassium,16000,16000,mg/l,1,16000,NA,NA,NA,NA,22S.29E.35.14
FL-1658984,186831,1975-05-08,NA,USGS Florida Water Science Center,"pH, field or lab",pH,32,32.0,std units,1,32,NA,NA,NA,NA,"LAKE UMATILLA AT UMATILLA, FL"
ND-355282,314996,1975-06-18,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,580,580,mg/l,1,580,NA,NA,NA,NA,"EASTERN STUMP LAKE NR LAKOTA, ND"
FL-3083357,189772,1975-08-25,NA,USGS Florida Water Science Center,"Oxygen, dissolved",Oxygen,58,58.0,mg/l,1,58,NA,NA,NA,NA,"LAKE WEIR NEAR WEIRSDALE, FL"
FL-4455598,189772,1975-08-25,NA,USGS Florida Water Science Center,"Oxygen, dissolved",Oxygen,51,51.0,mg/l,1,51,NA,NA,NA,NA,"LAKE WEIR NEAR WEIRSDALE, FL"
FL-4590208,198109,1975-09-03,NA,USGS Florida Water Science Center,"Oxygen, dissolved",Oxygen,54,54.0,mg/l,1,54,NA,NA,NA,NA,"LAKE WEOHYAKAPKA AT INDIAN LAKE ESTATES, FL"
ND-1335899,314996,1976-01-20,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,NA,NA,NA,NA,"EASTERN STUMP LAKE NR LAKOTA, ND"
TX-565334,438780,1976-09-01,NA,USGS Texas Water Science Center,"Oxygen, dissolved",Oxygen,57,57,mg/l,1,57,NA,NA,NA,NA,"Town (Lady Bird) Lk Site EC at Austin, TX"
TX-543386,438780,1976-09-01,NA,USGS Texas Water Science Center,"Oxygen, dissolved",Oxygen,88,88,mg/l,1,88,NA,NA,NA,NA,"Town (Lady Bird) Lk Site EC at Austin, TX"
WY-79666,326283,1976-09-10,NA,USGS Wyoming Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,NA,NA,NA,NA,RENNER RES NR HYATTVILLE WY
ND-1355525,314996,1977-01-11,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,830,830,mg/l,1,830,NA,NA,NA,NA,"EASTERN STUMP LAKE NR LAKOTA, ND"
ND-989020,315747,1977-01-11,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,NA,NA,NA,NA,"WESTERN STUMP LAKE NR LAKOTA, ND"
NM-41963,447958,1977-06-21,NA,National Park Service Water Resources Division,"Calcium, dissolved",Calcium,593.9,593.9,ppm,1,593.9,11NPSWRD_WQX,NPS_NURE_OR13,NA,NA,036038
UT-626788,455356,1977-07-11,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM N OF LUCIN CAUSWAY E CULVERT
UT-929353,455356,1977-07-11,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM N OF LUCIN CAUSWAY E CULVERT
UT-593542,455356,1977-07-11,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL N OF GREAT SALT LAKE MINERALS CAUSEWAY IN BEAR R BAY
UT-304027,455356,1977-07-12,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #4 S MID LUCIN CAUSEWAY
NC-716091,164465,1977-08-17,NA,NCDENR-DWQ,"Oxygen, dissolved",Dissolved oxygen (DO),30,30,mg/l,1,30,21NC01WQ,UNKNOWN,NA,NA,LAKE NORMAN AT MOUTH REEDS CRK ARM CLEAN LAKES
FL-1394207,196852,1977-09-15,NA,USGS Florida Water Science Center,"pH, field or lab",pH,21,21.0,std units,1,21,NA,NA,NA,NA,LAKE HATCHINEHA - NORTHWEST
ND-1359945,314996,1978-01-17,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,NA,NA,NA,NA,"EASTERN STUMP LAKE NR LAKOTA, ND"
ND-1113279,315747,1978-01-17,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Calcium, dissolved",Calcium,640,640,mg/l,1,640,NA,NA,NA,NA,"WESTERN STUMP LAKE NR LAKOTA, ND"
FL-4561592,192592,1978-02-01,NA,Orange County Environmental Protection (Florida),"Mercury, total",Mercury,200000000,200,mg/l,1000000,200000000,USEPA,200.7(W),NA,NA,Waunatta
OK-239230,397113,1978-04-25,NA,USGS Oklahoma Water Science Center,"Oxygen, dissolved",Oxygen,76,76.0,mg/l,1,76,NA,NA,NA,NA,Foss Reservoir at Site 3
KS-294769,383842,1978-04-26,U.S. Geological Survey-Water Resources Discipline,USGS Kansas Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,NA,NA,NA,NA,PIT 19
KS-302938,383842,1978-04-26,U.S. Geological Survey-Water Resources Discipline,USGS Kansas Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,NA,NA,NA,NA,PIT 19
TX-214252,428419,1978-06-15,NA,USGS Texas Water Science Center,"Oxygen, dissolved",Oxygen,114,114,mg/l,1,114,NA,NA,NA,NA,"Lk Granbury Site FC nr Granbury, TX"
NC-1003419,150590,1978-08-15,NA,NCDENR-DWQ,"Oxygen, dissolved",Dissolved oxygen (DO),30,30,mg/l,1,30,21NC01WQ,UNKNOWN,NA,NA,KERR LAKE AT BUOY M NR HENDERSON INACT 820715
UT-852925,455356,1978-09-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
UT-258297,455356,1978-10-27,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-368616,455356,1978-10-27,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-1003702,455356,1978-10-27,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-313727,455356,1978-12-08,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
ND-1350911,314996,1979-01-17,U.S. Geological Survey-Water Resources Discipline,USGS North Dakota Water Science Center,"Magnesium, dissolved",Magnesium,27000,27000,mg/l,1,27000,NA,NA,NA,NA,"EASTERN STUMP LAKE NR LAKOTA, ND"
UT-294217,455356,1979-02-06,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,1800,1800,mg/l,1,1800,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL RESEARCH TOWER NO1 IN S ARM
UT-275791,455356,1979-02-06,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,800,800,mg/l,1,800,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
UT-663516,455356,1979-05-15,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-187537,455356,1979-05-15,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
UT-405675,455356,1979-05-25,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,620,620,mg/l,1,620,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
OK-73694,397113,1979-06-01,NA,USGS Oklahoma Water Science Center,"Oxygen, dissolved",Oxygen,80,80.0,mg/l,1,80,NA,NA,NA,NA,Foss Reservoir at Site 3
CO-546804,361246,1979-06-19,"USGS-National Water Quality Lab, Denver, CO",USGS Colorado Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,230000,230,mg/l as N,1000,230000,NA,NA,NA,NA,MONFORT FEEDLOT SE SUMP NEAR GREELEY CO
CO-458229,361246,1979-06-19,"USGS-National Water Quality Lab, Denver, CO",USGS Colorado Water Science Center,"Nitrogen, total dissolved","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",260000,260,mg/l,1000,260000,NA,NA,NA,NA,MONFORT FEEDLOT SE SUMP NEAR GREELEY CO
CO-546807,361246,1979-06-19,"USGS-National Water Quality Lab, Denver, CO",USGS Colorado Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,260000,260,mg/l as N,1000,260000,NA,NA,NA,NA,MONFORT FEEDLOT SE SUMP NEAR GREELEY CO
NC-989258,164465,1979-08-14,NA,NCDENR-DWQ,"Oxygen, dissolved",Dissolved oxygen (DO),27,27,mg/l,1,27,21NC01WQ,UNKNOWN,NA,X-sec location horizontal: 50.0% from R bank facing upstream,LAKE NORMAN AT COWANS FORD DAM CLEAN LAKES
OK-70694,388263,1979-08-30,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,"Nitrogen, total dissolved","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",610000,610,mg/l,1000,610000,NA,NA,NA,NA,06N-16E-08 BBC 1
OK-169117,388263,1979-08-30,U.S. Geological Survey-Water Resources Discipline,USGS Oklahoma Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,610000,610,mg/l as N,1000,610000,NA,NA,NA,NA,06N-16E-08 BBC 1
UT-477827,455356,1980-03-09,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL NORTH ARM LVG LINE (UGS) #4 (RT#3)
CA-307257,483334,1980-04-23,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,860,860,mg/l,1,860,NA,NA,NA,NA,SALTON SEA A END OF LACK RD CA
UT-911087,455356,1980-08-21,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
CO-226711,361056,1980-10-03,U.S. Geological Survey-Water Resources Discipline,USGS Colorado Water Science Center,"Oxygen, dissolved",Oxygen,5340,5340,mg/l,1,5340,USGS,MEMBR,Standard Methods,NA,"GROSS RESERVOIR NEAR WONDERVU, COLO."
KS-284718,383842,1980-10-21,U.S. Geological Survey-Water Resources Discipline,USGS Kansas Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,NA,NA,NA,NA,PIT 19
KS-257784,383842,1980-10-21,NA,USGS Kansas Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,NA,NA,NA,NA,PIT 19
KS-188616,67382,1980-10-23,U.S. Geological Survey-Water Resources Discipline,USGS Kansas Water Science Center,"Calcium, dissolved",Calcium,470,470,mg/l,1,470,NA,NA,NA,NA,PIT 06
OK-224838,393597,1981-04-08,NA,USGS Oklahoma Water Science Center,"Oxygen, dissolved",Oxygen,31,31.0,mg/l,1,31,NA,NA,NA,NA,"West Pond 3 ft below Surface near McCurtain, OK"
CA-149339,483334,1981-04-28,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,880,880,mg/l,1,880,NA,NA,NA,NA,SALTON SEA A END OF LACK RD CA
UT-420374,455356,1981-09-09,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
UT-529747,455356,1981-09-09,NA,Utah Department Of Environmental Quality,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,UTAHDWQ_WQX,GENERIC METHOD,NA,NA,GSL SOUTH ARM RESEARCH TOWER #2 W N MARINA
WY-23120,325879,1983-07-25,NA,National Park Service Water Resources Division,"Oxygen, dissolved",Dissolved oxygen (DO),37.4,37.4,mg/l,1,37.4,11NPSWRD_WQX,NPS_Unspecified,NA,NA,Blacktail Ponds 10.6 Km East of Mammoth on Tower Rd
TX-828717,448476,1984-04-24,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,500,500,mg/l,1,500,NA,NA,NA,NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-983436,448476,1985-04-23,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
LA-251364,294401,1985-12-09,NA,LDEQ/Watershed Planning Division,"Oxygen, dissolved",Dissolved oxygen (DO),27,27,mg/l,1,27,LADEQWPD,LDEQ-FMO,NA,NA,Lake Providence at the chute
NM-44301,453883,1986-01-29,U.S. Geological Survey-Water Resources Discipline,USGS New Mexico Water Science Center,"Calcium, dissolved",Calcium,500,500,mg/l,1,500,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"ZUNI SALT LAKE NR QUEMADO, NM"
NM-34085,453883,1986-06-10,U.S. Geological Survey-Water Resources Discipline,USGS New Mexico Water Science Center,"Calcium, dissolved",Calcium,1000,1000,mg/l,1,1000,USGS,AA008,"USGS TWRI 5-A1/1989, p 137","RERUNS:ALK=296,CL=210000+230000,SO4","ZUNI SALT LAKE NR QUEMADO, NM"
MO-347460,98287,1986-06-18,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,510,510,mg/l,1,510,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,RAFFINATE PIT NO.3
MO-347777,98287,1986-06-18,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2)",Nitrite,6700,6.70,mg/l as N,1000,6700,USGS,CL040,"USGS OF 93-125, p 143",NA,RAFFINATE PIT NO.3
MO-347779,98287,1986-06-18,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1200000,1200,mg/l as N,1000,1200000,USGS,CL045,"USGS OF 93-125, p 157",NA,RAFFINATE PIT NO.3
NM-25201,453883,1986-07-08,U.S. Geological Survey-Water Resources Discipline,USGS New Mexico Water Science Center,"Calcium, dissolved",Calcium,700,700,mg/l,1,700,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"ZUNI SALT LAKE NR QUEMADO, NM"
CA-96685,483334,1986-07-13,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,600,600,mg/l,1,600,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SALTON SEA COMPOSITE CA
CA-60618,477409,1986-08-08,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,620,620,mg/l,1,620,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,I-5 BORROW PIT CA
CA-298412,477409,1986-11-04,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,I-5 BORROW PIT CA
NM-45825,453883,1987-03-02,U.S. Geological Survey-Water Resources Discipline,USGS New Mexico Water Science Center,"Calcium, dissolved",Calcium,2100,2100,mg/l,1,2100,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"ZUNI SALT LAKE NR QUEMADO, NM"
TX-711743,448476,1987-04-28,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-742344,448476,1987-07-09,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,NA,NA,NA,NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
