OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS California Water Science Center,USGS-385256120040501,1975-01-15,0.1524,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385256120040501,1975-01-15,9.144,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385256120040501,1975-01-15,20.7264,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385356120035001,1975-01-15,0.1524,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385356120035001,1975-01-15,9.144,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385256120040501,1975-03-27,1.524,NA,30,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301919,1975-04-18,42.976800000000004,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301919,1975-06-04,59.436,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Idaho Water Science Center,USGS-475733116314800,1975-06-17,3.048,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Idaho Water Science Center,USGS-481452116211100,1975-06-18,3.048,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-385356120035001,1975-06-25,0.1524,NA,40,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12300110,1975-06-27,21.336000000000002,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
