CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,sampledate,ActivityStartTime.Time,ActivityEndDate,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,ResultSampleFractionText,ResultMeasureValue,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Obs_Id,State,Id_num,wqp_monitoringlocationname,wqp_providername,lagoslakeid,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,Conversion,Conversion_dl,Notes,ActivityRelativeDepthName,source_sampledepth,reported_depth,source_sampleposition,lagos_sampledepth,lagos_sampleposition,combined_name,event_id,variableid_lagos,limit_low,limit_high,variableshortname,lake_lat_decdeg,lake_lon_decdeg,neon_zoneid,exclude
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-71724000000F-T1975-0,Field Msr/Obs,1975-07-17,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,82000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82000,STORET,1975-07-17 08:00:00,NA,WA-235009,WA,235009,NA,STORET,465311,Specific conductance,82,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-07-17CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-73124000000F-T1975-0,Field Msr/Obs,1975-07-31,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,116000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116000,STORET,1975-07-31 08:00:00,NA,WA-145750,WA,145750,NA,STORET,465311,Specific conductance,116,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-07-31CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-81424000000F-T1975-0,Field Msr/Obs,1975-08-14,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,125000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125000,STORET,1975-08-14 08:00:00,NA,WA-204837,WA,204837,NA,STORET,465311,Specific conductance,125,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-08-14CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-82824000000F-T1975-0,Field Msr/Obs,1975-08-28,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,142000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142000,STORET,1975-08-28 08:00:00,NA,WA-234383,WA,234383,NA,STORET,465311,Specific conductance,142,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-08-28CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-91124000000F-T1975-0,Field Msr/Obs,1975-09-11,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,179000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179000,STORET,1975-09-11 08:00:00,NA,WA-146438,WA,146438,NA,STORET,465311,Specific conductance,179,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-09-11CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-92524000000F-T1975-0,Field Msr/Obs,1975-09-25,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,196000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196000,STORET,1975-09-25 08:00:00,NA,WA-145787,WA,145787,NA,STORET,465311,Specific conductance,196,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-09-25CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-A0924000000F-T1975-0,Field Msr/Obs,1975-10-09,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,236000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236000,STORET,1975-10-09 08:00:00,NA,WA-205280,WA,205280,NA,STORET,465311,Specific conductance,236,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-10-09CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-B1324000000F-T1975-0,Field Msr/Obs,1975-11-13,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,241000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241000,STORET,1975-11-13 08:00:00,NA,WA-146013,WA,146013,NA,STORET,465311,Specific conductance,241,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1975-11-13CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-60824000065F-T1976-0,Field Msr/Obs,1976-06-08,00:00:00,NA,6.5,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,87900,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87900,STORET,1976-06-08 08:00:00,NA,WA-214646,WA,214646,NA,STORET,465311,Specific conductance,87.9,mS/cm,NA,NA,1000,1000,methods_unknown,NA,6.5,NA,SPECIFIED,6.5,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1976-06-08CENWWEDH-5IHRW018.0PPCENWWEDH6.5,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
Conductivity,uS/cm,NA,"NA NA",NA,NA,CENWWEDH,U.S. Army Corps of Engineers Walla Walla District,CENWWEDH-61524000000F-T1976-0,Field Msr/Obs,1976-06-15,00:00:00,NA,0,m,NA,NA,NA,NA,NA,CENWWEDH,NA,CENWWEDH-5IHRW018.0PP,NA,USEPA,USEPA,USEPA,Unknown,NA,NA,98800,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98800,STORET,1976-06-15 08:00:00,NA,WA-146280,WA,146280,NA,STORET,465311,Specific conductance,98.8,mS/cm,NA,NA,1000,1000,methods_unknown,NA,0,NA,SPECIFIED,0,SPECIFIED,U.S. Army Corps of Engineers Walla Walla District NA,1976-06-15CENWWEDH-5IHRW018.0PPCENWWEDH0,13,0,1000000,spcond_uscm,46.3676667922,-118.695759867,neon_15,2
