variableid_lagos,variablename,variableunitsid,comments,variableshortname
1,Alkalinity,13,NA,NA
2,"Alkalinity, bicarbonate",13,NA,NA
4,"Carbon, dissolved inorganic",10,NA,NA
5,"Carbon, total inorganic",10,NA,NA
13,Conductivity,17,NA,NA
23,"Oxygen, dissolved",10,NA,NA
29,Potassium,10,NA,NA
32,Sodium,10,NA,NA
33,"Solids, total suspended",10,NA,NA
35,Temperature,25,NA,NA
36,Turbidity,27,NA,NA
7,"Carbon, total organic",10,NA,TOC
9,Chlorophyll a,11,NA,CHLA
11,"Color, apparent",9,NA,COLORA
12,"Color, true",9,NA,COLORT
15,"Nitrogen, dissolved Kjeldahl",11,NA,DKN
16,"Nitrogen, total Kjeldahl",11,NA,TKN
17,"Nitrogen, nitrite (NO2)",11,NA,NO2
18,"Nitrogen, nitrite (NO2) + nitrate (NO3)",11,NA,NO2NO3
19,"Nitrogen, NH4",11,NA,NH4
21,"Nitrogen, total",11,NA,TN
22,"Nitrogen, total dissolved",11,NA,TDN
26,"Phosphorus, soluable reactive orthophosphate",11,NA,SRP
27,"Phosphorus, total",11,NA,TP
28,"Phosphorus, total dissolved",11,NA,TDP
30,Secchi,20,NA,SECCHI
20,"Nitrogen, total organic",11,NA,TON
6,"Carbon, dissolved organic",10,NA,DOC
37,Microcystin,11,NA,NA
38,"Atrazine, total",11,NA,NA
39,"Atrazine, dissolved",11,NA,NA
40,"Arsenic, total",11,NA,NA
41,"Arsenic, dissolved",11,NA,NA
42,"Aluminum, total",11,NA,NA
43,"Aluminum, dissolved",11,NA,NA
44,"Selenium, total",11,NA,NA
45,"Selenium, dissolved",11,NA,NA
24,"pH, equilibrated",15,NA,NA
25,"pH, field or closed",15,NA,NA
34,"Sulfate, dissolved",10,NA,NA
8,"Chloride, dissolved",10,NA,NA
31,"Silica, dissolved",10,NA,NA
3,"Calcium, dissolved",10,NA,NA
14,"Magnesium, dissolved",10,NA,NA
46,"Mercury, total",29,NA,NA
47,"Mercury, total dissolved",29,NA,NA
48,Salinity,30,NA,PSU
49,E. coli,31,NA,NA
51,E. coli-MPN,32,NA,NA
52,E. coli-CFU,31,NA,NA
50,Methylmercury,29,NA,NA
53,"Methylmercury, dissolved",29,NA,NA
