CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,source_labmethodid,source_labmethodname,USGSPCode,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityStartTime.Time,ActivityEndDate,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,source_samplesiteid,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,ResultSampleFractionText,datavalue,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,source_labmethoddescription,ResultLaboratoryCommentText,source_qualifier,DetectionQuantitationLimitMeasure.MeasureValue,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Obs_Id,State,Id_num,wqp_monitoringlocationname,wqp_providername,lagoslakeid,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,Conversion,Conversion_dl,Notes,sampledate,source_sampledepth,variableid_lagos,limit_low,limit_high,variableshortname,source_sampleposition,lagos_sampledepth,lagos_sampleposition
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0008177-1976,Sample,1976-07-21,00:00:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-Q6540000,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,26000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,26000,STORET,NA,NA,NC-1041705,NC,1041705,BADIN LAKE UPS DAM NR PALMERVILLE INACT 820720,STORET,157614,Mercury,26,ug/l,NA,NA,1000,1000,methods_unknown,1976-07-21,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1976-0010199-1976,Sample,1976-08-24,00:00:00,NA,0.3048,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-C3512600,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,26000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,26000,STORET,NA,NA,NC-1063062,NC,1063062,LAKE NORMAN AT HUNTERSVILLE WATER INTAKE CLEAN LAKES,STORET,164465,Mercury,26,ug/l,NA,NA,1000,1000,methods_unknown,1976-08-24,0.3048,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.3048,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0003321-1977,Sample,1977-03-15,10:30:00,NA,0.3048,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-Q9700000,X-sec location horizontal: 50.0% from R bank facing upstream,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,16000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,16000,STORET,NA,NA,NC-728305,NC,728305,WADESBORO CITY POND AT DAM,STORET,159062,Mercury,16,ug/l,NA,NA,1000,1000,methods_unknown,1977-03-15,0.3048,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.3048,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0008807-1977,Sample,1977-06-29,00:00:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-F6530000,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,11000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,11000,STORET,NA,NA,NC-472176,NC,472176,HIWASSEE LAKE 1 MI DNS NOTTLEY RIV INACT 790628,STORET,273868,Mercury,11,ug/l,NA,NA,1000,1000,methods_unknown,1977-06-29,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1977-0008834-1977,Sample,1977-06-29,00:00:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-F8100000,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,11000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,11000,STORET,NA,NA,NC-965199,NC,965199,APALACHIA LAKE BELOW SHOAL CRK INACT 770629,STORET,273908,Mercury,11,ug/l,NA,NA,1000,1000,methods_unknown,1977-06-29,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1979-0011427-1979,Sample,1979-07-16,12:30:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-C2580000,X-sec location horizontal: 50.0% from R bank facing upstream,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,17000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,17000,STORET,NA,NA,NC-754525,NC,754525,LAKE HICKORY NR HICKORY,STORET,163756,Mercury,17,ug/l,NA,NA,1000,1000,methods_unknown,1979-07-16,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1979-0012669-1979,Sample,1979-07-26,13:15:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-Q7060000,X-sec location horizontal: 50.0% from R bank facing upstream,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,110000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,Actual value known only to be greater than value shown,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,110000,STORET,NA,NA,NC-1025180,NC,1025180,LAKE TILLERY DNS HWY73 NR PORTER INACT 790726,STORET,158065,Mercury,110,ug/l,NA,NA,1000,1000,methods_unknown,1979-07-26,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1979-0012672-1979,Sample,1979-07-26,13:10:00,NA,0.100584,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-Q7090000,X-sec location horizontal: 50.0% from R bank facing upstream,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,99000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,Actual value known only to be greater than value shown,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,99000,STORET,NA,NA,NC-857724,NC,857724,LAKE TILLERY DNS CEDAR CRK NR AQUADALE INA 820721,STORET,158065,Mercury,99,ug/l,NA,NA,1000,1000,methods_unknown,1979-07-26,0.100584,46,-1000,50000000,t_hg_ngl,SPECIFIED,0.100584,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1980-0004587-1980,Sample,1980-04-20,15:10:00,NA,14.325600000000001,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-C2030000,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,32000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,32000,STORET,NA,NA,NC-894534,NC,894534,LAKE RHODHISS AT SR 1001 NR BATON MARION,STORET,162292,Mercury,32,ug/l,NA,NA,1000,1000,methods_unknown,1980-04-20,14.325600000000001,46,-1000,50000000,t_hg_ngl,SPECIFIED,14.325600000000001,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1980-0006149-1980,Sample,1980-05-20,12:00:00,NA,22.86,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-C0730000,X-sec location horizontal: 50.0% from R bank facing upstream¶1 sampling points in cross section,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,17000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,17000,STORET,NA,NA,NC-942450,NC,942450,LAKE JAMES NR BRIDGEWATER CLEAN LAKES,STORET,164464,Mercury,17,ug/l,NA,NA,1000,1000,methods_unknown,1980-05-20,22.86,46,-1000,50000000,t_hg_ngl,SPECIFIED,22.86,SPECIFIED
