SITE_ID,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,UID
NLA06608-0001,1,48.98348,-114.0184,NA
NLA06608-0002,1,33.03571,-79.98366,NA
NLA06608-0002,2,33.035681,-79.981575,NA
NLA06608-0003,1,28.0475,-97.860278,NA
NLA06608-0003,2,28.0475,-97.859167,NA
NLA06608-0004,1,37.41783,-108.40881,NA
NLA06608-0004,2,37.41791,-108.4089,NA
NLA06608-0005,1,43.92898,-114.84167,NA
NLA06608-0005,2,43.92903,-114.84177,NA
NLA06608-0006,1,41.67626,-73.14483,NA
NLA06608-0006,2,41.67644,-73.14487,NA
NLA06608-0007,1,45.581111,-92.040556,NA
NLA06608-0007,2,45.580556,-92.040556,NA
NLA06608-0008,1,41.2928,-93.59579,NA
NLA06608-0008,2,41.29268,-93.59509,NA
NLA06608-0010,1,42.62049,-83.50436,NA
NLA06608-0010,2,42.62058,-83.50444,NA
NLA06608-0012,1,35.99915,-96.87734,NA
NLA06608-0012,2,35.99935,-96.87644,NA
NLA06608-0013,1,39.972894,-74.563729,NA
NLA06608-0013,2,39.972744,-74.564509,NA
NLA06608-0014,1,47.83361,-100.575,NA
NLA06608-0014,2,47.83524,-100.5766,NA
NLA06608-0015,1,32.90688,-107.30074,NA
NLA06608-0015,2,32.90683,-107.29958,NA
NLA06608-0016,1,41.0383,-100.77021,NA
NLA06608-0016,2,41.03878,-100.771,NA
NLA06608-0019,1,46.366667,-99.5,NA
NLA06608-0019,2,46.36623,-99.50207,NA
NLA06608-0020,1,39.410833,-87.805,NA
NLA06608-0020,2,39.411111,-87.805278,NA
NLA06608-0021,1,42.82747,-77.2673,NA
NLA06608-0021,2,42.83111,-77.26869,NA
NLA06608-0023,1,31.1489,-97.744444,NA
NLA06608-0023,2,31.14894,-97.74422,NA
NLA06608-0024,1,32.07322,-95.43114,NA
NLA06608-0024,2,32.071433,-95.438783,NA
NLA06608-0025,1,35.201583,-81.348715,NA
NLA06608-0025,2,35.20118,-81.34692,NA
NLA06608-0029,1,38.75662,-75.21301,NA
NLA06608-0029,2,38.75643,-75.2147,NA
NLA06608-0031,1,39.776322,-81.518455,NA
NLA06608-0031,2,39.77637,-81.51892,NA
NLA06608-0033,1,47.310642,-121.300952,NA
NLA06608-0033,2,47.310646,-121.300954,NA
NLA06608-0036,1,37.477222,-88.328333,NA
NLA06608-0036,2,37.477222,-88.328333,NA
NLA06608-0037,1,41.69141,-73.34949,NA
NLA06608-0037,2,41.69141,-73.34949,NA
NLA06608-0038,1,44.8075,-71.872778,NA
NLA06608-0038,2,44.807554,-71.872839,NA
NLA06608-0041,1,38.21106,-80.87173,NA
NLA06608-0041,2,38.21076,-80.87212,NA
NLA06608-0042,1,44.46416,-107.03543,NA
NLA06608-0042,2,44.46445,-107.03571,NA
NLA06608-0043,1,41.551667,-85.446389,NA
NLA06608-0043,2,41.552222,-85.446667,NA
NLA06608-0044,1,42.40577,-101.69344,NA
NLA06608-0044,2,42.40538,-101.69385,NA
NLA06608-0045,1,37.29456,-77.88768,NA
NLA06608-0045,2,37.29448,-77.88563,NA
NLA06608-0048,1,36.78919,-89.17501,NA
