OrganizationFormalName,ActivityConductingOrganizationText,depths,no_depths
Absentee Shawnee Tribe of Oklahoma,ABSHAWNEE,0,162
Absentee Shawnee Tribe of Oklahoma,NA,0,611
ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,21AWIC,23398,6002
Alachua County Environmental Protection Department (Florida),21FLACEP,83,506
Alachua County Environmental Protection Department (Florida),NA,0,452
Arkansas Department of Environmental Quality,NA,671,30470
AZDEQ_SW,SALT RIVER PROJECT,0,179
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",NA,5008,595
Bureau of Reclamation,NA,26050,11366
Chatfield Reservoir (Colorado),NA,14,216
Cherokee Nation,NA,450,767
Cherokee Nation (Oklahoma),NA,22,139
"Citizen Potawatomi Nation, Oklahoma",NA,32,712
CITY OF ALTAMONTE SPRINGS,21FLALTA,314,2450
City of Lakeland (Florida),NA,1138,7573
City of Orlando - Streets and Stormwater Division (Florida),21FLORL,31890,660
City of Tallahassee Stormwater,21FLCOT,0,4711
City of Tallahassee Stormwater,21FLCOT_WQX,0,2406
Collier County Pollution Control (Florida),21FLCOLL,11738,996
Colorado Dept. of Public Health & Environment,NA,1769,292
Colorado River Watch (Volunteer),NA,0,1196
Coquille Indian Tribe,NA,0,568
DENR,NA,15475,50973
Division of Surface water (Ohio),NA,0,156
Elem Indian Colony,NA,1032,683
EPA National Aquatic Resources Survey (NARS),NA,710,737
EPA R7,NA,0,1188
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex,US EPA,0,187
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex,US Geological Survey for US EPA,1601,2366
"Fl  Dept. of Environmental Protection, Central District",21FLCEN,34775,342
FL Dept. of Environmental Protection,21FLGW,39643,146
Georgia  Environmental Protection Division,NA,0,2084
Iowa Dept. of  Natural Resources,NA,14,102
Iowa DNR Surface Water Monitoring Data,21IOWA_WQX,71029,9518
"Kaw Nation, Oklahoma",Kaw Nation,142,2230
"Kaw Nation, Oklahoma",NA,1600,3925
Kentucky Division of Water,NA,321,392
Kentucky KY Division Of Water,NA,985,383
Lake County Water Resource Management,21FLLCPC,28845,11000
LDEQ/Water Planning and Assessment (Louisiana),NA,5428,11487
LDEQ/Watershed Planning Division,NA,0,8444
Lee County Hyacinth Control District (Florida),NA,69,267
Leon County Public Works (Florida),21FLLEON,8863,1379
Leon County Public Works (Florida),NA,830,3927
Manatee County Environmental Management Dept (Florida),NA,661,2912
Manatee County Parks and Natural Resources Department (Florida),21FLMANA,1734,3882
Maryland Dept. of the Environment In House Water Data,NA,11071,368
Massachusetts Department of Environmental Protection (MassDEP),"MassDEP, Watershed Planning Program",284,290
"McGlynn Laboratories, Inc",21FLMCGL,0,3218
"McGlynn Laboratories, Inc (Florida)",NA,6064,15096
MDEQ_WQ_WQX - Montana DEQ WQPB,Montana FWP,31,173
MDEQ_WQ_WQX - Montana DEQ WQPB,MTDEQ,3416,625
Mescalero Apache Tribe DRMP,NA,0,379
Metro Waste Water Reclamation District (Colorado),NA,1900,904
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,6888,13491
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,MONT-DEQ,3221,1183
National Park Service Water Resources Division,NA,20029,21960
Nebraska Department of Environment and Energy,NA,9751,13308
NM Environmental Dept./SWQB,NA,231,1775
North American Lake Management Society,NH Volunteer Lake Assessment Program,70,114
North Dakota Department Of Environmental Quality,NA,46390,8629
North Dakota Dept. of Health,NA,11752,4456
Orange County Environmental (Florida),21FLORAN,107046,387
Orange County Environmental Protection (Florida),NA,37162,4080
Orlando Streets Drainage Stormwater Utility Bureau(Florida),NA,19341,18979
OWRB Lakes Monitoring,NA,772,126
Pinellas County Dept. of Environmental Management (Florida),NA,5101,1112
Polk County Water Resources (Florida),NA,38789,412
Quinault Indian Nation,NA,0,178
Samish Indian Nation,NA,16,117
