combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
Absentee Shawnee Tribe of Oklahoma ABSHAWNEE,0,6,100,NA,NA
Absentee Shawnee Tribe of Oklahoma NA,0,20,100,NA,NA
Alachua County Environmental Protection Department (Florida) 21FLACEP,117,331,73.88,0.5,0.74
Alachua County Environmental Protection Department (Florida) NA,0,422,100,NA,NA
Arizona Department Of Environmental Quality NA,3788,21,0.55,5,5.07
Arkansas Department of Environmental Quality NA,17785,1452,7.55,0,0
Aspect Consulting - Bainbridge Island - Seattle - Wenatchee - Yakima Aspect,0,9,100,NA,NA
Aspect Consulting - Bainbridge Island - Seattle - Wenatchee - Yakima Hart Crowser,0,36,100,NA,NA
AZDEQ_SW ARIZONA DEPT OF ENVIRONMENTAL QUALITY,12109,29,0.24,3.4,7.53
AZDEQ_SW ARIZONA GAME AND FISH,2860,9,0.31,1,4.05
AZDEQ_SW CITY OF SHOW LOW,0,32,100,NA,NA
AZDEQ_SW NA,23,10,30.3,1.1,0.84
AZDEQ_SW SALT RIVER PROJECT,0,121,100,NA,NA
AZDEQ_SW U.S. FISH AND WILDLIFE SERVICES,8093,8,0.1,10,7.76
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California NA",7680,77,0.99,0.6,0.9
Bureau of Reclamation NA,37201,8223,18.1,11.4,15.67
Bureau of Reclamation Western Colorado Area Office NA,49,26,34.67,12.2,10.76
Chatfield Reservoir (Colorado) NA,14,131,90.34,0,0
Cherokee Nation (Oklahoma) NA,22,55,71.43,0,0
Cherokee Nation NA,735,519,41.39,0.6,0.2
"Citizen Potawatomi Nation, Oklahoma NA",1102,654,37.24,1.2,1.09
CITY OF ALTAMONTE SPRINGS 21FLALTA,314,1491,82.6,0,0
City of Lakeland (Florida) NA,1140,3261,74.1,0,0.16
City of Orlando - Streets and Stormwater Division (Florida) 21FLORL,35368,143,0.4,0.3,0.09
Colorado Dept. of Public Health & Environment NA,3303,127,3.7,5,7.94
Colorado Dept. of Public Health & Environment-WQCD CDPHE-WQCD,19100,81,0.42,2,8.45
Colorado River Watch (Volunteer) NA,0,1015,100,NA,NA
Columbia Riverkeeper NA,0,4,100,NA,NA
"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians NA",0,2,100,NA,NA
"Delaware Nation, Oklahoma NA",0,2,100,NA,NA
DENR NA,61114,2630,4.13,0.2,0.61
Des Moines River - Corp of Engineers (IOWA) NA,1710,107,5.89,8.2,5.25
Division of Surface water (Ohio) NA,0,640,100,NA,NA
Division of Surface water (Ohio) Ohio EPA,0,7104,100,NA,NA
Eastern Band of Cherokee Indians NA,8,10,55.56,4.6,1.14
Elem Indian Colony NA,1820,290,13.74,0.4,26.82
Environmental Protection Commission of Hillsborough County 21FLHILL,2477,10,0.4,0.5,0.37
EPA National Aquatic Resources Survey (NARS) NA,5106,2687,34.48,0,0.07
EPA R7 NA,305,973,76.13,0.1,3.23
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex University of Idaho,0,1,100,NA,NA
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex US EPA,0,103,100,NA,NA
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex US Geological Survey for US EPA,1602,1430,47.16,38,16.23
EPA Region 10 Superfund Midnite Mine Site ECOENV,0,2,100,NA,NA
EPA Region 10 Superfund Midnite Mine Site SMI,0,11,100,NA,NA
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER 21FLTLHR,271,4,1.45,0.3,0.09
FDEP Watershed Assessment Section (WAS) 21FLWQA,1794,8,0.44,0.3,0.17
"Fl  Dept. of Environmental Protection, Central District 21FLCEN",39638,49,0.12,0.5,0.25
"FL Dept. Environmental Protection, Southwest District 21FLTPA",23945,15,0.06,0.3,3.4
FL Dept. of Environmental Protection 21FLGW,51846,112,0.22,0.5,0.32
